"Plot Title: RLNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592085, SEN S/N: 10592085)","Event, units (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Attached (LGR S/N: 10592085, SEN S/N: 10592085)","Host Connected (LGR S/N: 10592085, SEN S/N: 10592085)","Stopped (LGR S/N: 10592085, SEN S/N: 10592085)","End Of File (LGR S/N: 10592085, SEN S/N: 10592085)"
1,01/12/19 03:00:00 PM,50.995,0.00,,,,
2,01/12/19 04:00:00 PM,50.113,,,,,
3,01/12/19 04:06:04 PM,,0.01,,,,
4,01/12/19 05:00:00 PM,49.404,,,,,
5,01/12/19 06:00:00 PM,48.871,,,,,
6,01/12/19 07:00:00 PM,48.871,,,,,
7,01/12/19 08:00:00 PM,48.339,,,,,
8,01/12/19 09:00:00 PM,48.160,,,,,
9,01/12/19 10:00:00 PM,46.188,,,,,
10,01/12/19 11:00:00 PM,45.466,,,,,
11,01/13/19 12:00:00 AM,45.648,,,,,
12,01/13/19 01:00:00 AM,46.728,,,,,
13,01/13/19 02:00:00 AM,46.908,,,,,
14,01/13/19 02:33:10 AM,,0.02,,,,
15,01/13/19 03:00:00 AM,47.266,,,,,
16,01/13/19 04:00:00 AM,46.908,,,,,
17,01/13/19 05:00:00 AM,44.922,,,,,
18,01/13/19 06:00:00 AM,44.742,,,,,
19,01/13/19 07:00:00 AM,44.379,,,,,
20,01/13/19 08:00:00 AM,45.104,,,,,
21,01/13/19 09:00:00 AM,46.008,,,,,
22,01/13/19 10:00:00 AM,46.908,,,,,
23,01/13/19 11:00:00 AM,49.759,,,,,
24,01/13/19 12:00:00 PM,51.874,,,,,
25,01/13/19 01:00:00 PM,52.750,,,,,
26,01/13/19 02:00:00 PM,53.623,,,,,
27,01/13/19 03:00:00 PM,55.537,,,,,
28,01/13/19 04:00:00 PM,52.050,,,,,
29,01/13/19 05:00:00 PM,49.937,,,,,
30,01/13/19 06:00:00 PM,48.160,,,,,
31,01/13/19 07:00:00 PM,47.446,,,,,
32,01/13/19 08:00:00 PM,47.088,,,,,
33,01/13/19 09:00:00 PM,46.908,,,,,
34,01/13/19 10:00:00 PM,46.728,,,,,
35,01/13/19 11:00:00 PM,46.908,,,,,
36,01/14/19 12:00:00 AM,47.088,,,,,
37,01/14/19 01:00:00 AM,47.266,,,,,
38,01/14/19 02:00:00 AM,47.088,,,,,
39,01/14/19 03:00:00 AM,47.088,,,,,
40,01/14/19 04:00:00 AM,46.728,,,,,
41,01/14/19 05:00:00 AM,46.728,,,,,
42,01/14/19 06:00:00 AM,46.908,,,,,
43,01/14/19 06:07:10 AM,,0.03,,,,
44,01/14/19 06:07:11 AM,,0.04,,,,
45,01/14/19 07:00:00 AM,46.188,,,,,
46,01/14/19 07:58:12 AM,,0.05,,,,
47,01/14/19 08:00:00 AM,46.188,,,,,
48,01/14/19 08:34:59 AM,,0.06,,,,
49,01/14/19 08:47:07 AM,,0.07,,,,
50,01/14/19 09:00:00 AM,46.369,,,,,
51,01/14/19 09:07:20 AM,,0.08,,,,
52,01/14/19 10:00:00 AM,47.982,,,,,
53,01/14/19 11:00:00 AM,47.982,,,,,
54,01/14/19 12:00:00 PM,48.517,,,,,
55,01/14/19 12:33:49 PM,,0.09,,,,
56,01/14/19 01:00:00 PM,48.695,,,,,
57,01/14/19 02:00:00 PM,48.695,,,,,
58,01/14/19 02:19:26 PM,,0.10,,,,
59,01/14/19 02:30:16 PM,,0.11,,,,
60,01/14/19 02:35:37 PM,,0.12,,,,
61,01/14/19 02:35:38 PM,,0.13,,,,
62,01/14/19 02:38:41 PM,,0.14,,,,
63,01/14/19 02:38:42 PM,,0.15,,,,
64,01/14/19 02:42:29 PM,,0.16,,,,
65,01/14/19 02:44:45 PM,,0.17,,,,
66,01/14/19 02:47:17 PM,,0.18,,,,
67,01/14/19 02:50:26 PM,,0.19,,,,
68,01/14/19 02:53:19 PM,,0.20,,,,
