"Plot Title: Cowboy"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309219, SEN S/N: 20309219)","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Attached (LGR S/N: 20309219, SEN S/N: 20309219)","Host Connected (LGR S/N: 20309219, SEN S/N: 20309219)","Stopped (LGR S/N: 20309219, SEN S/N: 20309219)","End Of File (LGR S/N: 20309219, SEN S/N: 20309219)"
1,01/12/19 11:00:00 AM,66.022,0.00,,,,
2,01/12/19 12:00:00 PM,66.879,,,,,
3,01/12/19 01:00:00 PM,70.824,,,,,
4,01/12/19 02:00:00 PM,66.537,,,,,
5,01/12/19 03:00:00 PM,62.769,,,,,
6,01/12/19 04:00:00 PM,64.310,,,,,
7,01/12/19 05:00:00 PM,59.164,,,,,
8,01/12/19 06:00:00 PM,54.147,,,,,
9,01/12/19 07:00:00 PM,53.100,,,,,
10,01/12/19 08:00:00 PM,50.819,,,,,
11,01/12/19 09:00:00 PM,50.995,,,,,
12,01/12/19 10:00:00 PM,48.517,,,,,
13,01/12/19 11:00:00 PM,47.982,,,,,
14,01/13/19 12:00:00 AM,49.759,,,,,
15,01/13/19 01:00:00 AM,50.643,,,,,
16,01/13/19 02:00:00 AM,51.346,,,,,
17,01/13/19 02:17:40 AM,,0.01,,,,
18,01/13/19 02:22:48 AM,,0.02,,,,
19,01/13/19 02:34:21 AM,,0.03,,,,
20,01/13/19 02:36:58 AM,,0.04,,,,
21,01/13/19 03:00:00 AM,50.995,,,,,
22,01/13/19 04:00:00 AM,47.982,,,,,
23,01/13/19 05:00:00 AM,46.369,,,,,
24,01/13/19 06:00:00 AM,45.286,,,,,
25,01/13/19 07:00:00 AM,47.446,,,,,
26,01/13/19 08:00:00 AM,50.466,,,,,
27,01/13/19 09:00:00 AM,54.842,,,,,
28,01/13/19 10:00:00 AM,57.958,,,,,
29,01/13/19 11:00:00 AM,63.626,,,,,
30,01/13/19 12:00:00 PM,64.481,,,,,
31,01/13/19 01:00:00 PM,65.851,,,,,
32,01/13/19 02:00:00 PM,68.248,,,,,
33,01/13/19 03:00:00 PM,68.592,,,,,
34,01/13/19 04:00:00 PM,58.476,,,,,
35,01/13/19 05:00:00 PM,54.495,,,,,
36,01/13/19 06:00:00 PM,51.172,,,,,
37,01/13/19 07:00:00 PM,50.643,,,,,
38,01/13/19 08:00:00 PM,50.819,,,,,
39,01/13/19 09:00:00 PM,53.623,,,,,
40,01/13/19 10:00:00 PM,53.274,,,,,
41,01/13/19 11:00:00 PM,52.750,,,,,
42,01/14/19 12:00:00 AM,52.750,,,,,
43,01/14/19 01:00:00 AM,53.274,,,,,
44,01/14/19 02:00:00 AM,55.189,,,,,
45,01/14/19 03:00:00 AM,55.711,,,,,
46,01/14/19 04:00:00 AM,55.189,,,,,
47,01/14/19 05:00:00 AM,55.711,,,,,
48,01/14/19 05:53:21 AM,,0.05,,,,
49,01/14/19 06:00:00 AM,53.973,,,,,
50,01/14/19 07:00:00 AM,51.874,,,,,
51,01/14/19 07:45:02 AM,,0.06,,,,
52,01/14/19 08:00:00 AM,53.100,,,,,
53,01/14/19 08:30:59 AM,,0.07,,,,
54,01/14/19 08:39:10 AM,,0.08,,,,
55,01/14/19 08:48:17 AM,,0.09,,,,
56,01/14/19 08:55:16 AM,,0.10,,,,
57,01/14/19 09:00:00 AM,51.699,,,,,
58,01/14/19 09:00:46 AM,,0.11,,,,
59,01/14/19 09:06:23 AM,,0.12,,,,
60,01/14/19 10:00:00 AM,54.147,,,,,
61,01/14/19 11:00:00 AM,57.268,,,,,
62,01/14/19 12:00:00 PM,59.851,,,,,
63,01/14/19 01:00:00 PM,61.054,,,,,
64,01/14/19 02:00:00 PM,57.785,,,,,
65,01/14/19 02:16:26 PM,,0.13,,,,
66,01/14/19 02:20:29 PM,,0.14,,,,
67,01/14/19 02:25:56 PM,,0.15,,,,
68,01/14/19 02:28:18 PM,,0.16,,,,
69,01/14/19 02:29:33 PM,,0.17,,,,
70,01/14/19 02:30:38 PM,,0.18,,,,
71,01/14/19 02:34:04 PM,,0.19,,,,
72,01/14/19 02:37:12 PM,,0.20,,,,
73,01/14/19 02:39:34 PM,,0.21,,,,
74,01/14/19 02:42:04 PM,,0.22,,,,
75,01/14/19 02:45:09 PM,,0.23,,,,
76,01/14/19 02:47:59 PM,,0.24,,,,
77,01/14/19 02:52:30 PM,,0.25,,,,
78,01/14/19 02:56:27 PM,,0.26,,,,
79,01/14/19 03:00:00 PM,53.623,,,,,
80,01/14/19 03:01:01 PM,,0.27,,,,
81,01/14/19 03:05:17 PM,,0.28,,,,
82,01/14/19 03:11:39 PM,,0.29,,,,
83,01/14/19 03:15:28 PM,,0.30,,,,
84,01/14/19 03:19:26 PM,,0.31,,,,
85,01/14/19 03:21:19 PM,,0.32,,,,
86,01/14/19 03:23:48 PM,,0.33,,,,
87,01/14/19 03:25:40 PM,,0.34,,,,
88,01/14/19 03:28:51 PM,,0.35,,,,
89,01/14/19 03:31:05 PM,,0.36,,,,
90,01/14/19 03:33:19 PM,,0.37,,,,
91,01/14/19 03:35:09 PM,,0.38,,,,
92,01/14/19 04:00:00 PM,54.495,,,,,
93,01/14/19 05:00:00 PM,51.523,,,,,
94,01/14/19 06:00:00 PM,50.113,,,,,
