"Plot Title: Waterlab"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309220, SEN S/N: 20309220)","Event, units (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Attached (LGR S/N: 20309220, SEN S/N: 20309220)","Host Connected (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Detached (LGR S/N: 20309220, SEN S/N: 20309220)","Stopped (LGR S/N: 20309220, SEN S/N: 20309220)","End Of File (LGR S/N: 20309220, SEN S/N: 20309220)"
1,03/26/19 11:00:00 AM,79.151,0.00,,,,,
2,03/26/19 12:00:00 PM,76.354,,,,,,
3,03/26/19 01:00:00 PM,73.407,,,,,,
4,03/26/19 02:00:00 PM,69.622,,,,,,
5,03/26/19 03:00:00 PM,70.651,,,,,,
6,03/26/19 04:00:00 PM,67.050,,,,,,
7,03/26/19 05:00:00 PM,66.193,,,,,,
8,03/26/19 06:00:00 PM,63.111,,,,,,
9,03/26/19 07:00:00 PM,57.268,,,,,,
10,03/26/19 08:00:00 PM,54.842,,,,,,
11,03/26/19 08:31:10 PM,,0.01,,,,,
12,03/26/19 08:44:35 PM,,0.02,,,,,
13,03/26/19 08:49:21 PM,,0.03,,,,,
14,03/26/19 08:53:02 PM,,0.04,,,,,
15,03/26/19 09:00:00 PM,54.147,,,,,,
16,03/26/19 09:05:40 PM,,0.05,,,,,
17,03/26/19 10:00:00 PM,53.623,,,,,,
18,03/26/19 10:12:37 PM,,0.06,,,,,
19,03/26/19 10:39:41 PM,,0.07,,,,,
20,03/26/19 11:00:00 PM,54.495,,,,,,
21,03/27/19 12:00:00 AM,54.147,,,,,,
22,03/27/19 01:00:00 AM,55.711,,,,,,
23,03/27/19 02:00:00 AM,55.711,,,,,,
24,03/27/19 03:00:00 AM,55.537,,,,,,
25,03/27/19 04:00:00 AM,54.842,,,,,,
26,03/27/19 05:00:00 AM,54.322,,,,,,
27,03/27/19 06:00:00 AM,53.449,,,,,,
28,03/27/19 07:00:00 AM,54.147,,,,,,
29,03/27/19 08:00:00 AM,54.669,,,,,,
30,03/27/19 09:00:00 AM,56.057,,,,,,
31,03/27/19 10:00:00 AM,57.268,,,,,,
32,03/27/19 10:01:46 AM,,,Logged,,,,
33,03/27/19 10:01:52 AM,,,,Logged,,,
34,03/27/19 10:02:13 AM,,,,,Logged,,
35,03/27/19 10:02:16 AM,,,Logged,,,,
36,03/27/19 10:02:32 AM,,,,Logged,,,
37,03/27/19 10:03:02 AM,,0.07,,,,Logged,Logged
