"Plot Title: Landing"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309223, SEN S/N: 20309223)","Event, units (LGR S/N: 20309223, SEN S/N: 20309223)","Coupler Detached (LGR S/N: 20309223, SEN S/N: 20309223)","Coupler Attached (LGR S/N: 20309223, SEN S/N: 20309223)","Host Connected (LGR S/N: 20309223, SEN S/N: 20309223)","Stopped (LGR S/N: 20309223, SEN S/N: 20309223)","End Of File (LGR S/N: 20309223, SEN S/N: 20309223)"
1,03/29/19 03:12:54 PM,76.528,0.00,,,,,
2,03/29/19 03:15:05 PM,,0.01,,,,,
3,03/29/19 03:15:10 PM,,0.02,,,,,
4,03/29/19 03:15:58 PM,,0.03,,,,,
5,03/29/19 03:16:04 PM,,,Logged,,,,
6,03/29/19 03:42:54 PM,78.800,,,,,,
7,03/29/19 04:12:54 PM,74.098,,,,,,
8,03/29/19 04:42:54 PM,71.856,,,,,,
9,03/29/19 05:12:54 PM,63.797,,,,,,
10,03/29/19 05:42:54 PM,61.398,,,,,,
11,03/29/19 06:12:54 PM,59.680,,,,,,
12,03/29/19 06:42:54 PM,57.441,,,,,,
13,03/29/19 07:12:54 PM,54.495,,,,,,
14,03/29/19 07:42:54 PM,51.874,,,,,,
15,03/29/19 08:12:54 PM,50.466,,,,,,
16,03/29/19 08:42:54 PM,49.582,,,,,,
17,03/29/19 09:12:54 PM,48.695,,,,,,
18,03/29/19 09:42:54 PM,47.266,,,,,,
19,03/29/19 10:12:54 PM,46.188,,,,,,
20,03/29/19 10:42:54 PM,45.466,,,,,,
21,03/29/19 11:12:54 PM,46.188,,,,,,
22,03/29/19 11:42:54 PM,47.446,,,,,,
23,03/30/19 12:12:54 AM,48.160,,,,,,
24,03/30/19 12:42:54 AM,47.624,,,,,,
25,03/30/19 01:12:54 AM,46.369,,,,,,
26,03/30/19 01:42:54 AM,46.008,,,,,,
27,03/30/19 02:12:54 AM,44.742,,,,,,
28,03/30/19 02:42:54 AM,44.195,,,,,,
29,03/30/19 03:12:54 AM,44.013,,,,,,
30,03/30/19 03:42:54 AM,44.195,,,,,,
31,03/30/19 04:12:54 AM,44.195,,,,,,
32,03/30/19 04:42:54 AM,44.195,,,,,,
33,03/30/19 05:12:54 AM,44.013,,,,,,
34,03/30/19 05:42:54 AM,43.831,,,,,,
35,03/30/19 06:12:54 AM,43.648,,,,,,
36,03/30/19 06:42:54 AM,43.282,,,,,,
37,03/30/19 07:12:54 AM,43.282,,,,,,
38,03/30/19 07:42:54 AM,43.466,,,,,,
39,03/30/19 08:12:54 AM,44.013,,,,,,
40,03/30/19 08:42:54 AM,45.466,,,,,,
41,03/30/19 09:12:54 AM,48.517,,,,,,
42,03/30/19 09:42:54 AM,52.750,,,,,,
43,03/30/19 10:12:54 AM,55.017,,,,,,
44,03/30/19 10:42:54 AM,58.476,,,,,,
45,03/30/19 11:12:54 AM,59.851,,,,,,
46,03/30/19 11:42:54 AM,63.111,,,,,,
47,03/30/19 12:12:54 PM,68.248,,,,,,
48,03/30/19 12:42:54 PM,74.098,,,,,,
49,03/30/19 01:12:54 PM,77.400,,,,,,
50,03/30/19 01:42:54 PM,80.559,,,,,,
51,03/30/19 02:12:54 PM,81.797,,,,,,
52,03/30/19 02:42:54 PM,79.678,,,,,,
53,03/30/19 03:12:54 PM,80.029,,,,,,
54,03/30/19 03:42:54 PM,84.834,,,,,,
55,03/30/19 04:12:54 PM,79.678,,,,,,
56,03/30/19 04:42:54 PM,73.580,,,,,,
57,03/30/19 05:12:54 PM,68.763,,,,,,
