"Plot Title: SF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20521509, SEN S/N: 20521509)","Event, units (LGR S/N: 20521509, SEN S/N: 20521509)","Coupler Attached (LGR S/N: 20521509, SEN S/N: 20521509)","Host Connected (LGR S/N: 20521509, SEN S/N: 20521509)","Stopped (LGR S/N: 20521509, SEN S/N: 20521509)","End Of File (LGR S/N: 20521509, SEN S/N: 20521509)"
1,03/29/19 01:00:00 PM,71.856,0.00,,,,
2,03/29/19 02:00:00 PM,69.793,,,,,
3,03/29/19 03:00:00 PM,73.753,,,,,
4,03/29/19 04:00:00 PM,71.168,,,,,
5,03/29/19 05:00:00 PM,67.050,,,,,
6,03/29/19 06:00:00 PM,61.227,,,,,
7,03/29/19 07:00:00 PM,54.669,,,,,
8,03/29/19 08:00:00 PM,46.548,,,,,
9,03/29/19 09:00:00 PM,43.466,,,,,
10,03/29/19 10:00:00 PM,41.625,,,,,
11,03/29/19 11:00:00 PM,41.994,,,,,
12,03/30/19 12:00:00 AM,42.363,,,,,
13,03/30/19 01:00:00 AM,41.625,,,,,
14,03/30/19 02:00:00 AM,41.625,,,,,
15,03/30/19 03:00:00 AM,42.548,,,,,
16,03/30/19 04:00:00 AM,40.696,,,,,
17,03/30/19 05:00:00 AM,41.067,,,,,
18,03/30/19 06:00:00 AM,40.509,,,,,
19,03/30/19 07:00:00 AM,40.509,,,,,
20,03/30/19 08:00:00 AM,41.625,,,,,
21,03/30/19 09:00:00 AM,46.908,,,,,
22,03/30/19 10:00:00 AM,98.307,,,,,
23,03/30/19 11:00:00 AM,106.835,,,,,
24,03/30/19 12:00:00 PM,103.717,,,,,
25,03/30/19 01:00:00 PM,79.502,,,,,
26,03/30/19 02:00:00 PM,80.206,,,,,
27,03/30/19 03:00:00 PM,79.678,,,,,
28,03/30/19 04:00:00 PM,75.832,,,,,
29,03/30/19 05:00:00 PM,71.168,,,,,
30,03/30/19 06:00:00 PM,66.022,,,,,
31,03/30/19 07:00:00 PM,58.647,,,,,
32,03/30/19 08:00:00 PM,50.643,,,,,
33,03/30/19 09:00:00 PM,47.982,,,,,
34,03/30/19 10:00:00 PM,47.624,,,,,
35,03/30/19 11:00:00 PM,47.088,,,,,
36,03/31/19 12:00:00 AM,46.008,,,,,
37,03/31/19 01:00:00 AM,46.369,,,,,
38,03/31/19 02:00:00 AM,44.379,,,,,
39,03/31/19 03:00:00 AM,45.286,,,,,
40,03/31/19 04:00:00 AM,46.188,,,,,
41,03/31/19 05:00:00 AM,47.266,,,,,
42,03/31/19 06:00:00 AM,47.088,,,,,
43,03/31/19 07:00:00 AM,45.648,,,,,
44,03/31/19 08:00:00 AM,48.871,,,,,
45,03/31/19 09:00:00 AM,53.623,,,,,
46,03/31/19 10:00:00 AM,102.900,,,,,
47,03/31/19 11:00:00 AM,113.362,,,,,
48,03/31/19 12:00:00 PM,110.482,,,,,
49,03/31/19 01:00:00 PM,85.194,,,,,
50,03/31/19 02:00:00 PM,84.834,,,,,
51,03/31/19 03:00:00 PM,83.757,,,,,
52,03/31/19 04:00:00 PM,80.911,,,,,
53,03/31/19 05:00:00 PM,78.449,,,,,
54,03/31/19 06:00:00 PM,72.028,,,,,
55,03/31/19 07:00:00 PM,64.481,,,,,
56,03/31/19 08:00:00 PM,57.096,,,,,
57,03/31/19 09:00:00 PM,54.842,,,,,
58,03/31/19 10:00:00 PM,54.669,,,,,
59,03/31/19 11:00:00 PM,54.495,,,,,
60,04/01/19 12:00:00 AM,52.225,,,,,
61,04/01/19 01:00:00 AM,50.819,,,,,
62,04/01/19 02:00:00 AM,51.699,,,,,
63,04/01/19 03:00:00 AM,51.523,,,,,
64,04/01/19 04:00:00 AM,50.466,,,,,
65,04/01/19 05:00:00 AM,50.466,,,,,
66,04/01/19 06:00:00 AM,51.346,,,,,
67,04/01/19 07:00:00 AM,51.523,,,,,
68,04/01/19 08:00:00 AM,55.017,,,,,
69,04/01/19 09:00:00 AM,61.398,,,,,
70,04/01/19 10:00:00 AM,80.559,,,,,
71,04/01/19 11:00:00 AM,88.833,,,,,
72,04/01/19 12:00:00 PM,87.915,,,,,
73,04/01/19 01:00:00 PM,79.151,,,,,
74,04/01/19 02:00:00 PM,78.274,,,,,
75,04/01/19 03:00:00 PM,78.274,,,,,
76,04/01/19 04:00:00 PM,67.906,,,,,
77,04/01/19 04:24:40 PM,,0.01,,,,
78,04/01/19 05:00:00 PM,64.310,,,,,
79,04/01/19 06:00:00 PM,60.712,,,,,
80,04/01/19 07:00:00 PM,57.958,,,,,
81,04/01/19 08:00:00 PM,53.973,,,,,
82,04/01/19 09:00:00 PM,53.100,,,,,
83,04/01/19 09:23:40 PM,,0.02,,,,
84,04/01/19 09:30:01 PM,,0.03,,,,
85,04/01/19 09:38:43 PM,,0.04,,,,
86,04/01/19 10:00:00 PM,52.401,,,,,
87,04/01/19 11:00:00 PM,51.699,,,,,
88,04/02/19 12:00:00 AM,48.695,,,,,
89,04/02/19 01:00:00 AM,45.828,,,,,
90,04/02/19 02:00:00 AM,43.831,,,,,
91,04/02/19 03:00:00 AM,46.369,,,,,
92,04/02/19 04:00:00 AM,48.695,,,,,
93,04/02/19 04:23:29 AM,,0.05,,,,
94,04/02/19 04:36:41 AM,,0.06,,,,
95,04/02/19 04:42:10 AM,,0.07,,,,
96,04/02/19 04:48:47 AM,,0.08,,,,
97,04/02/19 04:55:04 AM,,0.09,,,,
98,04/02/19 05:00:00 AM,49.050,,,,,
99,04/02/19 05:06:48 AM,,0.10,,,,
100,04/02/19 05:15:34 AM,,0.11,,,,
