"Plot Title: Als"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309221, SEN S/N: 20309221)","Event, units (LGR S/N: 20309221, SEN S/N: 20309221)","Coupler Attached (LGR S/N: 20309221, SEN S/N: 20309221)","Host Connected (LGR S/N: 20309221, SEN S/N: 20309221)","Stopped (LGR S/N: 20309221, SEN S/N: 20309221)","End Of File (LGR S/N: 20309221, SEN S/N: 20309221)"
1,04/03/19 04:00:00 PM,65.167,0.00,,,,
2,04/03/19 04:30:00 PM,62.425,,,,,
3,04/03/19 05:00:00 PM,60.539,,,,,
4,04/03/19 05:30:00 PM,59.851,,,,,
5,04/03/19 06:00:00 PM,60.195,,,,,
6,04/03/19 06:30:00 PM,58.303,,,,,
7,04/03/19 07:00:00 PM,55.884,,,,,
8,04/03/19 07:30:00 PM,53.798,,,,,
9,04/03/19 08:00:00 PM,52.050,,,,,
10,04/03/19 08:30:00 PM,51.172,,,,,
11,04/03/19 09:00:00 PM,50.819,,,,,
12,04/03/19 09:30:00 PM,51.172,,,,,
13,04/03/19 10:00:00 PM,51.346,,,,,
14,04/03/19 10:30:00 PM,51.523,,,,,
15,04/03/19 11:00:00 PM,51.699,,,,,
16,04/03/19 11:30:00 PM,51.874,,,,,
17,04/04/19 12:00:00 AM,51.874,,,,,
18,04/04/19 12:30:00 AM,52.050,,,,,
19,04/04/19 01:00:00 AM,52.050,,,,,
20,04/04/19 01:30:00 AM,51.523,,,,,
21,04/04/19 02:00:00 AM,51.346,,,,,
22,04/04/19 02:30:00 AM,51.523,,,,,
23,04/04/19 03:00:00 AM,51.523,,,,,
24,04/04/19 03:30:00 AM,51.523,,,,,
25,04/04/19 04:00:00 AM,51.523,,,,,
26,04/04/19 04:30:00 AM,51.699,,,,,
27,04/04/19 05:00:00 AM,51.699,,,,,
28,04/04/19 05:30:00 AM,51.523,,,,,
29,04/04/19 06:00:00 AM,51.346,,,,,
30,04/04/19 06:30:00 AM,51.172,,,,,
31,04/04/19 06:43:43 AM,,0.01,,,,
32,04/04/19 07:00:00 AM,50.995,,,,,
33,04/04/19 07:30:00 AM,51.346,,,,,
34,04/04/19 08:00:00 AM,51.874,,,,,
35,04/04/19 08:30:00 AM,52.925,,,,,
36,04/04/19 09:00:00 AM,54.147,,,,,
37,04/04/19 09:05:50 AM,,0.02,,,,
38,04/04/19 09:08:24 AM,,0.03,,,,
39,04/04/19 09:10:10 AM,,0.04,,,,
40,04/04/19 09:12:19 AM,,0.05,,,,
41,04/04/19 09:30:00 AM,52.401,,,,,
42,04/04/19 09:33:12 AM,,0.06,,,,
43,04/04/19 10:00:00 AM,53.100,,,,,
44,04/04/19 10:30:00 AM,55.017,,,,,
45,04/04/19 11:00:00 AM,55.884,,,,,
46,04/04/19 11:30:00 AM,57.614,,,,,
47,04/04/19 12:00:00 PM,58.647,,,,,
48,04/04/19 12:30:00 PM,58.303,,,,,
49,04/04/19 01:00:00 PM,61.569,,,,,
50,04/04/19 01:30:00 PM,61.741,,,,,
51,04/04/19 02:00:00 PM,61.741,,,,,
52,04/04/19 02:30:00 PM,59.508,,,,,
53,04/04/19 03:00:00 PM,59.164,,,,,
54,04/04/19 03:30:00 PM,59.508,,,,,
55,04/04/19 04:00:00 PM,59.508,,,,,
56,04/04/19 04:30:00 PM,61.912,,,,,
57,04/04/19 05:00:00 PM,61.227,,,,,
58,04/04/19 05:30:00 PM,62.425,,,,,
59,04/04/19 06:00:00 PM,61.054,,,,,
60,04/04/19 06:30:00 PM,56.750,,,,,
61,04/04/19 07:00:00 PM,55.364,,,,,
62,04/04/19 07:30:00 PM,54.495,,,,,
63,04/04/19 08:00:00 PM,53.798,,,,,
64,04/04/19 08:30:00 PM,53.623,,,,,
65,04/04/19 09:00:00 PM,53.449,,,,,
66,04/04/19 09:30:00 PM,53.449,,,,,
67,04/04/19 10:00:00 PM,53.623,,,,,
68,04/04/19 10:30:00 PM,53.798,,,,,
69,04/04/19 11:00:00 PM,53.798,,,,,
