"Plot Title: LQC"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309222, SEN S/N: 20309222)","Event, units (LGR S/N: 20309222, SEN S/N: 20309222)","Coupler Attached (LGR S/N: 20309222, SEN S/N: 20309222)","Host Connected (LGR S/N: 20309222, SEN S/N: 20309222)","Stopped (LGR S/N: 20309222, SEN S/N: 20309222)","End Of File (LGR S/N: 20309222, SEN S/N: 20309222)"
1,04/03/19 03:00:00 PM,67.906,0.00,,,,
2,04/03/19 03:15:00 PM,66.879,,,,,
3,04/03/19 03:30:00 PM,66.708,,,,,
4,04/03/19 03:45:00 PM,67.221,,,,,
5,04/03/19 04:00:00 PM,66.537,,,,,
6,04/03/19 04:15:00 PM,65.167,,,,,
7,04/03/19 04:30:00 PM,64.652,,,,,
8,04/03/19 04:45:00 PM,63.626,,,,,
9,04/03/19 05:00:00 PM,62.425,,,,,
10,04/03/19 05:15:00 PM,61.912,,,,,
11,04/03/19 05:30:00 PM,61.912,,,,,
12,04/03/19 05:45:00 PM,61.398,,,,,
13,04/03/19 06:00:00 PM,61.227,,,,,
14,04/03/19 06:15:00 PM,60.539,,,,,
15,04/03/19 06:30:00 PM,59.337,,,,,
16,04/03/19 06:45:00 PM,58.303,,,,,
17,04/03/19 07:00:00 PM,57.441,,,,,
18,04/03/19 07:15:00 PM,56.577,,,,,
19,04/03/19 07:30:00 PM,55.189,,,,,
20,04/03/19 07:45:00 PM,53.973,,,,,
21,04/03/19 08:00:00 PM,53.100,,,,,
22,04/03/19 08:15:00 PM,52.401,,,,,
23,04/03/19 08:30:00 PM,51.874,,,,,
24,04/03/19 08:45:00 PM,51.523,,,,,
25,04/03/19 09:00:00 PM,51.699,,,,,
26,04/03/19 09:15:00 PM,51.874,,,,,
27,04/03/19 09:30:00 PM,51.874,,,,,
28,04/03/19 09:45:00 PM,52.050,,,,,
29,04/03/19 10:00:00 PM,52.225,,,,,
30,04/03/19 10:15:00 PM,52.576,,,,,
31,04/03/19 10:30:00 PM,52.750,,,,,
32,04/03/19 10:45:00 PM,52.925,,,,,
33,04/03/19 11:00:00 PM,52.925,,,,,
34,04/03/19 11:15:00 PM,53.100,,,,,
35,04/03/19 11:30:00 PM,53.100,,,,,
36,04/03/19 11:45:00 PM,53.100,,,,,
37,04/04/19 12:00:00 AM,53.100,,,,,
38,04/04/19 12:15:00 AM,53.100,,,,,
39,04/04/19 12:30:00 AM,52.925,,,,,
40,04/04/19 12:45:00 AM,52.750,,,,,
41,04/04/19 01:00:00 AM,52.925,,,,,
42,04/04/19 01:15:00 AM,52.925,,,,,
43,04/04/19 01:30:00 AM,52.925,,,,,
44,04/04/19 01:45:00 AM,52.750,,,,,
45,04/04/19 02:00:00 AM,52.925,,,,,
46,04/04/19 02:15:00 AM,52.925,,,,,
47,04/04/19 02:30:00 AM,52.925,,,,,
48,04/04/19 02:45:00 AM,52.925,,,,,
49,04/04/19 03:00:00 AM,53.100,,,,,
50,04/04/19 03:15:00 AM,52.925,,,,,
51,04/04/19 03:30:00 AM,52.925,,,,,
52,04/04/19 03:45:00 AM,52.925,,,,,
53,04/04/19 04:00:00 AM,52.925,,,,,
54,04/04/19 04:15:00 AM,52.925,,,,,
55,04/04/19 04:30:00 AM,53.100,,,,,
56,04/04/19 04:45:00 AM,53.100,,,,,
57,04/04/19 05:00:00 AM,52.925,,,,,
58,04/04/19 05:15:00 AM,53.100,,,,,
59,04/04/19 05:30:00 AM,52.925,,,,,
60,04/04/19 05:45:00 AM,52.925,,,,,
61,04/04/19 06:00:00 AM,52.925,,,,,
62,04/04/19 06:15:00 AM,52.750,,,,,
63,04/04/19 06:30:00 AM,52.576,,,,,
64,04/04/19 06:33:08 AM,,0.01,,,,
65,04/04/19 06:45:00 AM,52.576,,,,,
66,04/04/19 06:47:53 AM,,0.02,,,,
67,04/04/19 07:00:00 AM,52.576,,,,,
68,04/04/19 07:15:00 AM,52.750,,,,,
69,04/04/19 07:30:00 AM,52.925,,,,,
70,04/04/19 07:45:00 AM,53.274,,,,,
71,04/04/19 08:00:00 AM,53.449,,,,,
72,04/04/19 08:15:00 AM,53.973,,,,,
73,04/04/19 08:30:00 AM,54.669,,,,,
74,04/04/19 08:45:00 AM,55.537,,,,,
75,04/04/19 09:00:00 AM,55.884,,,,,
76,04/04/19 09:15:00 AM,55.017,,,,,
77,04/04/19 09:30:00 AM,54.322,,,,,
78,04/04/19 09:45:00 AM,54.669,,,,,
79,04/04/19 09:50:24 AM,,0.03,,,,
80,04/04/19 10:00:00 AM,56.057,,,,,
81,04/04/19 10:15:00 AM,57.096,,,,,
82,04/04/19 10:30:00 AM,57.268,,,,,
83,04/04/19 10:45:00 AM,57.441,,,,,
84,04/04/19 11:00:00 AM,58.476,,,,,
85,04/04/19 11:15:00 AM,58.820,,,,,
86,04/04/19 11:30:00 AM,60.195,,,,,
87,04/04/19 11:45:00 AM,61.227,,,,,
88,04/04/19 12:00:00 PM,61.398,,,,,
89,04/04/19 12:15:00 PM,61.569,,,,,
90,04/04/19 12:30:00 PM,61.569,,,,,
91,04/04/19 12:45:00 PM,63.968,,,,,
92,04/04/19 01:00:00 PM,65.509,,,,,
93,04/04/19 01:15:00 PM,64.310,,,,,
94,04/04/19 01:30:00 PM,63.968,,,,,
95,04/04/19 01:45:00 PM,64.139,,,,,
96,04/04/19 02:00:00 PM,64.310,,,,,
97,04/04/19 02:15:00 PM,63.968,,,,,
98,04/04/19 02:30:00 PM,62.598,,,,,
99,04/04/19 02:45:00 PM,61.569,,,,,
100,04/04/19 03:00:00 PM,62.083,,,,,
101,04/04/19 03:15:00 PM,62.598,,,,,
102,04/04/19 03:30:00 PM,62.254,,,,,
103,04/04/19 03:45:00 PM,62.425,,,,,
104,04/04/19 04:00:00 PM,62.425,,,,,
105,04/04/19 04:15:00 PM,63.455,,,,,
106,04/04/19 04:30:00 PM,65.509,,,,,
107,04/04/19 04:45:00 PM,65.509,,,,,
108,04/04/19 05:00:00 PM,63.968,,,,,
109,04/04/19 05:15:00 PM,62.940,,,,,
110,04/04/19 05:30:00 PM,64.481,,,,,
111,04/04/19 05:45:00 PM,66.366,,,,,
112,04/04/19 06:00:00 PM,65.167,,,,,
113,04/04/19 06:15:00 PM,62.254,,,,,
114,04/04/19 06:30:00 PM,60.024,,,,,
115,04/04/19 06:45:00 PM,58.820,,,,,
116,04/04/19 07:00:00 PM,58.131,,,,,
117,04/04/19 07:15:00 PM,57.441,,,,,
118,04/04/19 07:30:00 PM,56.750,,,,,
119,04/04/19 07:45:00 PM,56.230,,,,,
120,04/04/19 08:00:00 PM,55.711,,,,,
121,04/04/19 08:15:00 PM,55.364,,,,,
122,04/04/19 08:30:00 PM,55.017,,,,,
123,04/04/19 08:45:00 PM,54.842,,,,,
124,04/04/19 09:00:00 PM,54.669,,,,,
125,04/04/19 09:15:00 PM,54.669,,,,,
126,04/04/19 09:30:00 PM,54.495,,,,,
127,04/04/19 09:45:00 PM,54.495,,,,,
128,04/04/19 10:00:00 PM,54.669,,,,,
129,04/04/19 10:15:00 PM,54.842,,,,,
130,04/04/19 10:30:00 PM,55.017,,,,,
131,04/04/19 10:45:00 PM,55.364,,,,,
132,04/04/19 11:00:00 PM,55.537,,,,,
133,04/04/19 11:15:00 PM,55.364,,,,,
134,04/04/19 11:30:00 PM,54.669,,,,,
135,04/04/19 11:45:00 PM,53.973,,,,,
136,04/05/19 12:00:00 AM,53.449,,,,,
