"Plot Title: Waterlab"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309220, SEN S/N: 20309220)","Event, units (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Attached (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Detached (LGR S/N: 20309220, SEN S/N: 20309220)","Host Connected (LGR S/N: 20309220, SEN S/N: 20309220)","Stopped (LGR S/N: 20309220, SEN S/N: 20309220)","End Of File (LGR S/N: 20309220, SEN S/N: 20309220)"
1,04/03/19 05:00:00 PM,61.741,0.00,,,,,
2,04/03/19 06:00:00 PM,59.680,,,,,,
3,04/03/19 07:00:00 PM,56.750,,,,,,
4,04/03/19 08:00:00 PM,52.576,,,,,,
5,04/03/19 09:00:00 PM,51.523,,,,,,
6,04/03/19 10:00:00 PM,52.225,,,,,,
7,04/03/19 11:00:00 PM,52.401,,,,,,
8,04/04/19 12:00:00 AM,52.401,,,,,,
9,04/04/19 01:00:00 AM,52.225,,,,,,
10,04/04/19 02:00:00 AM,52.225,,,,,,
11,04/04/19 03:00:00 AM,52.401,,,,,,
12,04/04/19 04:00:00 AM,52.401,,,,,,
13,04/04/19 05:00:00 AM,52.401,,,,,,
14,04/04/19 05:07:37 AM,,0.01,,,,,
15,04/04/19 06:00:00 AM,52.225,,,,,,
16,04/04/19 07:00:00 AM,52.050,,,,,,
17,04/04/19 07:49:43 AM,,0.02,,,,,
18,04/04/19 08:00:00 AM,52.750,,,,,,
19,04/04/19 09:00:00 AM,55.711,,,,,,
20,04/04/19 09:31:13 AM,,0.03,,,,,
21,04/04/19 10:00:00 AM,55.017,,,,,,
22,04/04/19 11:00:00 AM,57.441,,,,,,
23,04/04/19 12:00:00 PM,60.368,,,,,,
24,04/04/19 01:00:00 PM,64.652,,,,,,
25,04/04/19 02:00:00 PM,64.310,,,,,,
26,04/04/19 03:00:00 PM,61.227,,,,,,
27,04/04/19 04:00:00 PM,61.398,,,,,,
28,04/04/19 05:00:00 PM,61.741,,,,,,
29,04/04/19 06:00:00 PM,61.227,,,,,,
30,04/04/19 07:00:00 PM,57.441,,,,,,
31,04/04/19 08:00:00 PM,54.842,,,,,,
32,04/04/19 09:00:00 PM,53.798,,,,,,
33,04/04/19 10:00:00 PM,53.798,,,,,,
34,04/04/19 11:00:00 PM,53.798,,,,,,
35,04/05/19 12:00:00 AM,50.819,,,,,,
