"Plot Title: UQC"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10592076, SEN S/N: 10592076)","Event, inches (LGR S/N: 10592076, SEN S/N: 10592076)","Coupler Attached (LGR S/N: 10592076, SEN S/N: 10592076)","Coupler Detached (LGR S/N: 10592076, SEN S/N: 10592076)","Host Connected (LGR S/N: 10592076, SEN S/N: 10592076)","Stopped (LGR S/N: 10592076, SEN S/N: 10592076)","End Of File (LGR S/N: 10592076, SEN S/N: 10592076)"
1,04/16/19 11:00:00 AM,68.077,0.00,,,,,
2,04/16/19 12:00:00 PM,69.622,,,,,,
3,04/16/19 01:00:00 PM,68.248,,,,,,
4,04/16/19 02:00:00 PM,69.107,,,,,,
5,04/16/19 03:00:00 PM,67.050,,,,,,
6,04/16/19 04:00:00 PM,67.735,,,,,,
7,04/16/19 05:00:00 PM,65.509,,,,,,
8,04/16/19 06:00:00 PM,65.167,,,,,,
9,04/16/19 07:00:00 PM,59.680,,,,,,
10,04/16/19 08:00:00 PM,51.523,,,,,,
11,04/16/19 09:00:00 PM,48.517,,,,,,
12,04/16/19 10:00:00 PM,47.802,,,,,,
13,04/16/19 11:00:00 PM,46.369,,,,,,
14,04/17/19 12:00:00 AM,45.286,,,,,,
15,04/17/19 01:00:00 AM,44.742,,,,,,
16,04/17/19 02:00:00 AM,44.195,,,,,,
17,04/17/19 03:00:00 AM,43.831,,,,,,
18,04/17/19 04:00:00 AM,43.648,,,,,,
19,04/17/19 05:00:00 AM,44.195,,,,,,
20,04/17/19 06:00:00 AM,42.732,,,,,,
21,04/17/19 07:00:00 AM,44.922,,,,,,
22,04/17/19 08:00:00 AM,49.937,,,,,,
23,04/17/19 09:00:00 AM,66.193,,,,,,
24,04/17/19 10:00:00 AM,66.193,,,,,,
25,04/17/19 11:00:00 AM,68.248,,,,,,
26,04/17/19 12:00:00 PM,70.824,,,,,,
27,04/17/19 01:00:00 PM,71.856,,,,,,
28,04/17/19 02:00:00 PM,70.824,,,,,,
29,04/17/19 03:00:00 PM,72.891,,,,,,
30,04/17/19 04:00:00 PM,72.718,,,,,,
31,04/17/19 05:00:00 PM,74.964,,,,,,
32,04/17/19 06:00:00 PM,72.545,,,,,,
33,04/17/19 07:00:00 PM,64.652,,,,,,
34,04/17/19 08:00:00 PM,57.096,,,,,,
35,04/17/19 09:00:00 PM,56.230,,,,,,
36,04/17/19 10:00:00 PM,50.995,,,,,,
37,04/17/19 11:00:00 PM,49.404,,,,,,
38,04/18/19 12:00:00 AM,48.160,,,,,,
39,04/18/19 01:00:00 AM,47.446,,,,,,
40,04/18/19 02:00:00 AM,48.160,,,,,,
41,04/18/19 03:00:00 AM,47.982,,,,,,
42,04/18/19 04:00:00 AM,49.759,,,,,,
43,04/18/19 05:00:00 AM,50.466,,,,,,
44,04/18/19 06:00:00 AM,50.995,,,,,,
45,04/18/19 07:00:00 AM,50.819,,,,,,
46,04/18/19 08:00:00 AM,57.614,,,,,,
47,04/18/19 09:00:00 AM,70.824,,,,,,
48,04/18/19 10:00:00 AM,80.382,,,,,,
49,04/18/19 11:00:00 AM,81.442,,,,,,
50,04/18/19 12:00:00 PM,81.621,,,,,,
51,04/18/19 01:00:00 PM,84.654,,,,,,
52,04/18/19 02:00:00 PM,81.797,,,,,,
53,04/18/19 03:00:00 PM,83.221,,,,,,
54,04/18/19 04:00:00 PM,85.554,,,,,,
55,04/18/19 05:00:00 PM,81.975,,,,,,
56,04/18/19 06:00:00 PM,77.400,,,,,,
57,04/18/19 07:00:00 PM,72.199,,,,,,
58,04/18/19 08:00:00 PM,57.785,,,,,,
59,04/18/19 09:00:00 PM,49.759,,,,,,
60,04/18/19 10:00:00 PM,55.711,,,,,,
61,04/18/19 11:00:00 PM,50.643,,,,,,
62,04/19/19 12:00:00 AM,52.401,,,,,,
63,04/19/19 01:00:00 AM,50.466,,,,,,
64,04/19/19 02:00:00 AM,46.548,,,,,,
65,04/19/19 03:00:00 AM,48.695,,,,,,
66,04/19/19 04:00:00 AM,48.695,,,,,,
67,04/19/19 05:00:00 AM,45.466,,,,,,
68,04/19/19 06:00:00 AM,46.548,,,,,,
69,04/19/19 07:00:00 AM,48.160,,,,,,
70,04/19/19 08:00:00 AM,57.441,,,,,,
71,04/19/19 09:00:00 AM,68.421,,,,,,
72,04/19/19 10:00:00 AM,64.652,,,,,,
73,04/19/19 11:00:00 AM,71.683,,,,,,
74,04/19/19 12:00:00 PM,77.050,,,,,,
75,04/19/19 01:00:00 PM,70.480,,,,,,
76,04/19/19 02:00:00 PM,71.683,,,,,,
77,04/19/19 03:00:00 PM,64.139,,,,,,
78,04/19/19 04:00:00 PM,68.248,,,,,,
79,04/19/19 05:00:00 PM,63.282,,,,,,
80,04/19/19 06:00:00 PM,56.230,,,,,,
81,04/19/19 07:00:00 PM,53.449,,,,,,
82,04/19/19 08:00:00 PM,52.050,,,,,,
83,04/19/19 09:00:00 PM,51.523,,,,,,
84,04/19/19 10:00:00 PM,51.523,,,,,,
85,04/19/19 11:00:00 PM,51.172,,,,,,
86,04/20/19 12:00:00 AM,50.819,,,,,,
87,04/20/19 01:00:00 AM,49.937,,,,,,
88,04/20/19 02:00:00 AM,50.290,,,,,,
89,04/20/19 03:00:00 AM,50.643,,,,,,
90,04/20/19 04:00:00 AM,50.290,,,,,,
91,04/20/19 05:00:00 AM,49.937,,,,,,
92,04/20/19 06:00:00 AM,50.466,,,,,,
93,04/20/19 07:00:00 AM,50.819,,,,,,
94,04/20/19 08:00:00 AM,52.750,,,,,,
95,04/20/19 09:00:00 AM,56.923,,,,,,
96,04/20/19 10:00:00 AM,58.647,,,,,,
97,04/20/19 11:00:00 AM,58.820,,,,,,
98,04/20/19 12:00:00 PM,58.993,,,,,,
99,04/20/19 01:00:00 PM,57.441,,,,,,
100,04/20/19 02:00:00 PM,60.024,,,,,,
101,04/20/19 03:00:00 PM,60.539,,,,,,
102,04/20/19 04:00:00 PM,68.248,,,,,,
103,04/20/19 05:00:00 PM,62.083,,,,,,
104,04/20/19 06:00:00 PM,54.669,,,,,,
105,04/20/19 07:00:00 PM,51.346,,,,,,
106,04/20/19 08:00:00 PM,49.937,,,,,,
107,04/20/19 09:00:00 PM,49.228,,,,,,
108,04/20/19 10:00:00 PM,49.404,,,,,,
109,04/20/19 11:00:00 PM,48.871,,,,,,
110,04/21/19 12:00:00 AM,48.517,,,,,,
111,04/21/19 01:00:00 AM,48.517,,,,,,
112,04/21/19 02:00:00 AM,48.517,,,,,,
113,04/21/19 03:00:00 AM,48.339,,,,,,
114,04/21/19 04:00:00 AM,48.160,,,,,,
115,04/21/19 05:00:00 AM,44.742,,,,,,
116,04/21/19 06:00:00 AM,44.560,,,,,,
117,04/21/19 07:00:00 AM,43.648,,,,,,
118,04/21/19 08:00:00 AM,53.449,,,,,,
119,04/21/19 09:00:00 AM,63.797,,,,,,
120,04/21/19 10:00:00 AM,65.509,,,,,,
121,04/21/19 11:00:00 AM,66.193,,,,,,
122,04/21/19 12:00:00 PM,70.651,,,,,,
123,04/21/19 01:00:00 PM,70.480,,,,,,
124,04/21/19 02:00:00 PM,70.651,,,,,,
125,04/21/19 03:00:00 PM,73.062,,,,,,
126,04/21/19 04:00:00 PM,72.199,,,,,,
127,04/21/19 05:00:00 PM,69.964,,,,,,
128,04/21/19 06:00:00 PM,65.680,,,,,,
