"Plot Title: RLSM2"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20521510, SEN S/N: 20521510)","Event, units (LGR S/N: 20521510, SEN S/N: 20521510)","Coupler Detached (LGR S/N: 20521510, SEN S/N: 20521510)","Coupler Attached (LGR S/N: 20521510, SEN S/N: 20521510)","Host Connected (LGR S/N: 20521510, SEN S/N: 20521510)","Stopped (LGR S/N: 20521510, SEN S/N: 20521510)","End Of File (LGR S/N: 20521510, SEN S/N: 20521510)"
1,04/24/19 01:42:41 PM,96.942,0.00,,,,,
2,04/24/19 01:42:50 PM,,,Logged,,,,
3,04/24/19 02:42:41 PM,98.897,,,,,,
4,04/24/19 03:42:41 PM,94.253,,,,,,
5,04/24/19 04:42:41 PM,78.975,,,,,,
6,04/24/19 05:42:41 PM,74.791,,,,,,
7,04/24/19 06:42:41 PM,70.651,,,,,,
8,04/24/19 07:42:41 PM,66.879,,,,,,
9,04/24/19 08:42:41 PM,64.652,,,,,,
10,04/24/19 09:42:41 PM,62.940,,,,,,
11,04/24/19 10:42:41 PM,61.912,,,,,,
12,04/24/19 11:42:41 PM,61.054,,,,,,
13,04/25/19 12:42:41 AM,60.368,,,,,,
14,04/25/19 01:42:41 AM,60.024,,,,,,
15,04/25/19 02:42:41 AM,59.508,,,,,,
16,04/25/19 03:42:41 AM,58.993,,,,,,
17,04/25/19 04:42:41 AM,56.750,,,,,,
18,04/25/19 05:42:41 AM,56.057,,,,,,
19,04/25/19 06:42:41 AM,54.669,,,,,,
20,04/25/19 07:42:41 AM,53.973,,,,,,
21,04/25/19 08:42:41 AM,55.537,,,,,,
22,04/25/19 09:42:41 AM,57.958,,,,,,
23,04/25/19 10:42:41 AM,60.712,,,,,,
24,04/25/19 11:42:41 AM,64.139,,,,,,
25,04/25/19 12:42:41 PM,77.923,,,,,,
26,04/25/19 01:42:41 PM,90.124,,,,,,
27,04/25/19 02:42:41 PM,92.926,,,,,,
28,04/25/19 03:42:41 PM,86.277,,,,,,
29,04/25/19 04:42:41 PM,69.793,,,,,,
30,04/25/19 05:42:41 PM,64.139,,,,,,
31,04/25/19 06:42:41 PM,61.912,,,,,,
32,04/25/19 07:42:41 PM,58.647,,,,,,
33,04/25/19 08:42:41 PM,57.096,,,,,,
34,04/25/19 09:42:41 PM,54.669,,,,,,
35,04/25/19 10:42:41 PM,54.669,,,,,,
36,04/25/19 11:42:41 PM,52.576,,,,,,
37,04/26/19 12:42:41 AM,53.100,,,,,,
38,04/26/19 01:42:41 AM,53.449,,,,,,
39,04/26/19 02:42:41 AM,53.449,,,,,,
40,04/26/19 03:42:41 AM,51.172,,,,,,
41,04/26/19 04:42:41 AM,49.228,,,,,,
42,04/26/19 05:42:41 AM,51.523,,,,,,
43,04/26/19 06:42:41 AM,53.100,,,,,,
44,04/26/19 07:42:41 AM,52.576,,,,,,
45,04/26/19 08:42:41 AM,53.449,,,,,,
46,04/26/19 09:42:41 AM,53.798,,,,,,
47,04/26/19 10:42:41 AM,57.441,,,,,,
48,04/26/19 11:42:41 AM,60.883,,,,,,
49,04/26/19 12:42:41 PM,77.574,,,,,,
50,04/26/19 01:42:41 PM,88.466,,,,,,
51,04/26/19 02:42:41 PM,89.017,,,,,,
52,04/26/19 03:42:41 PM,81.090,,,,,,
53,04/26/19 04:42:41 PM,64.996,,,,,,
54,04/26/19 05:42:41 PM,61.227,,,,,,
55,04/26/19 06:42:41 PM,58.647,,,,,,
56,04/26/19 07:42:41 PM,55.711,,,,,,
57,04/26/19 08:42:41 PM,53.798,,,,,,
58,04/26/19 09:42:41 PM,51.874,,,,,,
59,04/26/19 10:42:41 PM,49.404,,,,,,
60,04/26/19 11:42:41 PM,47.802,,,,,,
61,04/27/19 12:42:41 AM,47.088,,,,,,
62,04/27/19 01:42:41 AM,46.188,,,,,,
63,04/27/19 02:42:41 AM,45.648,,,,,,
64,04/27/19 03:42:41 AM,47.266,,,,,,
65,04/27/19 04:42:41 AM,47.982,,,,,,
66,04/27/19 05:42:41 AM,48.517,,,,,,
67,04/27/19 06:42:41 AM,48.695,,,,,,
68,04/27/19 07:42:41 AM,49.404,,,,,,
69,04/27/19 08:42:41 AM,51.346,,,,,,
70,04/27/19 09:42:41 AM,55.017,,,,,,
71,04/27/19 10:42:41 AM,56.577,,,,,,
72,04/27/19 11:42:41 AM,58.303,,,,,,
73,04/27/19 12:42:41 PM,68.421,,,,,,
74,04/27/19 01:42:41 PM,82.152,,,,,,
75,04/27/19 02:42:41 PM,61.741,,,,,,
76,04/27/19 03:42:41 PM,58.131,,,,,,
77,04/27/19 04:42:41 PM,59.337,,,,,,
78,04/27/19 05:42:41 PM,56.750,,,,,,
79,04/27/19 06:42:41 PM,53.973,,,,,,
80,04/27/19 07:42:41 PM,51.523,,,,,,
81,04/27/19 08:42:41 PM,50.290,,,,,,
82,04/27/19 09:42:41 PM,49.404,,,,,,
