"Plot Title: RLNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592085, SEN S/N: 10592085)","Event, units (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Detached (LGR S/N: 10592085, SEN S/N: 10592085)","Bad Battery (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Attached (LGR S/N: 10592085, SEN S/N: 10592085)","Host Connected (LGR S/N: 10592085, SEN S/N: 10592085)","Stopped (LGR S/N: 10592085, SEN S/N: 10592085)","End Of File (LGR S/N: 10592085, SEN S/N: 10592085)"
1,11/16/18 12:19:38 PM,85.554,0.00,,,,,,
2,11/16/18 12:19:44 PM,,,Logged,,,,,
3,11/16/18 01:19:38 PM,66.537,,,,,,,
4,11/16/18 02:19:38 PM,66.193,,,,,,,
5,11/16/18 03:19:38 PM,65.851,,,,,,,
6,11/16/18 04:19:38 PM,61.054,,,,,,,
7,11/16/18 05:19:38 PM,55.884,,,,,,,
8,11/16/18 06:19:38 PM,54.495,,,,,,,
9,11/16/18 07:19:38 PM,54.495,,,,,,,
10,11/16/18 08:19:38 PM,53.274,,,,,,,
11,11/16/18 09:19:38 PM,52.050,,,,,,,
12,11/16/18 10:19:38 PM,51.699,,,,,,,
13,11/16/18 11:19:38 PM,51.172,,,,,,,
14,11/17/18 12:19:38 AM,51.874,,,,,,,
15,11/17/18 01:19:38 AM,51.172,,,,,,,
16,11/17/18 02:19:38 AM,49.937,,,,,,,
17,11/17/18 03:19:38 AM,49.404,,,,,,,
18,11/17/18 04:19:38 AM,48.517,,,,,,,
19,11/17/18 05:19:38 AM,49.050,,,,,,,
20,11/17/18 06:19:38 AM,49.759,,,,,,,
21,11/17/18 07:19:38 AM,49.228,,,,,,,
22,11/17/18 08:19:38 AM,47.982,,,,,,,
23,11/17/18 09:19:38 AM,48.695,,,,,,,
24,11/17/18 10:19:38 AM,50.819,,,,,,,
25,11/17/18 11:19:38 AM,54.669,,,,,,,
26,11/17/18 12:19:38 PM,63.626,,,,,,,
27,11/17/18 01:19:38 PM,58.993,,,,,,,
28,11/17/18 02:19:38 PM,59.680,,,,,,,
29,11/17/18 03:19:38 PM,58.476,,,,,,,
30,11/17/18 04:19:38 PM,54.495,,,,,,,
31,11/17/18 05:19:38 PM,49.759,,,,,,,
32,11/17/18 06:19:38 PM,49.228,,,,,,,
33,11/17/18 07:19:38 PM,47.446,,,,,,,
34,11/17/18 08:19:38 PM,46.369,,,,,,,
35,11/17/18 09:19:38 PM,47.088,,,,,,,
36,11/17/18 10:19:38 PM,46.908,,,,,,,
37,11/17/18 11:19:38 PM,46.369,,,,,,,
38,11/18/18 12:19:38 AM,45.828,,,,,,,
39,11/18/18 01:19:38 AM,45.286,,,,,,,
40,11/18/18 02:19:38 AM,45.466,,,,,,,
41,11/18/18 03:19:38 AM,45.648,,,,,,,
42,11/18/18 04:19:38 AM,45.466,,,,,,,
43,11/18/18 05:19:38 AM,45.286,,,,,,,
44,11/18/18 06:19:38 AM,45.286,,,,,,,
45,11/18/18 07:19:38 AM,45.286,,,,,,,
46,11/18/18 08:19:38 AM,46.728,,,,,,,
47,11/18/18 09:19:38 AM,49.937,,,,,,,
48,11/18/18 10:19:38 AM,52.401,,,,,,,
49,11/18/18 11:19:38 AM,55.884,,,,,,,
50,11/18/18 12:19:38 PM,63.626,,,,,,,
51,11/18/18 01:19:38 PM,61.741,,,,,,,
52,11/18/18 02:19:38 PM,61.227,,,,,,,
53,11/18/18 03:19:38 PM,61.227,,,,,,,
54,11/18/18 04:19:38 PM,57.958,,,,,,,
55,11/18/18 05:19:38 PM,51.523,,,,,,,
56,11/18/18 06:19:38 PM,50.290,,,,,,,
57,11/18/18 07:19:38 PM,50.113,,,,,,,
58,11/18/18 08:19:38 PM,49.582,,,,,,,
59,11/18/18 09:19:38 PM,48.871,,,,,,,
60,11/18/18 10:19:38 PM,48.695,,,,,,,
61,11/18/18 11:19:38 PM,48.695,,,,,,,
62,11/19/18 12:19:38 AM,49.228,,,,,,,
63,11/19/18 01:19:38 AM,49.937,,,,,,,
64,11/19/18 02:19:38 AM,49.759,,,,,,,
65,11/19/18 03:19:38 AM,49.937,,,,,,,
66,11/19/18 04:19:38 AM,50.290,,,,,,,
67,11/19/18 05:19:38 AM,50.643,,,,,,,
68,11/19/18 06:19:38 AM,51.523,,,,,,,
69,11/19/18 07:19:38 AM,51.874,,,,,,,
70,11/19/18 08:19:38 AM,53.274,,,,,,,
71,11/19/18 09:19:38 AM,56.404,,,,,,,
72,11/19/18 10:19:38 AM,58.993,,,,,,,
73,11/19/18 11:19:38 AM,62.425,,,,,,,
74,11/19/18 12:19:38 PM,66.022,,,,,,,
75,11/19/18 01:19:38 PM,68.934,,,,,,,
76,11/19/18 02:19:38 PM,65.680,,,,,,,
77,11/19/18 03:19:38 PM,63.797,,,,,,,
78,11/19/18 04:19:38 PM,59.680,,,,,,,
79,11/19/18 05:19:38 PM,56.923,,,,,,,
80,11/19/18 06:19:38 PM,55.189,,,,,,,
81,11/19/18 07:19:38 PM,54.495,,,,,,,
82,11/19/18 08:19:38 PM,53.973,,,,,,,
83,11/19/18 09:19:38 PM,53.449,,,,,,,
84,11/19/18 10:19:38 PM,52.750,,,,,,,
85,11/19/18 11:19:38 PM,52.225,,,,,,,
86,11/20/18 12:19:38 AM,51.699,,,,,,,
87,11/20/18 01:19:38 AM,50.466,,,,,,,
88,11/20/18 02:19:38 AM,49.228,,,,,,,
89,11/20/18 03:19:38 AM,47.982,,,,,,,
90,11/20/18 04:19:38 AM,47.266,,,,,,,
91,11/20/18 05:19:38 AM,48.339,,,,,,,
92,11/20/18 06:19:38 AM,48.339,,,,,,,
93,11/20/18 07:19:38 AM,49.050,,,,,,,
94,11/20/18 08:19:38 AM,50.113,,,Logged,,,,
95,11/20/18 09:19:38 AM,52.050,,,,,,,
96,11/20/18 10:19:38 AM,53.798,,,,,,,
97,11/20/18 11:19:38 AM,58.131,,,,,,,
98,11/20/18 12:19:38 PM,65.338,,,,,,,
99,11/20/18 01:19:38 PM,63.111,,,,,,,
100,11/20/18 02:19:38 PM,63.626,,,,,,,
101,11/20/18 03:19:38 PM,62.598,,,,,,,
102,11/20/18 04:19:38 PM,58.647,,,,,,,
103,11/20/18 05:19:38 PM,54.322,,,,,,,
104,11/20/18 06:19:38 PM,52.925,,,,,,,
105,11/20/18 07:19:38 PM,52.750,,,,,,,
106,11/20/18 08:19:38 PM,53.449,,,,,,,
107,11/20/18 09:19:38 PM,54.495,,,,,,,
108,11/20/18 10:19:38 PM,55.364,,,,,,,
109,11/20/18 11:19:38 PM,55.364,,,,,,,
110,11/21/18 12:19:38 AM,55.364,,,,,,,
111,11/21/18 12:34:45 AM,,0.01,,,,,,
112,11/21/18 01:04:10 AM,,0.02,,,,,,
113,11/21/18 01:15:07 AM,,0.03,,,,,,
114,11/21/18 01:19:38 AM,53.274,,,,,,,
115,11/21/18 01:25:41 AM,,0.04,,,,,,
116,11/21/18 01:30:01 AM,,0.05,,,,,,
117,11/21/18 01:33:40 AM,,0.06,,,,,,
118,11/21/18 01:33:41 AM,,0.07,,,,,,
119,11/21/18 01:36:39 AM,,0.08,,,,,,
120,11/21/18 02:17:47 AM,,0.09,,,,,,
121,11/21/18 02:17:48 AM,,0.10,,,,,,
122,11/21/18 02:19:38 AM,53.449,,,,,,,
123,11/21/18 03:19:38 AM,54.147,,,,,,,
124,11/21/18 04:19:38 AM,54.669,,,,,,,
125,11/21/18 04:56:36 AM,,0.11,,,,,,
126,11/21/18 05:19:38 AM,55.189,,,,,,,
127,11/21/18 06:19:38 AM,55.537,,,,,,,
128,11/21/18 06:32:32 AM,,0.12,,,,,,
129,11/21/18 06:34:59 AM,,0.13,,,,,,
130,11/21/18 06:38:27 AM,,0.14,,,,,,
131,11/21/18 06:41:54 AM,,0.15,,,,,,
132,11/21/18 06:45:46 AM,,0.16,,,,,,
133,11/21/18 06:52:50 AM,,0.17,,,,,,
134,11/21/18 07:19:38 AM,54.842,,,,,,,
135,11/21/18 07:28:43 AM,,0.18,,,,,,
136,11/21/18 07:28:44 AM,,0.19,,,,,,
137,11/21/18 07:48:43 AM,,0.20,,,,,,
138,11/21/18 07:54:59 AM,,0.21,,,,,,
139,11/21/18 07:57:25 AM,,0.22,,,,,,
140,11/21/18 07:58:53 AM,,0.23,,,,,,
141,11/21/18 07:58:54 AM,,0.24,,,,,,
142,11/21/18 08:00:40 AM,,0.25,,,,,,
143,11/21/18 08:02:22 AM,,0.26,,,,,,
144,11/21/18 08:03:23 AM,,0.27,,,,,,
145,11/21/18 08:03:24 AM,,0.28,,,,,,
146,11/21/18 08:05:16 AM,,0.29,,,,,,
147,11/21/18 08:05:17 AM,,0.30,,,,,,
148,11/21/18 08:07:03 AM,,0.31,,,,,,
149,11/21/18 08:08:08 AM,,0.32,,,,,,
150,11/21/18 08:09:03 AM,,0.33,,,,,,
151,11/21/18 08:10:02 AM,,0.34,,,,,,
152,11/21/18 08:11:59 AM,,0.35,,,,,,
153,11/21/18 08:12:00 AM,,0.36,,,,,,
154,11/21/18 08:13:52 AM,,0.37,,,,,,
155,11/21/18 08:13:53 AM,,0.38,,,,,,
156,11/21/18 08:16:12 AM,,0.39,,,,,,
157,11/21/18 08:18:28 AM,,0.40,,,,,,
158,11/21/18 08:18:29 AM,,0.41,,,,,,
159,11/21/18 08:19:38 AM,53.274,,,,,,,
160,11/21/18 08:21:02 AM,,0.42,,,,,,
161,11/21/18 08:23:19 AM,,0.43,,,,,,
162,11/21/18 08:24:25 AM,,0.44,,,,,,
163,11/21/18 08:26:22 AM,,0.45,,,,,,
164,11/21/18 08:26:23 AM,,0.46,,,,,,
165,11/21/18 08:27:56 AM,,0.47,,,,,,
166,11/21/18 08:29:11 AM,,0.48,,,,,,
167,11/21/18 08:29:12 AM,,0.49,,,,,,
168,11/21/18 08:30:17 AM,,0.50,,,,,,
169,11/21/18 08:30:58 AM,,0.51,,,,,,
170,11/21/18 08:33:07 AM,,0.52,,,,,,
171,11/21/18 08:33:08 AM,,0.53,,,,,,
172,11/21/18 08:35:25 AM,,0.54,,,,,,
173,11/21/18 08:37:33 AM,,0.55,,,,,,
174,11/21/18 08:40:18 AM,,0.56,,,,,,
175,11/21/18 08:41:55 AM,,0.57,,,,,,
176,11/21/18 08:42:33 AM,,0.58,,,,,,
177,11/21/18 08:42:34 AM,,0.59,,,,,,
178,11/21/18 08:43:17 AM,,0.60,,,,,,
179,11/21/18 08:44:10 AM,,0.61,,,,,,
180,11/21/18 08:44:11 AM,,0.62,,,,,,
181,11/21/18 08:45:09 AM,,0.63,,,,,,
182,11/21/18 08:45:10 AM,,0.64,,,,,,
183,11/21/18 08:46:02 AM,,0.65,,,,,,
184,11/21/18 08:46:48 AM,,0.66,,,,,,
185,11/21/18 08:48:11 AM,,0.67,,,,,,
186,11/21/18 08:48:12 AM,,0.68,,,,,,
187,11/21/18 08:49:47 AM,,0.69,,,,,,
188,11/21/18 08:51:56 AM,,0.70,,,,,,
189,11/21/18 08:52:53 AM,,0.71,,,,,,
190,11/21/18 08:53:43 AM,,0.72,,,,,,
191,11/21/18 08:53:44 AM,,0.73,,,,,,
192,11/21/18 08:55:05 AM,,0.74,,,,,,
193,11/21/18 08:56:59 AM,,0.75,,,,,,
194,11/21/18 08:58:25 AM,,0.76,,,,,,
195,11/21/18 09:01:22 AM,,0.77,,,,,,
196,11/21/18 09:03:33 AM,,0.78,,,,,,
197,11/21/18 09:08:37 AM,,0.79,,,,,,
198,11/21/18 09:11:50 AM,,0.80,,,,,,
199,11/21/18 09:14:41 AM,,0.81,,,,,,
200,11/21/18 09:14:42 AM,,0.82,,,,,,
201,11/21/18 09:16:24 AM,,0.83,,,,,,
202,11/21/18 09:19:01 AM,,0.84,,,,,,
203,11/21/18 09:19:02 AM,,0.85,,,,,,
204,11/21/18 09:19:38 AM,53.798,,,,,,,
205,11/21/18 09:23:19 AM,,0.86,,,,,,
206,11/21/18 09:26:21 AM,,0.87,,,,,,
207,11/21/18 09:28:03 AM,,0.88,,,,,,
208,11/21/18 09:29:29 AM,,0.89,,,,,,
209,11/21/18 09:29:30 AM,,0.90,,,,,,
210,11/21/18 09:31:08 AM,,0.91,,,,,,
211,11/21/18 09:35:41 AM,,0.92,,,,,,
212,11/21/18 09:35:42 AM,,0.93,,,,,,
213,11/21/18 09:38:49 AM,,0.94,,,,,,
214,11/21/18 09:41:48 AM,,0.95,,,,,,
215,11/21/18 09:44:46 AM,,0.96,,,,,,
216,11/21/18 09:45:53 AM,,0.97,,,,,,
217,11/21/18 09:46:42 AM,,0.98,,,,,,
218,11/21/18 09:50:03 AM,,0.99,,,,,,
219,11/21/18 09:53:01 AM,,1.00,,,,,,
220,11/21/18 09:53:54 AM,,1.01,,,,,,
221,11/21/18 09:55:08 AM,,1.02,,,,,,
222,11/21/18 10:01:21 AM,,1.03,,,,,,
223,11/21/18 10:01:22 AM,,1.04,,,,,,
224,11/21/18 10:09:08 AM,,1.05,,,,,,
225,11/21/18 10:19:23 AM,,1.06,,,,,,
226,11/21/18 10:19:24 AM,,1.07,,,,,,
227,11/21/18 10:19:38 AM,55.364,,,,,,,
228,11/21/18 10:20:10 AM,,1.08,,,,,,
229,11/21/18 10:20:36 AM,,1.09,,,,,,
230,11/21/18 10:21:04 AM,,1.10,,,,,,
231,11/21/18 10:21:57 AM,,1.11,,,,,,
232,11/21/18 10:23:04 AM,,1.12,,,,,,
233,11/21/18 10:24:03 AM,,1.13,,,,,,
234,11/21/18 10:24:49 AM,,1.14,,,,,,
235,11/21/18 10:25:58 AM,,1.15,,,,,,
236,11/21/18 10:27:26 AM,,1.16,,,,,,
237,11/21/18 10:32:06 AM,,1.17,,,,,,
238,11/21/18 10:33:45 AM,,1.18,,,,,,
239,11/21/18 10:35:12 AM,,1.19,,,,,,
