"Plot Title: Waterlab"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309220, SEN S/N: 20309220)","Event, units (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Detached (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Attached (LGR S/N: 20309220, SEN S/N: 20309220)","Host Connected (LGR S/N: 20309220, SEN S/N: 20309220)","Stopped (LGR S/N: 20309220, SEN S/N: 20309220)","End Of File (LGR S/N: 20309220, SEN S/N: 20309220)"
1,11/13/18 03:10:52 PM,72.199,0.00,,,,,
2,11/13/18 03:13:08 PM,,,Logged,,,,
3,11/13/18 04:10:52 PM,59.851,,,,,,
4,11/13/18 05:10:52 PM,50.643,,,,,,
5,11/13/18 06:10:52 PM,46.188,,,,,,
6,11/13/18 07:10:52 PM,44.379,,,,,,
7,11/13/18 08:10:52 PM,40.509,,,,,,
8,11/13/18 09:10:52 PM,39.760,,,,,,
9,11/13/18 10:10:52 PM,40.321,,,,,,
10,11/13/18 11:10:52 PM,40.321,,,,,,
11,11/14/18 12:10:52 AM,35.370,,,,,,
12,11/14/18 01:10:52 AM,33.607,,,,,,
13,11/14/18 02:10:52 AM,31.816,,,,,,
14,11/14/18 03:10:52 AM,30.403,,,,,,
15,11/14/18 04:10:52 AM,29.379,,,,,,
16,11/14/18 05:10:52 AM,28.346,,,,,,
17,11/14/18 06:10:52 AM,27.930,,,,,,
18,11/14/18 07:10:52 AM,27.302,,,,,,
19,11/14/18 08:10:52 AM,30.403,,,,,,
20,11/14/18 09:10:52 AM,37.679,,,,,,
21,11/14/18 10:10:52 AM,64.310,,,,,,
22,11/14/18 11:10:52 AM,77.574,,,,,,
23,11/14/18 12:10:52 PM,83.757,,,,,,
24,11/14/18 01:10:52 PM,84.295,,,,,,
25,11/14/18 02:10:52 PM,67.050,,,,,,
26,11/14/18 03:10:52 PM,64.139,,,,,,
27,11/14/18 04:10:52 PM,56.750,,,,,,
28,11/14/18 05:10:52 PM,49.759,,,,,,
29,11/14/18 06:10:52 PM,44.195,,,,,,
30,11/14/18 07:10:52 PM,41.067,,,,,,
31,11/14/18 08:10:52 PM,38.440,,,,,,
32,11/14/18 09:10:52 PM,35.564,,,,,,
33,11/14/18 10:10:52 PM,34.198,,,,,,
34,11/14/18 11:10:52 PM,33.213,,,,,,
35,11/15/18 12:10:52 AM,31.012,,,,,,
36,11/15/18 01:10:52 AM,29.995,,,,,,
37,11/15/18 02:10:52 AM,30.198,,,,,,
38,11/15/18 03:10:52 AM,29.174,,,,,,
39,11/15/18 04:10:52 AM,28.555,,,,,,
40,11/15/18 05:10:52 AM,27.511,,,,,,
41,11/15/18 06:10:52 AM,27.721,,,,,,
42,11/15/18 07:10:52 AM,28.346,,,,,,
43,11/15/18 08:10:52 AM,34.002,,,,,,
44,11/15/18 09:10:52 AM,40.134,,,,,,
45,11/15/18 10:10:52 AM,55.189,,,,,,
46,11/15/18 11:10:52 AM,65.509,,,,,,
47,11/15/18 12:10:52 PM,78.274,,,,,,
48,11/15/18 01:10:52 PM,79.678,,,,,,
49,11/15/18 02:10:52 PM,68.592,,,,,,
50,11/15/18 03:10:52 PM,61.398,,,,,,
51,11/15/18 04:10:52 PM,54.322,,,,,,
52,11/15/18 05:10:52 PM,47.802,,,,,,
53,11/15/18 06:10:52 PM,42.915,,,,,,
54,11/15/18 07:10:52 PM,40.134,,,,,,
55,11/15/18 08:10:52 PM,38.440,,,,,,
56,11/15/18 09:10:52 PM,35.951,,,,,,
57,11/15/18 10:10:52 PM,34.394,,,,,,
58,11/15/18 11:10:52 PM,33.213,,,,,,
59,11/16/18 12:10:52 AM,32.018,,,,,,
60,11/16/18 01:10:52 AM,31.415,,,,,,
61,11/16/18 02:10:52 AM,30.607,,,,,,
62,11/16/18 03:10:52 AM,29.586,,,,,,
63,11/16/18 04:10:52 AM,28.762,,,,,,
64,11/16/18 05:10:52 AM,28.139,,,,,,
65,11/16/18 06:10:52 AM,27.721,,,,,,
66,11/16/18 07:10:52 AM,27.930,,,,,,
67,11/16/18 08:10:52 AM,31.213,,,,,,
68,11/16/18 09:10:52 AM,38.061,,,,,,
69,11/16/18 10:10:52 AM,62.254,,,,,,
70,11/16/18 11:10:52 AM,70.137,,,,,,
71,11/16/18 12:10:52 PM,79.326,,,,,,
72,11/16/18 01:10:52 PM,82.330,,,,,,
73,11/16/18 02:10:52 PM,69.107,,,,,,
74,11/16/18 03:10:52 PM,62.425,,,,,,
75,11/16/18 04:10:52 PM,55.884,,,,,,
76,11/16/18 05:10:52 PM,48.517,,,,,,
77,11/16/18 06:10:52 PM,43.466,,,,,,
78,11/16/18 07:10:52 PM,40.696,,,,,,
79,11/16/18 08:10:52 PM,38.250,,,,,,
