"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,11/28/18 02:48:59 PM,61.398,0.00,,,,,
2,11/28/18 02:49:05 PM,,,Logged,,,,
3,11/28/18 03:48:59 PM,57.268,,,,,,
4,11/28/18 04:25:17 PM,,0.01,,,,,
5,11/28/18 04:48:59 PM,56.057,,,,,,
6,11/28/18 04:59:18 PM,,0.02,,,,,
7,11/28/18 05:01:46 PM,,0.03,,,,,
8,11/28/18 05:06:33 PM,,0.04,,,,,
9,11/28/18 05:11:21 PM,,0.05,,,,,
10,11/28/18 05:14:49 PM,,0.06,,,,,
11,11/28/18 05:22:59 PM,,0.07,,,,,
12,11/28/18 05:27:56 PM,,0.08,,,,,
13,11/28/18 05:38:29 PM,,0.09,,,,,
14,11/28/18 05:48:59 PM,55.711,,,,,,
15,11/28/18 05:57:41 PM,,0.10,,,,,
16,11/28/18 06:48:59 PM,55.884,,,,,,
17,11/28/18 06:52:14 PM,,0.11,,,,,
18,11/28/18 07:05:06 PM,,0.12,,,,,
19,11/28/18 07:48:59 PM,55.884,,,,,,
20,11/28/18 08:00:25 PM,,0.13,,,,,
21,11/28/18 08:22:03 PM,,0.14,,,,,
22,11/28/18 08:25:21 PM,,0.15,,,,,
23,11/28/18 08:27:35 PM,,0.16,,,,,
24,11/28/18 08:30:04 PM,,0.17,,,,,
25,11/28/18 08:34:37 PM,,0.18,,,,,
26,11/28/18 08:39:46 PM,,0.19,,,,,
27,11/28/18 08:41:07 PM,,0.20,,,,,
28,11/28/18 08:43:26 PM,,0.21,,,,,
29,11/28/18 08:45:37 PM,,0.22,,,,,
30,11/28/18 08:46:31 PM,,0.23,,,,,
31,11/28/18 08:48:04 PM,,0.24,,,,,
32,11/28/18 08:48:59 PM,55.884,,,,,,
33,11/28/18 08:49:25 PM,,0.25,,,,,
34,11/28/18 08:50:40 PM,,0.26,,,,,
35,11/28/18 08:51:16 PM,,0.27,,,,,
36,11/28/18 08:52:16 PM,,0.28,,,,,
37,11/28/18 08:53:44 PM,,0.29,,,,,
38,11/28/18 08:54:41 PM,,0.30,,,,,
39,11/28/18 08:57:07 PM,,0.31,,,,,
40,11/28/18 09:00:18 PM,,0.32,,,,,
41,11/28/18 09:03:13 PM,,0.33,,,,,
42,11/28/18 09:05:47 PM,,0.34,,,,,
43,11/28/18 09:07:07 PM,,0.35,,,,,
44,11/28/18 09:10:45 PM,,0.36,,,,,
45,11/28/18 09:13:50 PM,,0.37,,,,,
46,11/28/18 09:26:21 PM,,0.38,,,,,
47,11/28/18 09:47:39 PM,,0.39,,,,,
48,11/28/18 09:48:59 PM,56.577,,,,,,
49,11/28/18 09:55:21 PM,,0.40,,,,,
50,11/28/18 09:56:31 PM,,0.41,,,,,
51,11/28/18 09:57:37 PM,,0.42,,,,,
52,11/28/18 09:58:47 PM,,0.43,,,,,
53,11/28/18 10:01:07 PM,,0.44,,,,,
54,11/28/18 10:08:56 PM,,0.45,,,,,
55,11/28/18 10:11:59 PM,,0.46,,,,,
56,11/28/18 10:13:21 PM,,0.47,,,,,
57,11/28/18 10:16:11 PM,,0.48,,,,,
58,11/28/18 10:17:07 PM,,0.49,,,,,
59,11/28/18 10:18:01 PM,,0.50,,,,,
60,11/28/18 10:19:41 PM,,0.51,,,,,
61,11/28/18 10:23:22 PM,,0.52,,,,,
62,11/28/18 10:26:33 PM,,0.53,,,,,
63,11/28/18 10:28:47 PM,,0.54,,,,,
64,11/28/18 10:29:59 PM,,0.55,,,,,
65,11/28/18 10:31:15 PM,,0.56,,,,,
66,11/28/18 10:32:02 PM,,0.57,,,,,
67,11/28/18 10:32:32 PM,,0.58,,,,,
68,11/28/18 10:32:51 PM,,0.59,,,,,
69,11/28/18 10:33:14 PM,,0.60,,,,,
70,11/28/18 10:33:42 PM,,0.61,,,,,
71,11/28/18 10:34:12 PM,,0.62,,,,,
72,11/28/18 10:34:33 PM,,0.63,,,,,
73,11/28/18 10:35:18 PM,,0.64,,,,,
74,11/28/18 10:35:54 PM,,0.65,,,,,
75,11/28/18 10:37:27 PM,,0.66,,,,,
76,11/28/18 10:45:10 PM,,0.67,,,,,
77,11/28/18 10:48:48 PM,,0.68,,,,,
78,11/28/18 10:48:59 PM,56.750,,,,,,
79,11/28/18 10:49:38 PM,,0.69,,,,,
80,11/28/18 10:51:22 PM,,0.70,,,,,
81,11/28/18 10:54:15 PM,,0.71,,,,,
82,11/28/18 10:59:54 PM,,0.72,,,,,
83,11/28/18 11:07:29 PM,,0.73,,,,,
84,11/28/18 11:08:27 PM,,0.74,,,,,
85,11/28/18 11:09:12 PM,,0.75,,,,,
86,11/28/18 11:09:38 PM,,0.76,,,,,
87,11/28/18 11:10:07 PM,,0.77,,,,,
88,11/28/18 11:10:32 PM,,0.78,,,,,
89,11/28/18 11:11:04 PM,,0.79,,,,,
90,11/28/18 11:11:27 PM,,0.80,,,,,
91,11/28/18 11:11:42 PM,,0.81,,,,,
92,11/28/18 11:12:16 PM,,0.82,,,,,
93,11/28/18 11:13:09 PM,,0.83,,,,,
94,11/28/18 11:14:10 PM,,0.84,,,,,
95,11/28/18 11:15:04 PM,,0.85,,,,,
96,11/28/18 11:16:14 PM,,0.86,,,,,
97,11/28/18 11:16:58 PM,,0.87,,,,,
98,11/28/18 11:17:55 PM,,0.88,,,,,
99,11/28/18 11:18:44 PM,,0.89,,,,,
100,11/28/18 11:20:49 PM,,0.90,,,,,
101,11/28/18 11:23:10 PM,,0.91,,,,,
102,11/28/18 11:48:59 PM,55.711,,,,,,
103,11/28/18 11:49:39 PM,,0.92,,,,,
104,11/29/18 12:19:44 AM,,0.93,,,,,
105,11/29/18 12:21:09 AM,,0.94,,,,,
