"Plot Title: Als"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309221, SEN S/N: 20309221)","Event, units (LGR S/N: 20309221, SEN S/N: 20309221)","Coupler Detached (LGR S/N: 20309221, SEN S/N: 20309221)","Coupler Attached (LGR S/N: 20309221, SEN S/N: 20309221)","Host Connected (LGR S/N: 20309221, SEN S/N: 20309221)","Stopped (LGR S/N: 20309221, SEN S/N: 20309221)","End Of File (LGR S/N: 20309221, SEN S/N: 20309221)"
1,12/12/18 10:34:29 AM,73.062,0.00,,,,,
2,12/12/18 10:34:38 AM,,,Logged,,,,
3,12/12/18 11:34:29 AM,70.480,,,,,,
4,12/12/18 12:34:29 PM,72.028,,,,,,
5,12/12/18 01:34:29 PM,75.312,,,,,,
6,12/12/18 02:34:29 PM,78.098,,,,,,
7,12/12/18 03:34:29 PM,78.449,,,,,,
8,12/12/18 04:34:29 PM,65.680,,,,,,
9,12/12/18 05:34:29 PM,53.100,,,,,,
10,12/12/18 06:34:29 PM,49.582,,,,,,
11,12/12/18 07:34:29 PM,47.982,,,,,,
12,12/12/18 08:34:29 PM,46.728,,,,,,
13,12/12/18 09:34:29 PM,45.648,,,,,,
14,12/12/18 10:34:29 PM,44.742,,,,,,
15,12/12/18 11:34:29 PM,43.466,,,,,,
16,12/13/18 12:34:29 AM,43.282,,,,,,
17,12/13/18 01:34:29 AM,43.648,,,,,,
18,12/13/18 02:34:29 AM,43.099,,,,,,
19,12/13/18 03:34:29 AM,43.099,,,,,,
20,12/13/18 04:34:29 AM,41.994,,,,,,
21,12/13/18 05:34:29 AM,42.732,,,,,,
22,12/13/18 06:34:29 AM,41.067,,,,,,
23,12/13/18 07:34:29 AM,41.067,,,,,,
24,12/13/18 08:34:29 AM,42.732,,,,,,
25,12/13/18 09:34:29 AM,66.879,,,,,,
26,12/13/18 10:34:29 AM,71.512,,,,,,
27,12/13/18 11:34:29 AM,71.168,,,,,,
28,12/13/18 12:34:29 PM,72.372,,,,,,
29,12/13/18 01:34:29 PM,74.619,,,,,,
30,12/13/18 02:34:29 PM,77.574,,,,,,
31,12/13/18 03:34:29 PM,79.678,,,,,,
32,12/13/18 04:34:29 PM,67.221,,,,,,
