"Plot Title: HS"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592074, SEN S/N: 10592074)","Event, units (LGR S/N: 10592074, SEN S/N: 10592074)","Coupler Detached (LGR S/N: 10592074, SEN S/N: 10592074)","Coupler Attached (LGR S/N: 10592074, SEN S/N: 10592074)","Host Connected (LGR S/N: 10592074, SEN S/N: 10592074)","Stopped (LGR S/N: 10592074, SEN S/N: 10592074)","End Of File (LGR S/N: 10592074, SEN S/N: 10592074)"
1,12/12/18 11:09:32 AM,65.338,0.00,,,,,
2,12/12/18 11:09:38 AM,,,Logged,,,,
3,12/12/18 12:09:32 PM,63.968,,,,,,
4,12/12/18 01:09:32 PM,62.769,,,,,,
5,12/12/18 02:09:32 PM,62.425,,,,,,
6,12/12/18 03:09:32 PM,60.539,,,,,,
7,12/12/18 04:09:32 PM,56.404,,,,,,
8,12/12/18 05:09:32 PM,53.449,,,,,,
9,12/12/18 06:09:32 PM,50.643,,,,,,
10,12/12/18 07:09:32 PM,49.582,,,,,,
11,12/12/18 08:09:32 PM,52.050,,,,,,
12,12/12/18 09:09:32 PM,51.699,,,,,,
13,12/12/18 10:09:32 PM,49.228,,,,,,
14,12/12/18 11:09:32 PM,48.517,,,,,,
15,12/13/18 12:09:32 AM,47.982,,,,,,
16,12/13/18 01:09:32 AM,48.871,,,,,,
17,12/13/18 02:09:32 AM,48.339,,,,,,
18,12/13/18 03:09:32 AM,48.517,,,,,,
19,12/13/18 04:09:32 AM,49.050,,,,,,
20,12/13/18 05:09:32 AM,47.802,,,,,,
21,12/13/18 06:09:32 AM,49.228,,,,,,
22,12/13/18 07:09:32 AM,46.728,,,,,,
23,12/13/18 08:09:32 AM,48.871,,,,,,
24,12/13/18 09:09:32 AM,50.643,,,,,,
25,12/13/18 10:09:32 AM,59.337,,,,,,
26,12/13/18 11:09:32 AM,63.968,,,,,,
27,12/13/18 12:09:32 PM,64.139,,,,,,
28,12/13/18 01:09:32 PM,63.111,,,,,,
29,12/13/18 02:09:32 PM,63.111,,,,,,
30,12/13/18 03:09:32 PM,61.912,,,,,,
31,12/13/18 04:09:32 PM,60.712,,,,,,
32,12/13/18 05:09:32 PM,56.404,,,,,,
33,12/13/18 06:09:32 PM,54.842,,,,,,
34,12/13/18 07:09:32 PM,55.884,,,,,,
35,12/13/18 08:09:32 PM,55.364,,,,,,
36,12/13/18 09:09:32 PM,56.230,,,,,,
37,12/13/18 10:09:32 PM,57.614,,,,,,
38,12/13/18 11:09:32 PM,57.614,,,,,,
39,12/14/18 12:09:32 AM,57.268,,,,,,
40,12/14/18 01:09:32 AM,58.131,,,,,,
41,12/14/18 02:09:32 AM,57.441,,,,,,
42,12/14/18 03:09:32 AM,56.923,,,,,,
43,12/14/18 04:09:32 AM,55.017,,,,,,
44,12/14/18 05:09:32 AM,55.189,,,,,,
45,12/14/18 06:09:32 AM,55.189,,,,,,
46,12/14/18 07:09:32 AM,55.017,,,,,,
47,12/14/18 08:09:32 AM,55.711,,,,,,
48,12/14/18 09:09:32 AM,57.096,,,,,,
49,12/14/18 10:09:32 AM,56.750,,,,,,
50,12/14/18 11:04:48 AM,,0.01,,,,,
51,12/14/18 11:04:49 AM,,0.02,,,,,
52,12/14/18 11:06:35 AM,,0.03,,,,,
53,12/14/18 11:06:36 AM,,0.04,,,,,
54,12/14/18 11:08:19 AM,,0.05,,,,,
55,12/14/18 11:09:32 AM,56.230,,,,,,
56,12/14/18 11:25:59 AM,,0.06,,,,,
57,12/14/18 12:09:32 PM,58.303,,,,,,
58,12/14/18 01:09:32 PM,60.195,,,,,,
59,12/14/18 02:09:32 PM,59.680,,,,,,
60,12/14/18 03:09:32 PM,57.441,,,,,,
61,12/14/18 04:09:32 PM,56.230,,,,,,
62,12/14/18 05:09:32 PM,54.669,,,,,,
63,12/14/18 06:09:32 PM,54.147,,,,,,
64,12/14/18 07:09:32 PM,52.925,,,,,,
65,12/14/18 08:09:32 PM,53.274,,,,,,
66,12/14/18 09:09:32 PM,53.798,,,,,,
67,12/14/18 10:09:32 PM,52.576,,,,,,
68,12/14/18 11:09:32 PM,51.172,,,,,,
69,12/15/18 12:09:32 AM,50.466,,,,,,
70,12/15/18 01:09:32 AM,50.290,,,,,,
71,12/15/18 02:09:32 AM,50.290,,,,,,
72,12/15/18 03:09:32 AM,50.466,,,,,,
73,12/15/18 04:09:32 AM,49.937,,,,,,
74,12/15/18 05:09:32 AM,49.937,,,,,,
75,12/15/18 06:09:32 AM,49.937,,,,,,
76,12/15/18 07:09:32 AM,49.404,,,,,,
77,12/15/18 08:09:32 AM,50.290,,,,,,
78,12/15/18 09:09:32 AM,53.623,,,,,,
79,12/15/18 10:09:32 AM,56.577,,,,,,
80,12/15/18 11:09:32 AM,60.712,,,,,,
