"Plot Title: HS"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592074, SEN S/N: 10592074)","Event, units (LGR S/N: 10592074, SEN S/N: 10592074)","Coupler Attached (LGR S/N: 10592074, SEN S/N: 10592074)","Host Connected (LGR S/N: 10592074, SEN S/N: 10592074)","Stopped (LGR S/N: 10592074, SEN S/N: 10592074)","End Of File (LGR S/N: 10592074, SEN S/N: 10592074)"
1,01/20/19 12:00:00 PM,56.750,0.00,,,,
2,01/20/19 12:03:17 PM,,0.01,,,,
3,01/20/19 01:00:00 PM,57.268,,,,,
4,01/20/19 02:00:00 PM,55.537,,,,,
5,01/20/19 03:00:00 PM,54.322,,,,,
6,01/20/19 03:03:49 PM,,0.02,,,,
7,01/20/19 03:03:50 PM,,0.03,,,,
8,01/20/19 04:00:00 PM,55.017,,,,,
9,01/20/19 05:00:00 PM,52.225,,,,,
10,01/20/19 05:56:16 PM,,0.04,,,,
11,01/20/19 05:59:31 PM,,0.05,,,,
12,01/20/19 05:59:32 PM,,0.06,,,,
13,01/20/19 06:00:00 PM,50.819,,,,,
14,01/20/19 06:00:32 PM,,0.07,,,,
15,01/20/19 06:27:03 PM,,0.08,,,,
16,01/20/19 06:39:32 PM,,0.09,,,,
17,01/20/19 06:48:34 PM,,0.10,,,,
18,01/20/19 06:48:35 PM,,0.11,,,,
19,01/20/19 07:00:00 PM,46.728,,,,,
20,01/20/19 07:00:22 PM,,0.12,,,,
21,01/20/19 07:08:20 PM,,0.13,,,,
22,01/20/19 07:26:42 PM,,0.14,,,,
23,01/20/19 08:00:00 PM,45.828,,,,,
24,01/20/19 09:00:00 PM,46.008,,,,,
25,01/20/19 10:00:00 PM,45.466,,,,,
26,01/20/19 11:00:00 PM,44.742,,,,,
27,01/21/19 12:00:00 AM,44.922,,,,,
28,01/21/19 01:00:00 AM,44.742,,,,,
29,01/21/19 01:01:47 AM,,0.15,,,,
30,01/21/19 02:00:00 AM,44.922,,,,,
31,01/21/19 03:00:00 AM,44.922,,,,,
32,01/21/19 03:07:57 AM,,0.16,,,,
33,01/21/19 03:07:58 AM,,0.17,,,,
34,01/21/19 03:09:46 AM,,0.18,,,,
35,01/21/19 03:11:30 AM,,0.19,,,,
36,01/21/19 04:00:00 AM,45.104,,,,,
37,01/21/19 04:20:32 AM,,0.20,,,,
38,01/21/19 04:20:33 AM,,0.21,,,,
39,01/21/19 05:00:00 AM,44.742,,,,,
40,01/21/19 05:43:05 AM,,0.22,,,,
41,01/21/19 06:00:00 AM,44.560,,,,,
42,01/21/19 07:00:00 AM,44.195,,,,,
43,01/21/19 08:00:00 AM,44.742,,,,,
44,01/21/19 09:00:00 AM,46.188,,,,,
45,01/21/19 10:00:00 AM,67.906,,,,,
46,01/21/19 11:00:00 AM,57.614,,,,,
47,01/21/19 12:00:00 PM,55.364,,,,,
48,01/21/19 01:00:00 PM,54.322,,,,,
49,01/21/19 02:00:00 PM,53.449,,,,,
50,01/21/19 03:00:00 PM,53.100,,,,,
51,01/21/19 04:00:00 PM,51.699,,,,,
52,01/21/19 05:00:00 PM,49.582,,,,,
53,01/21/19 06:00:00 PM,47.088,,,,,
54,01/21/19 07:00:00 PM,46.369,,,,,
55,01/21/19 08:00:00 PM,46.008,,,,,
56,01/21/19 09:00:00 PM,44.742,,,,,
57,01/21/19 10:00:00 PM,46.369,,,,,
58,01/21/19 11:00:00 PM,45.648,,,,,
59,01/22/19 12:00:00 AM,46.548,,,,,
60,01/22/19 01:00:00 AM,46.728,,,,,
61,01/22/19 02:00:00 AM,46.369,,,,,
62,01/22/19 03:00:00 AM,45.828,,,,,
63,01/22/19 04:00:00 AM,46.008,,,,,
64,01/22/19 05:00:00 AM,45.648,,,,,
