"Plot Title: Waterlab"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309220, SEN S/N: 20309220)","Event, units (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Attached (LGR S/N: 20309220, SEN S/N: 20309220)","Host Connected (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Detached (LGR S/N: 20309220, SEN S/N: 20309220)","End Of File (LGR S/N: 20309220, SEN S/N: 20309220)"
1,01/26/19 10:00:00 AM,49.937,0.00,,,,
2,01/26/19 11:00:00 AM,58.303,,,,,
3,01/26/19 12:00:00 PM,59.851,,,,,
4,01/26/19 01:00:00 PM,65.509,,,,,
5,01/26/19 02:00:00 PM,66.879,,,,,
6,01/26/19 03:00:00 PM,62.940,,,,,
7,01/26/19 04:00:00 PM,59.508,,,,,
8,01/26/19 05:00:00 PM,56.057,,,,,
9,01/26/19 06:00:00 PM,50.643,,,,,
10,01/26/19 07:00:00 PM,48.160,,,,,
11,01/26/19 08:00:00 PM,46.728,,,,,
12,01/26/19 09:00:00 PM,45.286,,,,,
13,01/26/19 10:00:00 PM,44.379,,,,,
14,01/26/19 11:00:00 PM,43.282,,,,,
15,01/27/19 12:00:00 AM,42.363,,,,,
16,01/27/19 01:00:00 AM,41.994,,,,,
17,01/27/19 02:00:00 AM,41.810,,,,,
18,01/27/19 03:00:00 AM,42.179,,,,,
19,01/27/19 04:00:00 AM,42.915,,,,,
20,01/27/19 05:00:00 AM,42.363,,,,,
21,01/27/19 06:00:00 AM,42.732,,,,,
22,01/27/19 07:00:00 AM,41.994,,,,,
23,01/27/19 08:00:00 AM,42.732,,,,,
24,01/27/19 09:00:00 AM,45.648,,,,,
25,01/27/19 10:00:00 AM,56.230,,,,,
26,01/27/19 11:00:00 AM,65.167,,,,,
27,01/27/19 12:00:00 PM,78.975,,,,,
28,01/27/19 01:00:00 PM,70.824,,,,,
29,01/27/19 02:00:00 PM,70.480,,,,,
30,01/27/19 03:00:00 PM,63.968,,,,,
31,01/27/19 04:00:00 PM,59.851,,,,,
