"Plot Title: HS"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592074, SEN S/N: 10592074)","Event, units (LGR S/N: 10592074, SEN S/N: 10592074)","Coupler Attached (LGR S/N: 10592074, SEN S/N: 10592074)","Host Connected (LGR S/N: 10592074, SEN S/N: 10592074)","Stopped (LGR S/N: 10592074, SEN S/N: 10592074)","End Of File (LGR S/N: 10592074, SEN S/N: 10592074)"
1,02/02/19 12:00:00 PM,57.614,0.00,,,,
2,02/02/19 01:00:00 PM,59.851,,,,,
3,02/02/19 02:00:00 PM,56.750,,,,,
4,02/02/19 03:00:00 PM,55.711,,,,,
5,02/02/19 04:00:00 PM,52.925,,,,,
6,02/02/19 04:57:50 PM,,0.01,,,,
7,02/02/19 05:00:00 PM,50.819,,,,,
8,02/02/19 05:04:55 PM,,0.02,,,,
9,02/02/19 05:09:18 PM,,0.03,,,,
10,02/02/19 05:11:30 PM,,0.04,,,,
11,02/02/19 05:12:33 PM,,0.05,,,,
12,02/02/19 05:14:23 PM,,0.06,,,,
13,02/02/19 05:14:24 PM,,0.07,,,,
14,02/02/19 05:16:31 PM,,0.08,,,,
15,02/02/19 05:17:53 PM,,0.09,,,,
16,02/02/19 05:19:39 PM,,0.10,,,,
17,02/02/19 05:21:10 PM,,0.11,,,,
18,02/02/19 05:22:40 PM,,0.12,,,,
19,02/02/19 05:24:39 PM,,0.13,,,,
20,02/02/19 05:24:40 PM,,0.14,,,,
21,02/02/19 05:27:32 PM,,0.15,,,,
22,02/02/19 05:30:35 PM,,0.16,,,,
23,02/02/19 05:38:08 PM,,0.17,,,,
24,02/02/19 05:46:36 PM,,0.18,,,,
25,02/02/19 05:53:53 PM,,0.19,,,,
26,02/02/19 06:00:00 PM,47.982,,,,,
27,02/02/19 06:00:39 PM,,0.20,,,,
28,02/02/19 06:05:18 PM,,0.21,,,,
29,02/02/19 06:05:19 PM,,0.22,,,,
30,02/02/19 06:09:06 PM,,0.23,,,,
31,02/02/19 06:09:07 PM,,0.24,,,,
32,02/02/19 06:12:09 PM,,0.25,,,,
33,02/02/19 06:17:51 PM,,0.26,,,,
34,02/02/19 06:39:06 PM,,0.27,,,,
35,02/02/19 06:54:15 PM,,0.28,,,,
36,02/02/19 06:56:23 PM,,0.29,,,,
37,02/02/19 06:57:35 PM,,0.30,,,,
38,02/02/19 06:58:34 PM,,0.31,,,,
39,02/02/19 06:58:35 PM,,0.32,,,,
40,02/02/19 06:59:59 PM,,0.33,,,,
41,02/02/19 07:00:00 PM,48.517,,,,,
42,02/02/19 07:01:04 PM,,0.34,,,,
43,02/02/19 07:02:31 PM,,0.35,,,,
44,02/02/19 07:03:49 PM,,0.36,,,,
45,02/02/19 07:04:37 PM,,0.37,,,,
46,02/02/19 07:06:06 PM,,0.38,,,,
47,02/02/19 07:07:27 PM,,0.39,,,,
48,02/02/19 07:08:47 PM,,0.40,,,,
49,02/02/19 07:10:32 PM,,0.41,,,,
50,02/02/19 07:17:12 PM,,0.42,,,,
51,02/02/19 07:21:47 PM,,0.43,,,,
52,02/02/19 07:24:12 PM,,0.44,,,,
53,02/02/19 07:24:13 PM,,0.45,,,,
54,02/02/19 07:26:28 PM,,0.46,,,,
55,02/02/19 07:30:48 PM,,0.47,,,,
56,02/02/19 07:42:34 PM,,0.48,,,,
57,02/02/19 07:44:24 PM,,0.49,,,,
58,02/02/19 07:49:19 PM,,0.50,,,,
59,02/02/19 08:00:00 PM,48.339,,,,,
60,02/02/19 08:02:19 PM,,0.51,,,,
61,02/02/19 08:24:25 PM,,0.52,,,,
62,02/02/19 08:27:02 PM,,0.53,,,,
63,02/02/19 08:31:57 PM,,0.54,,,,
64,02/02/19 08:34:12 PM,,0.55,,,,
65,02/02/19 08:34:33 PM,,0.56,,,,
66,02/02/19 08:34:52 PM,,0.57,,,,
67,02/02/19 08:34:53 PM,,0.58,,,,
68,02/02/19 08:35:18 PM,,0.59,,,,
69,02/02/19 08:35:53 PM,,0.60,,,,
70,02/02/19 08:36:57 PM,,0.61,,,,
71,02/02/19 08:38:03 PM,,0.62,,,,
72,02/02/19 08:40:45 PM,,0.63,,,,
73,02/02/19 08:43:26 PM,,0.64,,,,
74,02/02/19 08:56:38 PM,,0.65,,,,
75,02/02/19 09:00:00 PM,47.446,,,,,
76,02/02/19 09:34:07 PM,,0.66,,,,
77,02/02/19 09:35:01 PM,,0.67,,,,
78,02/02/19 09:36:11 PM,,0.68,,,,
79,02/02/19 09:36:52 PM,,0.69,,,,
80,02/02/19 09:38:21 PM,,0.70,,,,
81,02/02/19 09:40:56 PM,,0.71,,,,
82,02/02/19 09:41:33 PM,,0.72,,,,
83,02/02/19 09:46:09 PM,,0.73,,,,
84,02/02/19 09:56:39 PM,,0.74,,,,
85,02/02/19 10:00:00 PM,50.290,,,,,
86,02/02/19 10:01:57 PM,,0.75,,,,
87,02/02/19 10:08:59 PM,,0.76,,,,
88,02/02/19 10:09:33 PM,,0.77,,,,
89,02/02/19 10:09:46 PM,,0.78,,,,
90,02/02/19 10:09:47 PM,,0.79,,,,
