"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,02/03/19 09:00:00 AM,52.750,0.00,,,,
2,02/03/19 09:04:26 AM,,0.01,,,,
3,02/03/19 09:10:56 AM,,0.02,,,,
4,02/03/19 09:20:31 AM,,0.03,,,,
5,02/03/19 09:21:44 AM,,0.04,,,,
6,02/03/19 09:27:37 AM,,0.05,,,,
7,02/03/19 09:36:14 AM,,0.06,,,,
8,02/03/19 09:39:38 AM,,0.07,,,,
9,02/03/19 10:00:00 AM,60.024,,,,,
10,02/03/19 11:00:00 AM,52.050,,,,,
11,02/03/19 11:01:35 AM,,0.08,,,,
12,02/03/19 11:32:48 AM,,0.09,,,,
13,02/03/19 11:35:08 AM,,0.10,,,,
14,02/03/19 11:37:08 AM,,0.11,,,,
15,02/03/19 11:37:55 AM,,0.12,,,,
16,02/03/19 11:39:02 AM,,0.13,,,,
17,02/03/19 11:41:56 AM,,0.14,,,,
18,02/03/19 11:43:37 AM,,0.15,,,,
19,02/03/19 11:47:53 AM,,0.16,,,,
20,02/03/19 12:00:00 PM,50.819,,,,,
21,02/03/19 12:17:53 PM,,0.17,,,,
22,02/03/19 12:19:35 PM,,0.18,,,,
23,02/03/19 01:00:00 PM,50.819,,,,,
24,02/03/19 02:00:00 PM,52.401,,,,,
25,02/03/19 03:00:00 PM,53.274,,,,,
26,02/03/19 04:00:00 PM,51.874,,,,,
27,02/03/19 05:00:00 PM,49.937,,,,,
28,02/03/19 06:00:00 PM,47.982,,,,,
29,02/03/19 07:00:00 PM,47.446,,,,,
30,02/03/19 07:17:54 PM,,0.19,,,,
31,02/03/19 07:33:20 PM,,0.20,,,,
32,02/03/19 08:00:00 PM,47.982,,,,,
33,02/03/19 09:00:00 PM,48.160,,,,,
34,02/03/19 10:00:00 PM,48.517,,,,,
35,02/03/19 10:15:46 PM,,0.21,,,,
36,02/03/19 10:28:24 PM,,0.22,,,,
37,02/03/19 10:39:28 PM,,0.23,,,,
38,02/03/19 10:43:15 PM,,0.24,,,,
39,02/03/19 10:44:06 PM,,0.25,,,,
40,02/03/19 10:44:28 PM,,0.26,,,,
41,02/03/19 10:44:48 PM,,0.27,,,,
42,02/03/19 10:45:07 PM,,0.28,,,,
43,02/03/19 10:45:27 PM,,0.29,,,,
44,02/03/19 10:46:09 PM,,0.30,,,,
45,02/03/19 10:55:51 PM,,0.31,,,,
46,02/03/19 11:00:00 PM,48.339,,,,,
47,02/03/19 11:18:12 PM,,0.32,,,,
48,02/03/19 11:28:49 PM,,0.33,,,,
49,02/03/19 11:31:43 PM,,0.34,,,,
50,02/03/19 11:36:51 PM,,0.35,,,,
51,02/03/19 11:41:15 PM,,0.36,,,,
52,02/03/19 11:43:45 PM,,0.37,,,,
53,02/03/19 11:46:41 PM,,0.38,,,,
54,02/03/19 11:49:49 PM,,0.39,,,,
55,02/03/19 11:52:47 PM,,0.40,,,,
56,02/04/19 12:00:00 AM,48.695,,,,,
57,02/04/19 12:01:14 AM,,0.41,,,,
58,02/04/19 12:10:01 AM,,0.42,,,,
59,02/04/19 12:16:13 AM,,0.43,,,,
60,02/04/19 12:27:56 AM,,0.44,,,,
61,02/04/19 12:44:51 AM,,0.45,,,,
62,02/04/19 12:47:24 AM,,0.46,,,,
63,02/04/19 12:48:21 AM,,0.47,,,,
64,02/04/19 12:48:52 AM,,0.48,,,,
65,02/04/19 12:49:22 AM,,0.49,,,,
66,02/04/19 12:49:52 AM,,0.50,,,,
67,02/04/19 12:51:00 AM,,0.51,,,,
68,02/04/19 12:52:34 AM,,0.52,,,,
69,02/04/19 12:59:53 AM,,0.53,,,,
70,02/04/19 01:00:00 AM,49.404,,,,,
71,02/04/19 01:03:00 AM,,0.54,,,,
72,02/04/19 01:05:17 AM,,0.55,,,,
73,02/04/19 01:07:01 AM,,0.56,,,,
74,02/04/19 01:08:02 AM,,0.57,,,,
75,02/04/19 01:08:41 AM,,0.58,,,,
76,02/04/19 01:09:47 AM,,0.59,,,,
77,02/04/19 01:10:34 AM,,0.60,,,,
78,02/04/19 01:11:08 AM,,0.61,,,,
79,02/04/19 01:11:30 AM,,0.62,,,,
80,02/04/19 01:12:10 AM,,0.63,,,,
81,02/04/19 01:13:00 AM,,0.64,,,,
82,02/04/19 01:19:24 AM,,0.65,,,,
83,02/04/19 01:23:05 AM,,0.66,,,,
84,02/04/19 01:27:24 AM,,0.67,,,,
85,02/04/19 01:28:56 AM,,0.68,,,,
86,02/04/19 01:31:06 AM,,0.69,,,,
87,02/04/19 01:34:13 AM,,0.70,,,,
88,02/04/19 01:36:57 AM,,0.71,,,,
89,02/04/19 01:38:31 AM,,0.72,,,,
90,02/04/19 01:40:30 AM,,0.73,,,,
91,02/04/19 01:42:27 AM,,0.74,,,,
92,02/04/19 01:44:49 AM,,0.75,,,,
93,02/04/19 01:45:50 AM,,0.76,,,,
94,02/04/19 01:47:48 AM,,0.77,,,,
95,02/04/19 01:49:29 AM,,0.78,,,,
96,02/04/19 01:52:03 AM,,0.79,,,,
97,02/04/19 01:54:05 AM,,0.80,,,,
98,02/04/19 01:54:40 AM,,0.81,,,,
99,02/04/19 01:55:03 AM,,0.82,,,,
100,02/04/19 01:55:35 AM,,0.83,,,,
101,02/04/19 01:56:11 AM,,0.84,,,,
102,02/04/19 01:56:44 AM,,0.85,,,,
103,02/04/19 01:57:03 AM,,0.86,,,,
104,02/04/19 01:57:20 AM,,0.87,,,,
105,02/04/19 01:57:32 AM,,0.88,,,,
106,02/04/19 01:57:46 AM,,0.89,,,,
107,02/04/19 01:57:55 AM,,0.90,,,,
108,02/04/19 01:58:06 AM,,0.91,,,,
109,02/04/19 01:58:15 AM,,0.92,,,,
110,02/04/19 01:58:25 AM,,0.93,,,,
111,02/04/19 01:58:34 AM,,0.94,,,,
112,02/04/19 01:58:51 AM,,0.95,,,,
113,02/04/19 01:58:59 AM,,0.96,,,,
114,02/04/19 01:59:08 AM,,0.97,,,,
115,02/04/19 01:59:17 AM,,0.98,,,,
116,02/04/19 01:59:23 AM,,0.99,,,,
117,02/04/19 01:59:34 AM,,1.00,,,,
118,02/04/19 02:00:00 AM,48.871,,,,,
119,02/04/19 02:00:12 AM,,1.01,,,,
120,02/04/19 02:02:46 AM,,1.02,,,,
121,02/04/19 02:07:03 AM,,1.03,,,,
122,02/04/19 02:10:36 AM,,1.04,,,,
123,02/04/19 02:14:06 AM,,1.05,,,,
124,02/04/19 02:17:55 AM,,1.06,,,,
125,02/04/19 02:21:20 AM,,1.07,,,,
126,02/04/19 02:23:41 AM,,1.08,,,,
127,02/04/19 02:29:37 AM,,1.09,,,,
128,02/04/19 02:35:24 AM,,1.10,,,,
129,02/04/19 03:00:00 AM,48.695,,,,,
130,02/04/19 03:02:08 AM,,1.11,,,,
131,02/04/19 03:51:11 AM,,1.12,,,,
132,02/04/19 04:00:00 AM,48.517,,,,,
133,02/04/19 04:40:36 AM,,1.13,,,,
134,02/04/19 05:00:00 AM,47.982,,,,,
135,02/04/19 05:49:05 AM,,1.14,,,,
136,02/04/19 06:00:00 AM,46.908,,,,,
137,02/04/19 06:03:39 AM,,1.15,,,,
138,02/04/19 07:00:00 AM,45.828,,,,,
139,02/04/19 07:50:46 AM,,1.16,,,,
140,02/04/19 07:53:18 AM,,1.17,,,,
141,02/04/19 07:54:06 AM,,1.18,,,,
142,02/04/19 07:55:14 AM,,1.19,,,,
143,02/04/19 08:00:00 AM,46.008,,,,,
144,02/04/19 08:17:41 AM,,1.20,,,,
145,02/04/19 09:00:00 AM,47.088,,,,,
146,02/04/19 09:04:50 AM,,1.21,,,,
147,02/04/19 09:05:14 AM,,1.22,,,,
148,02/04/19 09:07:15 AM,,1.23,,,,
149,02/04/19 09:08:57 AM,,1.24,,,,
150,02/04/19 09:10:13 AM,,1.25,,,,
151,02/04/19 09:17:34 AM,,1.26,,,,
152,02/04/19 09:22:52 AM,,1.27,,,,
153,02/04/19 09:23:10 AM,,1.28,,,,
154,02/04/19 09:23:41 AM,,1.29,,,,
155,02/04/19 09:23:59 AM,,1.30,,,,
156,02/04/19 09:24:14 AM,,1.31,,,,
157,02/04/19 09:24:35 AM,,1.32,,,,
158,02/04/19 09:25:28 AM,,1.33,,,,
159,02/04/19 09:33:17 AM,,1.34,,,,
160,02/04/19 10:00:00 AM,46.188,,,,,
161,02/04/19 10:15:32 AM,,1.35,,,,
162,02/04/19 11:00:00 AM,48.339,,,,,
163,02/04/19 11:31:38 AM,,1.36,,,,
164,02/04/19 11:36:34 AM,,1.37,,,,
165,02/04/19 11:42:05 AM,,1.38,,,,
166,02/04/19 12:00:00 PM,45.828,,,,,
167,02/04/19 12:37:07 PM,,1.39,,,,
168,02/04/19 12:41:15 PM,,1.40,,,,
169,02/04/19 12:55:27 PM,,1.41,,,,
170,02/04/19 01:00:00 PM,45.286,,,,,
171,02/04/19 02:00:00 PM,48.160,,,,,
172,02/04/19 02:05:32 PM,,1.42,,,,
173,02/04/19 02:08:46 PM,,1.43,,,,
174,02/04/19 02:17:43 PM,,1.44,,,,
175,02/04/19 02:51:42 PM,,1.45,,,,
176,02/04/19 02:57:18 PM,,1.46,,,,
177,02/04/19 03:00:00 PM,46.548,,,,,
178,02/04/19 04:00:00 PM,45.828,,,,,
179,02/04/19 04:12:24 PM,,1.47,,,,
180,02/04/19 05:00:00 PM,44.379,,,,,
181,02/04/19 06:00:00 PM,42.548,,,,,
182,02/04/19 07:00:00 PM,42.548,,,,,
183,02/04/19 07:28:00 PM,,1.48,,,,
184,02/04/19 08:00:00 PM,41.994,,,,,
185,02/04/19 09:00:00 PM,41.994,,,,,
186,02/04/19 10:00:00 PM,41.994,,,,,
187,02/04/19 10:22:17 PM,,1.49,,,,
188,02/04/19 11:00:00 PM,41.067,,,,,
189,02/04/19 11:32:53 PM,,1.50,,,,
190,02/04/19 11:58:56 PM,,1.51,,,,
191,02/05/19 12:00:00 AM,40.134,,,,,
192,02/05/19 01:00:00 AM,39.760,,,,,
193,02/05/19 01:08:00 AM,,1.52,,,,
194,02/05/19 01:25:01 AM,,1.53,,,,
195,02/05/19 01:28:01 AM,,1.54,,,,
196,02/05/19 01:30:50 AM,,1.55,,,,
197,02/05/19 01:33:12 AM,,1.56,,,,
198,02/05/19 02:00:00 AM,38.629,,,,,
199,02/05/19 02:14:36 AM,,1.57,,,,
200,02/05/19 02:17:38 AM,,1.58,,,,
201,02/05/19 02:19:57 AM,,1.59,,,,
202,02/05/19 03:00:00 AM,37.488,,,,,
203,02/05/19 03:13:08 AM,,1.60,,,,
204,02/05/19 04:00:00 AM,38.629,,,,,
205,02/05/19 04:57:32 AM,,1.61,,,,
206,02/05/19 05:00:00 AM,37.107,,,,,
207,02/05/19 05:00:29 AM,,1.62,,,,
208,02/05/19 05:21:00 AM,,1.63,,,,
209,02/05/19 05:30:31 AM,,1.64,,,,
210,02/05/19 06:00:00 AM,35.564,,,,,
211,02/05/19 06:34:16 AM,,1.65,,,,
212,02/05/19 06:44:44 AM,,1.66,,,,
213,02/05/19 07:00:00 AM,35.370,,,,,
214,02/05/19 07:05:12 AM,,1.67,,,,
215,02/05/19 08:00:00 AM,35.758,,,,,
216,02/05/19 09:00:00 AM,37.297,,,,,
217,02/05/19 09:36:45 AM,,1.68,,,,
218,02/05/19 10:00:00 AM,39.760,,,,,
219,02/05/19 11:00:00 AM,41.994,,,,,
220,02/05/19 12:00:00 PM,46.728,,,,,
221,02/05/19 01:00:00 PM,50.466,,,,,
222,02/05/19 02:00:00 PM,47.982,,,,,
223,02/05/19 03:00:00 PM,45.104,,,,,
224,02/05/19 04:00:00 PM,44.013,,,,,
225,02/05/19 05:00:00 PM,41.810,,,,,
226,02/05/19 06:00:00 PM,39.384,,,,,
227,02/05/19 07:00:00 PM,37.679,,,,,
228,02/05/19 08:00:00 PM,36.531,,,,,
229,02/05/19 09:00:00 PM,35.951,,,,,
230,02/05/19 10:00:00 PM,35.951,,,,,
231,02/05/19 11:00:00 PM,36.145,,,,,
232,02/06/19 12:00:00 AM,36.531,,,,,
233,02/06/19 01:00:00 AM,36.531,,,,,
234,02/06/19 02:00:00 AM,36.914,,,,,
235,02/06/19 02:11:39 AM,,1.69,,,,
236,02/06/19 02:27:41 AM,,1.70,,,,
237,02/06/19 02:30:22 AM,,1.71,,,,
238,02/06/19 02:33:44 AM,,1.72,,,,
239,02/06/19 02:42:02 AM,,1.73,,,,
240,02/06/19 02:47:45 AM,,1.74,,,,
241,02/06/19 03:00:00 AM,38.629,,,,,
242,02/06/19 03:34:18 AM,,1.75,,,,
243,02/06/19 04:00:00 AM,39.196,,,,,
244,02/06/19 05:00:00 AM,38.629,,,,,
245,02/06/19 06:00:00 AM,37.870,,,,,
246,02/06/19 07:00:00 AM,37.107,,,,,
247,02/06/19 08:00:00 AM,37.297,,,,,
248,02/06/19 09:00:00 AM,38.440,,,,,
249,02/06/19 10:00:00 AM,42.179,,,,,
250,02/06/19 11:00:00 AM,47.088,,,,,
