"Plot Title: AL"
"#","Date Time, GMT-07:00","Event, inch (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Attached (LGR S/N: 10592075, SEN S/N: 10592075)","Stopped (LGR S/N: 10592075, SEN S/N: 10592075)","End Of File (LGR S/N: 10592075, SEN S/N: 10592075)"
1,11/26/14 01:24:00 PM,0.00,,,
2,11/29/14 03:22:38 AM,0.01,,,
3,11/29/14 04:51:42 AM,0.02,,,
4,11/29/14 04:53:36 AM,0.03,,,
5,11/29/14 04:54:55 AM,0.04,,,
6,11/29/14 04:55:47 AM,0.05,,,
7,11/29/14 04:56:36 AM,0.06,,,
8,11/29/14 04:57:20 AM,0.07,,,
9,11/29/14 04:58:14 AM,0.08,,,
10,11/29/14 04:58:58 AM,0.09,,,
11,11/29/14 04:59:34 AM,0.10,,,
12,11/29/14 05:00:10 AM,0.11,,,
13,11/29/14 05:00:53 AM,0.12,,,
14,11/29/14 05:01:27 AM,0.13,,,
15,11/29/14 05:02:05 AM,0.14,,,
16,11/29/14 05:02:32 AM,0.15,,,
17,11/29/14 05:03:14 AM,0.16,,,
18,11/29/14 05:03:50 AM,0.17,,,
19,11/29/14 05:04:27 AM,0.18,,,
20,11/29/14 05:05:01 AM,0.19,,,
21,11/29/14 05:05:28 AM,0.20,,,
22,11/29/14 05:05:50 AM,0.21,,,
23,11/29/14 05:05:51 AM,0.22,,,
24,11/29/14 05:06:21 AM,0.23,,,
25,11/29/14 05:06:47 AM,0.24,,,
26,11/29/14 05:07:14 AM,0.25,,,
27,11/29/14 05:07:36 AM,0.26,,,
28,11/29/14 05:08:02 AM,0.27,,,
29,11/29/14 05:09:03 AM,0.28,,,
30,11/29/14 05:10:38 AM,0.29,,,
31,11/29/14 05:13:14 AM,0.30,,,
32,11/29/14 05:17:45 AM,0.31,,,
33,11/29/14 05:25:06 AM,0.32,,,
34,11/29/14 05:58:46 AM,0.33,,,
35,11/29/14 06:02:03 AM,0.34,,,
36,11/29/14 06:03:34 AM,0.35,,,
37,11/29/14 06:04:40 AM,0.36,,,
38,11/29/14 06:04:41 AM,0.37,,,
39,11/29/14 06:05:51 AM,0.38,,,
40,11/29/14 06:07:15 AM,0.39,,,
41,11/29/14 06:08:23 AM,0.40,,,
42,11/29/14 06:09:30 AM,0.41,,,
43,11/29/14 06:10:38 AM,0.42,,,
44,11/29/14 06:12:06 AM,0.43,,,
45,11/29/14 06:13:42 AM,0.44,,,
46,11/29/14 06:14:55 AM,0.45,,,
47,11/29/14 06:15:48 AM,0.46,,,
48,11/29/14 06:16:30 AM,0.47,,,
49,11/29/14 06:17:12 AM,0.48,,,
50,11/29/14 06:17:58 AM,0.49,,,
51,11/29/14 06:17:59 AM,0.50,,,
52,11/29/14 06:18:46 AM,0.51,,,
53,11/29/14 06:19:37 AM,0.52,,,
54,11/29/14 06:20:28 AM,0.53,,,
55,11/29/14 06:21:36 AM,0.54,,,
56,11/29/14 06:23:20 AM,0.55,,,
57,11/29/14 06:25:25 AM,0.56,,,
58,11/29/14 06:28:38 AM,0.57,,,
59,11/29/14 06:31:37 AM,0.58,,,
60,11/29/14 06:33:51 AM,0.59,,,
61,11/29/14 06:35:31 AM,0.60,,,
62,11/29/14 06:38:10 AM,0.61,,,
63,11/29/14 06:40:25 AM,0.62,,,
64,11/29/14 06:40:26 AM,0.63,,,
65,11/29/14 06:42:19 AM,0.64,,,
66,11/29/14 06:44:22 AM,0.65,,,
67,11/29/14 06:46:27 AM,0.66,,,
68,11/29/14 06:48:12 AM,0.67,,,
69,11/29/14 06:49:48 AM,0.68,,,
70,11/29/14 06:51:28 AM,0.69,,,
71,11/29/14 06:54:16 AM,0.70,,,
72,11/29/14 06:57:43 AM,0.71,,,
73,11/29/14 07:02:54 AM,0.72,,,
74,11/29/14 07:11:21 AM,0.73,,,
75,11/29/14 07:11:22 AM,0.74,,,
76,11/29/14 07:17:15 AM,0.75,,,
77,11/29/14 07:24:32 AM,0.76,,,
78,11/29/14 07:29:43 AM,0.77,,,
79,11/29/14 07:32:43 AM,0.78,,,
80,11/29/14 07:35:09 AM,0.79,,,
81,11/29/14 07:38:06 AM,0.80,,,
82,11/29/14 07:42:51 AM,0.81,,,
83,11/29/14 07:47:46 AM,0.82,,,
84,11/29/14 07:52:57 AM,0.83,,,
85,11/29/14 08:10:27 AM,0.84,,,
86,11/29/14 08:15:06 AM,0.85,,,
87,11/29/14 08:18:03 AM,0.86,,,
88,11/29/14 08:21:09 AM,0.87,,,
89,11/29/14 08:24:23 AM,0.88,,,
90,11/29/14 08:28:17 AM,0.89,,,
