"Plot Title: HS"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,12/07/10 11:33:50 AM,0.00,,,,
2,12/07/10 11:33:54 AM,,Logged,,,
3,12/08/10 09:56:13 AM,0.01,,,,
4,12/08/10 04:08:27 PM,0.02,,,,
5,12/08/10 04:18:15 PM,0.03,,,,
6,12/08/10 04:22:13 PM,0.04,,,,
7,12/08/10 04:26:19 PM,0.05,,,,
8,12/08/10 04:33:32 PM,0.06,,,,
9,12/08/10 04:38:36 PM,0.07,,,,
10,12/08/10 04:42:48 PM,0.08,,,,
11,12/08/10 04:53:06 PM,0.09,,,,
12,12/08/10 05:18:24 PM,0.10,,,,
13,12/08/10 05:26:06 PM,0.11,,,,
14,12/08/10 05:37:23 PM,0.12,,,,
15,12/08/10 05:41:29 PM,0.13,,,,
16,12/08/10 05:44:55 PM,0.14,,,,
17,12/08/10 05:49:45 PM,0.15,,,,
18,12/08/10 05:53:57 PM,0.16,,,,
19,12/08/10 05:58:55 PM,0.17,,,,
20,12/08/10 06:04:21 PM,0.18,,,,
21,12/08/10 06:11:20 PM,0.19,,,,
22,12/08/10 06:15:49 PM,0.20,,,,
23,12/08/10 06:23:02 PM,0.21,,,,
24,12/08/10 06:26:41 PM,0.22,,,,
25,12/08/10 06:31:28 PM,0.23,,,,
26,12/08/10 06:34:49 PM,0.24,,,,
27,12/08/10 06:37:22 PM,0.25,,,,
28,12/08/10 06:39:55 PM,0.26,,,,
29,12/08/10 06:42:34 PM,0.27,,,,
30,12/08/10 06:44:09 PM,0.28,,,,
31,12/08/10 06:45:41 PM,0.29,,,,
32,12/08/10 06:47:10 PM,0.30,,,,
33,12/08/10 06:49:11 PM,0.31,,,,
34,12/08/10 06:51:54 PM,0.32,,,,
35,12/08/10 06:54:53 PM,0.33,,,,
36,12/08/10 06:57:09 PM,0.34,,,,
37,12/08/10 07:00:29 PM,0.35,,,,
38,12/08/10 07:11:27 PM,0.36,,,,
39,12/08/10 07:23:13 PM,0.37,,,,
40,12/08/10 07:28:54 PM,0.38,,,,
41,12/08/10 07:33:48 PM,0.39,,,,
42,12/08/10 07:37:20 PM,0.40,,,,
43,12/08/10 07:41:23 PM,0.41,,,,
44,12/08/10 07:45:12 PM,0.42,,,,
45,12/08/10 07:50:00 PM,0.43,,,,
46,12/08/10 07:53:48 PM,0.44,,,,
47,12/08/10 07:57:48 PM,0.45,,,,
48,12/08/10 08:01:12 PM,0.46,,,,
49,12/08/10 08:05:17 PM,0.47,,,,
50,12/08/10 08:09:24 PM,0.48,,,,
51,12/08/10 08:18:07 PM,0.49,,,,
52,12/08/10 08:24:17 PM,0.50,,,,
53,12/08/10 08:39:45 PM,0.51,,,,
54,12/08/10 08:55:17 PM,0.52,,,,
55,12/08/10 09:04:12 PM,0.53,,,,
56,12/08/10 09:10:51 PM,0.54,,,,
57,12/08/10 09:16:03 PM,0.55,,,,
58,12/08/10 09:20:55 PM,0.56,,,,
59,12/08/10 09:27:09 PM,0.57,,,,
60,12/08/10 09:31:49 PM,0.58,,,,
61,12/08/10 09:39:19 PM,0.59,,,,
62,12/08/10 09:43:10 PM,0.60,,,,
63,12/08/10 09:47:36 PM,0.61,,,,
64,12/08/10 09:52:41 PM,0.62,,,,
65,12/08/10 09:58:56 PM,0.63,,,,
66,12/08/10 10:04:39 PM,0.64,,,,
67,12/08/10 10:11:31 PM,0.65,,,,
68,12/08/10 10:18:28 PM,0.66,,,,
69,12/08/10 10:24:50 PM,0.67,,,,
70,12/08/10 10:29:15 PM,0.68,,,,
71,12/08/10 10:40:19 PM,0.69,,,,
72,12/08/10 10:53:23 PM,0.70,,,,
73,12/08/10 11:00:29 PM,0.71,,,,
74,12/08/10 11:04:49 PM,0.72,,,,
75,12/08/10 11:09:03 PM,0.73,,,,
76,12/08/10 11:12:59 PM,0.74,,,,
77,12/08/10 11:17:32 PM,0.75,,,,
78,12/08/10 11:20:37 PM,0.76,,,,
79,12/08/10 11:22:50 PM,0.77,,,,
80,12/08/10 11:25:38 PM,0.78,,,,
81,12/08/10 11:30:41 PM,0.79,,,,
82,12/08/10 11:34:34 PM,0.80,,,,
83,12/08/10 11:38:50 PM,0.81,,,,
84,12/08/10 11:42:49 PM,0.82,,,,
85,12/08/10 11:47:20 PM,0.83,,,,
86,12/08/10 11:50:05 PM,0.84,,,,
87,12/08/10 11:54:53 PM,0.85,,,,
88,12/08/10 11:57:59 PM,0.86,,,,
89,12/09/10 12:03:11 AM,0.87,,,,
90,12/09/10 12:07:15 AM,0.88,,,,
91,12/09/10 12:09:58 AM,0.89,,,,
92,12/09/10 12:13:32 AM,0.90,,,,
93,12/09/10 12:21:58 AM,0.91,,,,
94,12/09/10 12:29:35 AM,0.92,,,,
