"Plot Title: HS"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,01/04/11 12:40:54 PM,0.00,,,
2,01/04/11 12:40:58 PM,,Logged,,
3,01/11/11 03:16:21 PM,0.01,,,
4,01/11/11 06:28:11 PM,0.02,,,
5,01/13/11 12:37:05 PM,0.03,,,
6,01/13/11 12:51:02 PM,0.04,,,
7,01/13/11 12:58:57 PM,0.05,,,
8,01/13/11 01:04:13 PM,0.06,,,
9,01/13/11 01:08:55 PM,0.07,,,
10,01/13/11 01:13:38 PM,0.08,,,
11,01/13/11 01:16:04 PM,0.09,,,
12,01/13/11 01:24:24 PM,0.10,,,
13,01/13/11 01:32:57 PM,0.11,,,
14,01/13/11 01:43:32 PM,0.12,,,
15,01/13/11 01:45:43 PM,0.13,,,
16,01/13/11 01:48:19 PM,0.14,,,
17,01/13/11 02:09:37 PM,0.15,,,
18,01/13/11 02:44:03 PM,0.16,,,
19,01/13/11 03:11:40 PM,0.17,,,
20,01/13/11 03:20:36 PM,0.18,,,
21,01/13/11 04:16:04 PM,0.19,,,
22,01/13/11 06:37:56 PM,0.20,,,
23,01/18/11 11:17:07 AM,0.20,,Logged,Logged
