"Plot Title: HS"
"#","Date Time, GMT-07:00","Batt, V (LGR S/N: 9668992, SEN S/N: 9668992)","rainfall, inches (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,10/04/11 04:45:00 PM,2.97,0.00,,,
2,10/04/11 05:00:00 PM,2.95,,,,
3,10/04/11 05:15:00 PM,2.95,,,,
4,10/04/11 05:30:00 PM,2.97,,,,
5,10/04/11 05:45:00 PM,2.97,,,,
6,10/04/11 06:00:00 PM,2.97,,,,
7,10/04/11 06:15:00 PM,2.97,,,,
8,10/04/11 06:30:00 PM,2.97,,,,
9,10/04/11 06:45:00 PM,2.97,,,,
10,10/04/11 07:00:00 PM,2.97,,,,
11,10/04/11 07:15:00 PM,2.97,,,,
12,10/04/11 07:30:00 PM,2.97,,,,
13,10/04/11 07:45:00 PM,2.97,,,,
14,10/04/11 08:00:00 PM,2.97,,,,
15,10/04/11 08:15:00 PM,2.97,,,,
16,10/04/11 08:30:00 PM,2.97,,,,
17,10/04/11 08:45:00 PM,2.97,,,,
18,10/04/11 09:00:00 PM,2.97,,,,
19,10/04/11 09:15:00 PM,2.97,,,,
20,10/04/11 09:30:00 PM,2.97,,,,
21,10/04/11 09:45:00 PM,2.97,,,,
22,10/04/11 09:51:21 PM,,0.01,,,
23,10/04/11 10:00:00 PM,2.97,,,,
24,10/04/11 10:03:21 PM,,0.02,,,
25,10/04/11 10:15:00 PM,2.97,,,,
26,10/04/11 10:16:05 PM,,0.03,,,
27,10/04/11 10:22:25 PM,,0.04,,,
28,10/04/11 10:29:56 PM,,0.05,,,
29,10/04/11 10:30:00 PM,2.97,,,,
30,10/04/11 10:35:24 PM,,0.06,,,
31,10/04/11 10:40:24 PM,,0.07,,,
32,10/04/11 10:44:53 PM,,0.08,,,
33,10/04/11 10:45:00 PM,2.97,,,,
34,10/04/11 10:50:41 PM,,0.09,,,
35,10/04/11 10:58:05 PM,,0.10,,,
36,10/04/11 11:00:00 PM,2.97,,,,
37,10/04/11 11:02:13 PM,,0.11,,,
38,10/04/11 11:05:39 PM,,0.12,,,
39,10/04/11 11:09:23 PM,,0.13,,,
40,10/04/11 11:14:13 PM,,0.14,,,
41,10/04/11 11:15:00 PM,2.97,,,,
42,10/04/11 11:17:44 PM,,0.15,,,
43,10/04/11 11:21:09 PM,,0.16,,,
44,10/04/11 11:24:10 PM,,0.17,,,
45,10/04/11 11:27:35 PM,,0.18,,,
46,10/04/11 11:30:00 PM,2.97,,,,
47,10/04/11 11:31:53 PM,,0.19,,,
48,10/04/11 11:35:17 PM,,0.20,,,
49,10/04/11 11:38:33 PM,,0.21,,,
50,10/04/11 11:40:57 PM,,0.22,,,
51,10/04/11 11:43:36 PM,,0.23,,,
52,10/04/11 11:45:00 PM,2.97,,,,
53,10/04/11 11:45:57 PM,,0.24,,,
54,10/04/11 11:47:59 PM,,0.25,,,
55,10/04/11 11:50:28 PM,,0.26,,,
56,10/04/11 11:52:20 PM,,0.27,,,
57,10/04/11 11:53:59 PM,,0.28,,,
58,10/04/11 11:55:36 PM,,0.29,,,
59,10/04/11 11:57:13 PM,,0.30,,,
60,10/04/11 11:58:40 PM,,0.31,,,
61,10/05/11 12:00:00 AM,2.97,,,,
62,10/05/11 12:00:08 AM,,0.32,,,
63,10/05/11 12:01:25 AM,,0.33,,,
64,10/05/11 12:02:39 AM,,0.34,,,
65,10/05/11 12:03:48 AM,,0.35,,,
66,10/05/11 12:04:53 AM,,0.36,,,
67,10/05/11 12:05:48 AM,,0.37,,,
68,10/05/11 12:06:58 AM,,0.38,,,
69,10/05/11 12:08:12 AM,,0.39,,,
70,10/05/11 12:09:17 AM,,0.40,,,
71,10/05/11 12:10:26 AM,,0.41,,,
72,10/05/11 12:11:40 AM,,0.42,,,
73,10/05/11 12:12:53 AM,,0.43,,,
74,10/05/11 12:14:20 AM,,0.44,,,
75,10/05/11 12:15:00 AM,2.97,,,,
76,10/05/11 12:15:32 AM,,0.45,,,
77,10/05/11 12:17:06 AM,,0.46,,,
78,10/05/11 12:18:37 AM,,0.47,,,
79,10/05/11 12:20:00 AM,,0.48,,,
80,10/05/11 12:21:08 AM,,0.49,,,
81,10/05/11 12:22:37 AM,,0.50,,,
82,10/05/11 12:24:14 AM,,0.51,,,
83,10/05/11 12:25:59 AM,,0.52,,,
84,10/05/11 12:27:31 AM,,0.53,,,
85,10/05/11 12:29:27 AM,,0.54,,,
86,10/05/11 12:30:00 AM,2.97,,,,
87,10/05/11 12:31:51 AM,,0.55,,,
88,10/05/11 12:34:15 AM,,0.56,,,
89,10/05/11 12:36:49 AM,,0.57,,,
90,10/05/11 12:39:19 AM,,0.58,,,
91,10/05/11 12:41:54 AM,,0.59,,,
92,10/05/11 12:44:13 AM,,0.60,,,
