"Plot Title: HS"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10592074, SEN S/N: 10592074)","Event, units (LGR S/N: 10592074, SEN S/N: 10592074)","Coupler Attached (LGR S/N: 10592074, SEN S/N: 10592074)","Host Connected (LGR S/N: 10592074, SEN S/N: 10592074)","End Of File (LGR S/N: 10592074, SEN S/N: 10592074)"
1,05/23/19 11:00:00 AM,66.366,0.00,,,
2,05/23/19 12:00:00 PM,69.964,,,,
3,05/23/19 01:00:00 PM,64.825,,,,
4,05/23/19 02:00:00 PM,63.626,,,,
5,05/23/19 03:00:00 PM,63.797,,,,
6,05/23/19 04:00:00 PM,62.083,,,,
7,05/23/19 05:00:00 PM,59.164,,,,
8,05/23/19 06:00:00 PM,56.230,,,,
9,05/23/19 07:00:00 PM,54.322,,,,
10,05/23/19 08:00:00 PM,52.925,,,,
11,05/23/19 09:00:00 PM,52.401,,,,
12,05/23/19 10:00:00 PM,52.050,,,,
13,05/23/19 11:00:00 PM,52.050,,,,
14,05/24/19 12:00:00 AM,52.050,,,,
15,05/24/19 01:00:00 AM,52.225,,,,
16,05/24/19 02:00:00 AM,52.225,,,,
17,05/24/19 03:00:00 AM,52.401,,,,
18,05/24/19 04:00:00 AM,52.401,,,,
19,05/24/19 05:00:00 AM,52.225,,,,
20,05/24/19 06:00:00 AM,52.050,,,,
21,05/24/19 07:00:00 AM,53.100,,,,
22,05/24/19 08:00:00 AM,59.164,,,,
23,05/24/19 09:00:00 AM,61.054,,,,
24,05/24/19 10:00:00 AM,65.680,,,,
25,05/24/19 11:00:00 AM,74.964,,,,
26,05/24/19 12:00:00 PM,80.911,,,,
27,05/24/19 01:00:00 PM,79.502,,,,
28,05/24/19 02:00:00 PM,76.876,,,,
29,05/24/19 03:00:00 PM,75.484,,,,
30,05/24/19 04:00:00 PM,72.028,,,,
31,05/24/19 05:00:00 PM,67.221,,,,
32,05/24/19 06:00:00 PM,63.968,,,,
33,05/24/19 07:00:00 PM,61.054,,,,
34,05/24/19 08:00:00 PM,55.537,,,,
35,05/24/19 09:00:00 PM,52.401,,,,
36,05/24/19 10:00:00 PM,50.643,,,,
37,05/24/19 11:00:00 PM,49.404,,,,
38,05/25/19 12:00:00 AM,50.290,,,,
39,05/25/19 01:00:00 AM,51.172,,,,
40,05/25/19 02:00:00 AM,51.172,,,,
41,05/25/19 03:00:00 AM,50.819,,,,
42,05/25/19 04:00:00 AM,50.819,,,,
43,05/25/19 05:00:00 AM,50.819,,,,
44,05/25/19 06:00:00 AM,50.290,,,,
45,05/25/19 07:00:00 AM,50.995,,,,
46,05/25/19 08:00:00 AM,57.096,,,,
47,05/25/19 09:00:00 AM,72.718,,,,
48,05/25/19 10:00:00 AM,80.382,,,,
49,05/25/19 11:00:00 AM,83.399,,,,
50,05/25/19 12:00:00 PM,77.574,,,,
51,05/25/19 01:00:00 PM,73.062,,,,
52,05/25/19 02:00:00 PM,75.484,,,,
53,05/25/19 03:00:00 PM,73.753,,,,
54,05/25/19 04:00:00 PM,70.824,,,,
55,05/25/19 05:00:00 PM,68.077,,,,
56,05/25/19 06:00:00 PM,60.024,,,,
57,05/25/19 07:00:00 PM,55.364,,,,
58,05/25/19 08:00:00 PM,52.750,,,,
59,05/25/19 09:00:00 PM,51.699,,,,
60,05/25/19 10:00:00 PM,51.172,,,,
61,05/25/19 11:00:00 PM,50.643,,,,
62,05/26/19 12:00:00 AM,50.466,,,,
63,05/26/19 01:00:00 AM,50.643,,,,
64,05/26/19 01:03:57 AM,,0.01,,,
65,05/26/19 01:17:41 AM,,0.02,,,
66,05/26/19 01:27:22 AM,,0.03,,,
67,05/26/19 01:39:17 AM,,0.04,,,
68,05/26/19 02:00:00 AM,50.466,,,,
69,05/26/19 03:00:00 AM,49.759,,,,
70,05/26/19 03:08:32 AM,,0.05,,,
71,05/26/19 04:00:00 AM,48.695,,,,
72,05/26/19 04:45:10 AM,,0.06,,,
73,05/26/19 04:45:11 AM,,0.07,,,
74,05/26/19 04:50:19 AM,,0.08,,,
