"Plot Title: LC RRG"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592081, SEN S/N: 10592081)","Coupler Detached (LGR S/N: 10592081, SEN S/N: 10592081)","Coupler Attached (LGR S/N: 10592081, SEN S/N: 10592081)","End Of File (LGR S/N: 10592081, SEN S/N: 10592081)"
1,09/17/14 02:56:16 PM,0.00,,,
2,09/17/14 02:56:22 PM,,Logged,,
3,09/17/14 03:05:39 PM,0.01,,,
4,09/18/14 01:08:06 AM,0.02,,,
5,09/18/14 01:38:58 AM,0.03,,,
6,09/18/14 01:49:57 AM,0.04,,,
7,09/18/14 02:50:03 AM,0.05,,,
8,09/18/14 03:00:23 AM,0.06,,,
9,09/18/14 03:05:53 AM,0.07,,,
10,09/18/14 03:12:01 AM,0.08,,,
11,09/18/14 04:23:15 AM,0.09,,,
12,09/18/14 04:40:35 AM,0.10,,,
13,09/18/14 04:44:34 AM,0.11,,,
14,09/18/14 04:47:59 AM,0.12,,,
15,09/18/14 05:11:20 AM,0.13,,,
16,09/24/14 11:35:08 PM,0.14,,,
17,09/25/14 12:41:21 AM,0.15,,,
18,09/25/14 12:55:00 AM,0.16,,,
19,09/25/14 01:07:40 AM,0.17,,,
20,09/25/14 01:15:41 AM,0.18,,,
21,09/25/14 01:19:25 AM,0.19,,,
22,09/25/14 01:21:31 AM,0.20,,,
23,09/25/14 01:25:18 AM,0.21,,,
24,09/25/14 01:42:37 AM,0.22,,,
25,09/25/14 02:45:19 AM,0.23,,,
26,09/25/14 03:21:41 AM,0.24,,,
27,09/25/14 03:40:10 AM,0.25,,,
28,09/25/14 03:57:18 AM,0.26,,,
29,09/25/14 04:42:56 AM,0.27,,,
30,09/25/14 05:03:09 AM,0.28,,,
31,09/25/14 05:12:51 AM,0.29,,,
32,09/25/14 05:20:36 AM,0.30,,,
33,09/25/14 05:25:49 AM,0.31,,,
34,09/25/14 05:31:25 AM,0.32,,,
35,09/25/14 05:41:55 AM,0.33,,,
36,09/25/14 05:51:55 AM,0.34,,,
37,09/25/14 06:00:41 AM,0.35,,,
38,09/25/14 06:06:31 AM,0.36,,,
39,09/25/14 06:12:00 AM,0.37,,,
40,09/25/14 06:16:07 AM,0.38,,,
41,09/25/14 06:19:49 AM,0.39,,,
42,09/25/14 06:23:51 AM,0.40,,,
43,09/25/14 06:30:12 AM,0.41,,,
44,09/25/14 06:36:54 AM,0.42,,,
45,09/25/14 06:41:06 AM,0.43,,,
46,09/25/14 06:44:52 AM,0.44,,,
47,09/25/14 06:55:25 AM,0.45,,,
48,09/25/14 07:10:01 AM,0.46,,,
49,09/25/14 08:11:17 AM,0.47,,,
50,09/30/14 11:23:19 AM,0.47,,Logged,Logged
