"Plot Title: LC RRG"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592081, SEN S/N: 10592081)","Coupler Attached (LGR S/N: 10592081, SEN S/N: 10592081)","End Of File (LGR S/N: 10592081, SEN S/N: 10592081)"
1,10/20/14 11:07:16 AM,0.00,,
2,10/20/14 12:41:10 PM,0.01,,
3,10/25/14 05:58:26 AM,0.02,,
4,10/25/14 06:06:17 AM,0.03,,
5,10/25/14 06:09:25 AM,0.04,,
6,10/25/14 06:12:46 AM,0.05,,
7,10/25/14 06:16:00 AM,0.06,,
8,10/25/14 06:20:18 AM,0.07,,
9,10/25/14 06:23:18 AM,0.08,,
10,10/25/14 06:28:17 AM,0.09,,
11,10/25/14 06:33:29 AM,0.10,,
12,10/25/14 06:37:37 AM,0.11,,
13,10/25/14 06:40:36 AM,0.12,,
14,10/25/14 06:43:32 AM,0.13,,
15,10/25/14 06:55:48 AM,0.14,,
16,10/25/14 07:11:15 AM,0.15,,
17,10/25/14 07:18:24 AM,0.16,,
18,10/25/14 07:27:14 AM,0.17,,
19,10/25/14 07:29:25 AM,0.18,,
20,10/25/14 07:31:33 AM,0.19,,
21,10/25/14 07:36:59 AM,0.20,,
22,10/25/14 07:54:49 AM,0.21,,
23,10/25/14 08:16:50 AM,0.22,,
24,10/25/14 08:52:00 AM,0.23,,
25,10/28/14 10:58:19 AM,0.23,Logged,Logged
