"Plot Title: LC RRG"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592081, SEN S/N: 10592081)","Coupler Attached (LGR S/N: 10592081, SEN S/N: 10592081)","Stopped (LGR S/N: 10592081, SEN S/N: 10592081)","End Of File (LGR S/N: 10592081, SEN S/N: 10592081)"
1,12/05/14 02:20:16 PM,0.00,,,
2,12/05/14 02:50:44 PM,0.01,,,
3,12/05/14 04:51:48 PM,0.02,,,
4,12/05/14 04:53:42 PM,0.03,,,
5,12/05/14 04:54:45 PM,0.04,,,
6,12/05/14 04:55:49 PM,0.05,,,
7,12/05/14 05:38:44 PM,0.06,,,
8,12/05/14 05:51:50 PM,0.07,,,
9,12/05/14 05:54:57 PM,0.08,,,
10,12/05/14 05:58:26 PM,0.09,,,
11,12/05/14 11:14:32 PM,0.10,,,
12,12/05/14 11:15:27 PM,0.11,,,
13,12/05/14 11:17:57 PM,0.12,,,
14,12/05/14 11:19:48 PM,0.13,,,
15,12/05/14 11:21:14 PM,0.14,,,
16,12/05/14 11:47:38 PM,0.15,,,
17,12/06/14 03:13:23 AM,0.16,,,
18,12/06/14 04:02:45 AM,0.17,,,
19,12/06/14 04:06:51 AM,0.18,,,
20,12/06/14 04:08:39 AM,0.19,,,
21,12/06/14 04:12:15 AM,0.20,,,
22,12/06/14 04:14:31 AM,0.21,,,
23,12/06/14 04:16:48 AM,0.22,,,
24,12/06/14 04:18:34 AM,0.23,,,
25,12/06/14 04:20:22 AM,0.24,,,
26,12/06/14 04:21:10 AM,0.25,,,
27,12/06/14 04:22:20 AM,0.26,,,
28,12/06/14 04:23:49 AM,0.27,,,
29,12/06/14 04:26:43 AM,0.28,,,
30,12/06/14 04:32:48 AM,0.29,,,
31,12/06/14 04:49:23 AM,0.30,,,
32,12/06/14 04:58:44 AM,0.31,,,
33,12/06/14 05:03:24 AM,0.32,,,
34,12/06/14 05:05:27 AM,0.33,,,
35,12/06/14 05:07:46 AM,0.34,,,
36,12/06/14 05:08:58 AM,0.35,,,
37,12/06/14 05:09:50 AM,0.36,,,
38,12/06/14 05:10:42 AM,0.37,,,
39,12/06/14 05:12:09 AM,0.38,,,
40,12/06/14 05:13:30 AM,0.39,,,
41,12/06/14 05:14:35 AM,0.40,,,
42,12/06/14 05:15:07 AM,0.41,,,
43,12/06/14 05:17:02 AM,0.42,,,
44,12/06/14 05:21:25 AM,0.43,,,
45,12/06/14 05:29:55 AM,0.44,,,
46,12/06/14 05:32:57 AM,0.45,,,
47,12/06/14 05:34:17 AM,0.46,,,
48,12/06/14 05:36:40 AM,0.47,,,
49,12/06/14 05:40:13 AM,0.48,,,
50,12/06/14 05:45:27 AM,0.49,,,
51,12/06/14 05:47:49 AM,0.50,,,
52,12/06/14 05:49:35 AM,0.51,,,
53,12/06/14 05:51:00 AM,0.52,,,
54,12/06/14 05:52:01 AM,0.53,,,
55,12/06/14 05:53:30 AM,0.54,,,
56,12/06/14 06:00:31 AM,0.55,,,
57,12/06/14 06:18:11 AM,0.56,,,
58,12/06/14 06:20:02 AM,0.57,,,
59,12/06/14 06:21:33 AM,0.58,,,
60,12/06/14 06:23:24 AM,0.59,,,
61,12/06/14 06:41:52 AM,0.60,,,
62,12/06/14 07:27:17 AM,0.61,,,
63,12/06/14 08:07:34 AM,0.62,,,
64,12/06/14 08:12:46 AM,0.63,,,
65,12/06/14 08:30:08 AM,0.64,,,
66,12/06/14 08:34:29 AM,0.65,,,
67,12/06/14 09:06:14 AM,0.66,,,
68,12/06/14 09:21:15 AM,0.67,,,
69,12/06/14 09:54:52 AM,0.68,,,
70,12/06/14 10:32:50 AM,0.69,,,
71,12/10/14 10:38:06 AM,,Logged,,
72,12/10/14 10:38:08 AM,0.69,,Logged,Logged
