"Plot Title: LCHS"
"#","Date Time, GMT-08:00","Ext. Line Event, Inches (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
1,05/04/10 10:29:03 AM,0.00,,,,
2,05/04/10 10:29:06 AM,,Logged,,,
3,05/09/10 07:56:47 AM,0.01,,,,
4,05/09/10 08:04:26 AM,0.02,,,,
5,05/09/10 08:13:29 AM,0.03,,,,
6,05/09/10 08:25:32 AM,0.04,,,,
7,05/09/10 08:43:32 AM,0.05,,,,
8,05/10/10 06:42:01 AM,0.06,,,,
9,05/10/10 06:57:57 AM,0.07,,,,
10,05/10/10 07:09:26 AM,0.08,,,,
11,05/10/10 07:22:33 AM,0.09,,,,
12,05/10/10 07:39:08 AM,0.10,,,,
13,05/10/10 08:03:08 AM,0.11,,,,
14,05/10/10 09:01:14 AM,0.12,,,,
15,05/10/10 01:04:54 PM,0.13,,,,
16,05/10/10 01:07:30 PM,0.14,,,,
17,05/10/10 01:36:14 PM,0.15,,,,
18,05/10/10 02:13:14 PM,0.16,,,,
19,05/10/10 02:59:36 PM,0.17,,,,
20,05/10/10 03:29:36 PM,0.18,,,,
21,05/10/10 03:51:52 PM,0.19,,,,
22,05/10/10 04:29:10 PM,0.20,,,,
23,05/10/10 08:04:24 PM,0.21,,,,
24,05/10/10 09:03:44 PM,0.22,,,,
25,05/10/10 10:08:48 PM,0.23,,,,
26,05/11/10 11:11:24 AM,,,Logged,,
27,05/11/10 11:11:26 AM,0.23,,,Logged,Logged
