"Plot Title: LC RRG"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592081, SEN S/N: 10592081)","Coupler Detached (LGR S/N: 10592081, SEN S/N: 10592081)","Coupler Attached (LGR S/N: 10592081, SEN S/N: 10592081)","Host Connected (LGR S/N: 10592081, SEN S/N: 10592081)","End Of File (LGR S/N: 10592081, SEN S/N: 10592081)"
1,01/14/16 10:32:45 AM,0.00,,,,
2,01/14/16 10:34:23 AM,,Logged,,,
3,01/14/16 04:26:01 PM,0.01,,,,
4,01/14/16 04:32:33 PM,0.02,,,,
5,01/14/16 04:40:17 PM,0.03,,,,
6,01/14/16 04:45:13 PM,0.04,,,,
7,01/14/16 04:48:24 PM,0.05,,,,
8,01/14/16 04:53:46 PM,0.06,,,,
9,01/14/16 04:59:13 PM,0.07,,,,
10,01/14/16 05:08:14 PM,0.08,,,,
11,01/14/16 05:28:53 PM,0.09,,,,
12,01/14/16 06:02:29 PM,0.10,,,,
13,01/14/16 06:13:11 PM,0.11,,,,
14,01/14/16 06:22:51 PM,0.12,,,,
15,01/14/16 06:29:12 PM,0.13,,,,
16,01/14/16 06:39:09 PM,0.14,,,,
17,01/14/16 06:47:30 PM,0.15,,,,
18,01/14/16 06:50:45 PM,0.16,,,,
19,01/14/16 06:55:33 PM,0.17,,,,
20,01/14/16 07:03:54 PM,0.18,,,,
21,01/14/16 07:19:09 PM,0.19,,,,
22,01/14/16 07:37:10 PM,0.20,,,,
23,01/14/16 07:43:21 PM,0.21,,,,
24,01/14/16 07:46:51 PM,0.22,,,,
25,01/14/16 07:49:22 PM,0.23,,,,
26,01/14/16 07:51:10 PM,0.24,,,,
27,01/14/16 07:53:43 PM,0.25,,,,
28,01/14/16 07:59:42 PM,0.26,,,,
29,01/14/16 08:04:02 PM,0.27,,,,
30,01/14/16 08:07:38 PM,0.28,,,,
31,01/14/16 08:12:30 PM,0.29,,,,
32,01/14/16 08:20:54 PM,0.30,,,,
33,01/14/16 08:26:26 PM,0.31,,,,
34,01/14/16 08:32:45 PM,0.32,,,,
35,01/14/16 08:41:21 PM,0.33,,,,
36,01/14/16 08:47:24 PM,0.34,,,,
37,01/14/16 08:51:17 PM,0.35,,,,
38,01/14/16 08:53:42 PM,0.36,,,,
39,01/14/16 08:55:56 PM,0.37,,,,
40,01/14/16 08:58:13 PM,0.38,,,,
41,01/14/16 09:00:22 PM,0.39,,,,
42,01/14/16 09:02:38 PM,0.40,,,,
43,01/14/16 09:06:14 PM,0.41,,,,
44,01/14/16 09:09:47 PM,0.42,,,,
45,01/14/16 09:13:35 PM,0.43,,,,
46,01/14/16 09:16:16 PM,0.44,,,,
47,01/14/16 09:18:20 PM,0.45,,,,
48,01/14/16 09:19:55 PM,0.46,,,,
49,01/14/16 09:21:36 PM,0.47,,,,
50,01/14/16 09:24:48 PM,0.48,,,,
51,01/14/16 09:26:28 PM,0.49,,,,
52,01/14/16 09:29:16 PM,0.50,,,,
53,01/14/16 09:30:30 PM,0.51,,,,
54,01/14/16 09:32:09 PM,0.52,,,,
55,01/14/16 09:33:47 PM,0.53,,,,
56,01/14/16 09:36:39 PM,0.54,,,,
57,01/14/16 09:41:18 PM,0.55,,,,
58,01/14/16 09:44:26 PM,0.56,,,,
59,01/14/16 09:46:47 PM,0.57,,,,
60,01/14/16 09:51:30 PM,0.58,,,,
61,01/14/16 09:54:04 PM,0.59,,,,
62,01/14/16 09:55:10 PM,0.60,,,,
63,01/14/16 09:56:22 PM,0.61,,,,
64,01/14/16 10:02:01 PM,0.62,,,,
65,01/14/16 10:04:26 PM,0.63,,,,
66,01/14/16 10:08:39 PM,0.64,,,,
67,01/14/16 10:12:22 PM,0.65,,,,
68,01/14/16 10:23:08 PM,0.66,,,,
69,01/14/16 11:09:29 PM,0.67,,,,
70,01/15/16 06:56:30 AM,0.68,,,,
71,01/15/16 10:35:08 PM,0.69,,,,
72,01/15/16 10:40:37 PM,0.70,,,,
73,01/15/16 10:50:58 PM,0.71,,,,
74,01/15/16 10:58:35 PM,0.72,,,,
75,01/15/16 11:04:25 PM,0.73,,,,
76,01/15/16 11:09:37 PM,0.74,,,,
77,01/15/16 11:20:14 PM,0.75,,,,
78,01/15/16 11:31:14 PM,0.76,,,,
79,01/15/16 11:45:27 PM,0.77,,,,
80,01/16/16 01:09:30 AM,0.78,,,,
81,01/16/16 01:33:50 AM,0.79,,,,
82,01/16/16 01:59:02 AM,0.80,,,,
83,01/16/16 02:10:30 AM,0.81,,,,
84,01/16/16 02:12:54 AM,0.82,,,,
85,01/16/16 02:17:25 AM,0.83,,,,
86,01/16/16 04:59:09 AM,0.84,,,,
87,01/16/16 05:37:30 AM,0.85,,,,
88,01/16/16 08:15:17 AM,0.86,,,,
89,01/16/16 11:50:35 AM,0.87,,,,
90,01/16/16 11:56:28 AM,0.88,,,,
91,01/16/16 12:05:35 PM,0.89,,,,
92,01/16/16 12:26:34 PM,0.90,,,,
93,01/16/16 12:46:44 PM,0.91,,,,
94,01/16/16 01:43:55 PM,0.92,,,,
95,01/16/16 03:15:31 PM,0.93,,,,
96,01/16/16 03:19:19 PM,0.94,,,,
97,01/16/16 03:24:54 PM,0.95,,,,
98,01/16/16 03:33:46 PM,0.96,,,,
99,01/16/16 03:56:47 PM,0.97,,,,
100,01/16/16 08:20:13 PM,0.98,,,,
101,01/17/16 09:37:39 AM,0.99,,,,
102,01/17/16 10:41:54 AM,1.00,,,,
103,01/17/16 10:48:47 AM,1.01,,,,
104,01/17/16 03:24:27 PM,1.02,,,,
105,01/17/16 04:45:42 PM,1.03,,,,
106,01/17/16 04:50:06 PM,1.04,,,,
107,01/17/16 04:52:27 PM,1.05,,,,
108,01/17/16 04:53:13 PM,1.06,,,,
109,01/17/16 04:54:07 PM,1.07,,,,
110,01/17/16 04:56:21 PM,1.08,,,,
111,01/17/16 05:01:56 PM,1.09,,,,
112,01/17/16 05:09:36 PM,1.10,,,,
113,01/17/16 05:20:37 PM,1.11,,,,
114,01/17/16 05:24:16 PM,1.12,,,,
115,01/17/16 05:28:20 PM,1.13,,,,
116,01/17/16 05:31:44 PM,1.14,,,,
117,01/17/16 05:39:15 PM,1.15,,,,
118,01/17/16 05:53:26 PM,1.16,,,,
119,01/17/16 06:20:28 PM,1.17,,,,
120,01/17/16 06:35:39 PM,1.18,,,,
121,01/17/16 06:40:17 PM,1.19,,,,
122,01/17/16 06:43:04 PM,1.20,,,,
123,01/17/16 06:47:37 PM,1.21,,,,
124,01/17/16 06:53:29 PM,1.22,,,,
125,01/17/16 06:56:18 PM,1.23,,,,
126,01/17/16 06:58:51 PM,1.24,,,,
127,01/17/16 07:00:18 PM,1.25,,,,
128,01/17/16 07:02:01 PM,1.26,,,,
129,01/17/16 07:03:42 PM,1.27,,,,
130,01/17/16 07:04:59 PM,1.28,,,,
131,01/17/16 07:06:31 PM,1.29,,,,
132,01/17/16 07:08:49 PM,1.30,,,,
133,01/17/16 07:11:50 PM,1.31,,,,
134,01/17/16 07:15:30 PM,1.32,,,,
135,01/17/16 07:18:18 PM,1.33,,,,
136,01/17/16 07:21:06 PM,1.34,,,,
137,01/17/16 07:24:11 PM,1.35,,,,
138,01/17/16 07:27:27 PM,1.36,,,,
139,01/17/16 07:31:23 PM,1.37,,,,
140,01/17/16 07:34:35 PM,1.38,,,,
141,01/17/16 07:37:15 PM,1.39,,,,
142,01/17/16 07:40:41 PM,1.40,,,,
143,01/17/16 07:44:16 PM,1.41,,,,
144,01/17/16 07:47:03 PM,1.42,,,,
145,01/17/16 07:49:40 PM,1.43,,,,
146,01/17/16 07:52:54 PM,1.44,,,,
147,01/17/16 07:56:19 PM,1.45,,,,
148,01/17/16 07:59:19 PM,1.46,,,,
149,01/17/16 08:02:29 PM,1.47,,,,
150,01/17/16 08:06:04 PM,1.48,,,,
151,01/17/16 08:09:11 PM,1.49,,,,
152,01/17/16 08:11:16 PM,1.50,,,,
153,01/17/16 08:12:38 PM,1.51,,,,
154,01/17/16 08:15:21 PM,1.52,,,,
155,01/17/16 08:19:06 PM,1.53,,,,
156,01/17/16 08:22:27 PM,1.54,,,,
157,01/17/16 08:24:45 PM,1.55,,,,
158,01/17/16 08:27:21 PM,1.56,,,,
159,01/17/16 08:29:21 PM,1.57,,,,
160,01/17/16 08:31:31 PM,1.58,,,,
161,01/17/16 08:34:28 PM,1.59,,,,
162,01/17/16 08:36:24 PM,1.60,,,,
163,01/17/16 08:37:38 PM,1.61,,,,
164,01/17/16 08:38:57 PM,1.62,,,,
165,01/17/16 08:40:08 PM,1.63,,,,
166,01/17/16 08:41:14 PM,1.64,,,,
167,01/17/16 08:42:17 PM,1.65,,,,
168,01/17/16 08:43:26 PM,1.66,,,,
169,01/17/16 08:44:09 PM,1.67,,,,
170,01/17/16 08:44:50 PM,1.68,,,,
171,01/17/16 08:45:30 PM,1.69,,,,
172,01/17/16 08:46:24 PM,1.70,,,,
173,01/17/16 08:47:22 PM,1.71,,,,
174,01/17/16 08:48:47 PM,1.72,,,,
175,01/17/16 08:49:54 PM,1.73,,,,
176,01/17/16 08:51:49 PM,1.74,,,,
177,01/17/16 08:53:54 PM,1.75,,,,
178,01/17/16 08:56:29 PM,1.76,,,,
179,01/17/16 08:59:40 PM,1.77,,,,
180,01/17/16 09:04:50 PM,1.78,,,,
181,01/17/16 09:10:00 PM,1.79,,,,
182,01/17/16 09:20:31 PM,1.80,,,,
183,01/17/16 09:27:26 PM,1.81,,,,
184,01/17/16 09:34:31 PM,1.82,,,,
185,01/17/16 09:39:22 PM,1.83,,,,
186,01/17/16 09:44:15 PM,1.84,,,,
187,01/17/16 09:48:27 PM,1.85,,,,
188,01/17/16 09:51:44 PM,1.86,,,,
189,01/17/16 09:53:59 PM,1.87,,,,
190,01/17/16 09:55:50 PM,1.88,,,,
191,01/17/16 09:57:14 PM,1.89,,,,
192,01/17/16 09:58:56 PM,1.90,,,,
193,01/17/16 10:00:14 PM,1.91,,,,
194,01/17/16 10:01:37 PM,1.92,,,,
195,01/17/16 10:02:34 PM,1.93,,,,
196,01/17/16 10:03:29 PM,1.94,,,,
197,01/17/16 10:04:17 PM,1.95,,,,
198,01/17/16 10:05:02 PM,1.96,,,,
199,01/17/16 10:05:43 PM,1.97,,,,
200,01/17/16 10:06:39 PM,1.98,,,,
201,01/17/16 10:07:39 PM,1.99,,,,
202,01/17/16 10:08:41 PM,2.00,,,,
203,01/17/16 10:09:45 PM,2.01,,,,
204,01/17/16 10:11:11 PM,2.02,,,,
205,01/17/16 10:12:28 PM,2.03,,,,
206,01/17/16 10:13:40 PM,2.04,,,,
207,01/17/16 10:14:52 PM,2.05,,,,
208,01/17/16 10:16:21 PM,2.06,,,,
209,01/17/16 10:17:40 PM,2.07,,,,
210,01/17/16 10:19:31 PM,2.08,,,,
211,01/17/16 10:20:59 PM,2.09,,,,
212,01/17/16 10:22:47 PM,2.10,,,,
213,01/17/16 10:23:44 PM,2.11,,,,
214,01/17/16 10:24:49 PM,2.12,,,,
215,01/17/16 10:25:25 PM,2.13,,,,
216,01/17/16 10:26:10 PM,2.14,,,,
217,01/17/16 10:27:19 PM,2.15,,,,
218,01/17/16 10:29:02 PM,2.16,,,,
219,01/17/16 10:30:26 PM,2.17,,,,
220,01/17/16 10:31:43 PM,2.18,,,,
221,01/17/16 10:32:55 PM,2.19,,,,
222,01/17/16 10:34:16 PM,2.20,,,,
223,01/17/16 10:35:16 PM,2.21,,,,
224,01/17/16 10:36:12 PM,2.22,,,,
225,01/17/16 10:37:00 PM,2.23,,,,
226,01/17/16 10:37:44 PM,2.24,,,,
227,01/17/16 10:38:16 PM,2.25,,,,
228,01/17/16 10:39:10 PM,2.26,,,,
229,01/17/16 10:40:25 PM,2.27,,,,
230,01/17/16 10:41:47 PM,2.28,,,,
231,01/17/16 10:43:23 PM,2.29,,,,
232,01/17/16 10:45:48 PM,2.30,,,,
233,01/17/16 10:47:53 PM,2.31,,,,
234,01/17/16 10:50:00 PM,2.32,,,,
235,01/17/16 10:52:27 PM,2.33,,,,
236,01/17/16 10:55:08 PM,2.34,,,,
237,01/17/16 10:57:54 PM,2.35,,,,
238,01/17/16 11:01:19 PM,2.36,,,,
239,01/17/16 11:04:16 PM,2.37,,,,
