"Plot Title: Landing Rain Gage"
"#","Date Time, GMT-07:00","Batt, V (LGR S/N: 9668993, SEN S/N: 9668993)","Event, units (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,05/26/10 11:39:06 AM,3.01,0.00,,,,
2,05/26/10 12:39:06 PM,2.99,,,,,
3,05/26/10 01:39:06 PM,3.01,,,,,
4,05/26/10 02:39:06 PM,3.01,,,,,
5,05/26/10 03:39:06 PM,3.01,,,,,
6,05/26/10 04:39:06 PM,3.01,,,,,
7,05/26/10 05:39:06 PM,3.01,,,,,
8,05/26/10 06:39:06 PM,3.01,,,,,
9,05/26/10 07:39:06 PM,3.01,,,,,
10,05/26/10 08:39:06 PM,3.01,,,,,
11,05/26/10 09:39:06 PM,3.01,,,,,
12,05/26/10 10:39:06 PM,3.01,,,,,
13,05/26/10 11:39:06 PM,3.01,,,,,
14,05/27/10 12:39:06 AM,3.01,,,,,
15,05/27/10 01:39:06 AM,3.01,,,,,
16,05/27/10 02:39:06 AM,3.01,,,,,
17,05/27/10 03:39:06 AM,3.01,,,,,
18,05/27/10 04:39:06 AM,3.01,,,,,
19,05/27/10 05:39:06 AM,3.01,,,,,
20,05/27/10 06:39:06 AM,3.01,,,,,
21,05/27/10 07:39:06 AM,3.01,,,,,
22,05/27/10 08:39:06 AM,3.01,,,,,
23,05/27/10 09:36:36 AM,,0.01,,,,
24,05/27/10 09:39:06 AM,3.01,,,,,
25,05/27/10 09:46:46 AM,,0.02,,,,
26,05/27/10 09:59:54 AM,,0.03,,,,
27,05/27/10 10:23:49 AM,,0.04,,,,
28,05/27/10 10:32:00 AM,,0.05,,,,
29,05/27/10 10:32:01 AM,,0.06,,,,
30,05/27/10 10:38:27 AM,,0.07,,,,
31,05/27/10 10:39:06 AM,3.01,,,,,
32,05/27/10 10:56:55 AM,,0.08,,,,
33,05/27/10 11:39:06 AM,3.01,,,,,
34,05/27/10 12:39:06 PM,3.01,,,,,
35,05/27/10 01:39:06 PM,3.01,,,,,
36,05/27/10 02:39:06 PM,3.01,,,,,
37,05/27/10 03:39:06 PM,3.01,,,,,
38,05/27/10 04:39:06 PM,3.01,,,,,
39,05/27/10 05:39:06 PM,3.01,,,,,
40,05/27/10 06:39:06 PM,3.01,,,,,
41,05/27/10 07:39:06 PM,3.01,,,,,
42,05/27/10 08:39:06 PM,3.01,,,,,
43,05/27/10 09:39:06 PM,3.01,,,,,
44,05/27/10 10:39:06 PM,3.03,,,,,
45,05/27/10 11:39:06 PM,3.01,,,,,
46,05/28/10 12:39:06 AM,3.01,,,,,
47,05/28/10 01:39:06 AM,3.01,,,,,
48,05/28/10 02:39:06 AM,3.01,,,,,
49,05/28/10 03:39:06 AM,3.01,,,,,
50,05/28/10 04:39:06 AM,3.01,,,,,
51,05/28/10 05:39:06 AM,3.01,,,,,
52,05/28/10 06:39:06 AM,3.01,,,,,
53,05/28/10 07:39:06 AM,3.01,,,,,
54,05/28/10 08:39:06 AM,3.01,,,,,
55,05/28/10 09:39:06 AM,3.01,,,,,
56,05/28/10 10:39:06 AM,3.01,,,,,
57,05/28/10 11:39:06 AM,3.01,,,,,
58,05/28/10 12:39:06 PM,3.01,,,,,
59,05/28/10 01:39:06 PM,2.99,,,,,
60,05/28/10 02:39:06 PM,3.01,,,,,
61,05/28/10 03:39:06 PM,3.01,,,,,
62,05/28/10 04:39:06 PM,3.01,,,,,
63,05/28/10 05:39:06 PM,3.03,,,,,
64,05/28/10 06:39:06 PM,3.01,,,,,
65,05/28/10 07:39:06 PM,3.03,,,,,
66,05/28/10 08:39:06 PM,3.01,,,,,
67,05/28/10 09:39:06 PM,3.01,,,,,
68,05/28/10 10:39:06 PM,3.03,,,,,
69,05/28/10 11:39:06 PM,3.01,,,,,
70,05/29/10 12:39:06 AM,3.03,,,,,
71,05/29/10 01:39:06 AM,3.01,,,,,
72,05/29/10 02:39:06 AM,3.01,,,,,
73,05/29/10 03:39:06 AM,3.01,,,,,
74,05/29/10 04:39:06 AM,3.01,,,,,
75,05/29/10 05:39:06 AM,3.03,,,,,
76,05/29/10 06:39:06 AM,3.03,,,,,
77,05/29/10 07:39:06 AM,3.01,,,,,
78,05/29/10 08:39:06 AM,3.01,,,,,
79,05/29/10 09:39:06 AM,3.01,,,,,
80,05/29/10 10:39:06 AM,3.01,,,,,
81,05/29/10 11:39:06 AM,3.01,,,,,
82,05/29/10 12:39:06 PM,3.01,,,,,
83,05/29/10 01:39:06 PM,3.01,,,,,
84,05/29/10 02:39:06 PM,3.01,,,,,
85,05/29/10 03:39:06 PM,3.01,,,,,
86,05/29/10 04:39:06 PM,3.01,,,,,
87,05/29/10 05:39:06 PM,3.01,,,,,
