"Plot Title: LQC"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309222, SEN S/N: 20309222)","Event, units (LGR S/N: 20309222, SEN S/N: 20309222)","Coupler Attached (LGR S/N: 20309222, SEN S/N: 20309222)","Host Connected (LGR S/N: 20309222, SEN S/N: 20309222)","End Of File (LGR S/N: 20309222, SEN S/N: 20309222)"
1,04/10/20 01:00:00 PM,69.622,0.00,,,
2,04/10/20 02:00:00 PM,66.537,,,,
3,04/10/20 03:00:00 PM,66.537,,,,
4,04/10/20 04:00:00 PM,66.193,,,,
5,04/10/20 05:00:00 PM,66.022,,,,
6,04/10/20 06:00:00 PM,64.481,,,,
7,04/10/20 07:00:00 PM,61.227,,,,
8,04/10/20 08:00:00 PM,54.842,,,,
9,04/10/20 09:00:00 PM,52.576,,,,
10,04/10/20 10:00:00 PM,49.228,,,,
11,04/10/20 11:00:00 PM,47.802,,,,
12,04/11/20 12:00:00 AM,46.728,,,,
13,04/11/20 01:00:00 AM,44.379,,,,
14,04/11/20 02:00:00 AM,43.831,,,,
15,04/11/20 03:00:00 AM,44.560,,,,
16,04/11/20 04:00:00 AM,47.266,,,,
17,04/11/20 05:00:00 AM,48.339,,,,
18,04/11/20 06:00:00 AM,48.871,,,,
19,04/11/20 07:00:00 AM,49.050,,,,
20,04/11/20 08:00:00 AM,50.466,,,,
21,04/11/20 09:00:00 AM,54.495,,,,
22,04/11/20 10:00:00 AM,56.230,,,,
23,04/11/20 11:00:00 AM,58.131,,,,
24,04/11/20 12:00:00 PM,60.024,,,,
25,04/11/20 01:00:00 PM,61.398,,,,
26,04/11/20 02:00:00 PM,62.425,,,,
27,04/11/20 03:00:00 PM,62.083,,,,
28,04/11/20 04:00:00 PM,60.883,,,,
29,04/11/20 05:00:00 PM,57.785,,,,
30,04/11/20 06:00:00 PM,56.057,,,,
31,04/11/20 07:00:00 PM,54.842,,,,
32,04/11/20 08:00:00 PM,53.623,,,,
33,04/11/20 09:00:00 PM,53.100,,,,
34,04/11/20 10:00:00 PM,52.750,,,,
35,04/11/20 11:00:00 PM,52.225,,,,
36,04/12/20 12:00:00 AM,52.050,,,,
37,04/12/20 01:00:00 AM,50.995,,,,
38,04/12/20 02:00:00 AM,49.937,,,,
39,04/12/20 03:00:00 AM,48.517,,,,
40,04/12/20 04:00:00 AM,49.050,,,,
41,04/12/20 05:00:00 AM,49.759,,,,
42,04/12/20 06:00:00 AM,49.937,,,,
43,04/12/20 07:00:00 AM,49.937,,,,
44,04/12/20 08:00:00 AM,51.172,,,,
45,04/12/20 09:00:00 AM,53.100,,,,
46,04/12/20 10:00:00 AM,54.322,,,,
47,04/12/20 11:00:00 AM,56.057,,,,
48,04/12/20 12:00:00 PM,57.958,,,,
49,04/12/20 01:00:00 PM,57.785,,,,
50,04/12/20 02:00:00 PM,58.476,,,,
51,04/12/20 03:00:00 PM,57.614,,,,
52,04/12/20 04:00:00 PM,57.441,,,,
53,04/12/20 05:00:00 PM,55.884,,,,
54,04/12/20 06:00:00 PM,54.842,,,,
55,04/12/20 07:00:00 PM,54.322,,,,
56,04/12/20 08:00:00 PM,53.274,,,,
57,04/12/20 09:00:00 PM,52.576,,,,
58,04/12/20 10:00:00 PM,52.401,,,,
59,04/12/20 11:00:00 PM,51.874,,,,
60,04/13/20 12:00:00 AM,51.874,,,,
61,04/13/20 01:00:00 AM,51.699,,,,
62,04/13/20 02:00:00 AM,51.346,,,,
63,04/13/20 03:00:00 AM,50.995,,,,
64,04/13/20 04:00:00 AM,50.643,,,,
65,04/13/20 05:00:00 AM,50.466,,,,
66,04/13/20 06:00:00 AM,48.517,,,,
67,04/13/20 07:00:00 AM,48.517,,,,
68,04/13/20 08:00:00 AM,49.759,,,,
69,04/13/20 09:00:00 AM,51.699,,,,
70,04/13/20 10:00:00 AM,58.303,,,,
71,04/13/20 11:00:00 AM,64.310,,,,
72,04/13/20 12:00:00 PM,70.824,,,,
73,04/13/20 01:00:00 PM,69.107,,,,
74,04/13/20 02:00:00 PM,67.050,,,,
75,04/13/20 03:00:00 PM,66.366,,,,
76,04/13/20 04:00:00 PM,67.221,,,,
77,04/13/20 05:00:00 PM,66.193,,,,
78,04/13/20 06:00:00 PM,63.968,,,,
79,04/13/20 07:00:00 PM,59.508,,,,
80,04/13/20 08:00:00 PM,52.925,,,,
81,04/13/20 09:00:00 PM,49.050,,,,
82,04/13/20 10:00:00 PM,46.908,,,,
83,04/13/20 11:00:00 PM,45.286,,,,
84,04/14/20 12:00:00 AM,44.013,,,,
85,04/14/20 01:00:00 AM,42.915,,,,
86,04/14/20 02:00:00 AM,42.548,,,,
87,04/14/20 03:00:00 AM,45.104,,,,
88,04/14/20 04:00:00 AM,42.363,,,,
89,04/14/20 05:00:00 AM,41.067,,,,
90,04/14/20 06:00:00 AM,39.007,,,,
91,04/14/20 07:00:00 AM,38.629,,,,
92,04/14/20 08:00:00 AM,39.760,,,,
93,04/14/20 09:00:00 AM,44.922,,,,
94,04/14/20 10:00:00 AM,52.925,,,,
95,04/14/20 11:00:00 AM,62.083,,,,
96,04/14/20 12:00:00 PM,70.137,,,,
97,04/14/20 01:00:00 PM,67.735,,,,
98,04/14/20 02:00:00 PM,64.652,,,,
99,04/14/20 03:00:00 PM,66.366,,,,
100,04/14/20 04:00:00 PM,67.221,,,,
101,04/14/20 05:00:00 PM,69.622,,,,
102,04/14/20 06:00:00 PM,72.199,,,,
103,04/14/20 07:00:00 PM,70.308,,,,
104,04/14/20 08:00:00 PM,58.647,,,,
105,04/14/20 09:00:00 PM,51.523,,,,
106,04/14/20 10:00:00 PM,48.160,,,,
107,04/14/20 11:00:00 PM,45.828,,,,
108,04/15/20 12:00:00 AM,44.742,,,,
109,04/15/20 01:00:00 AM,42.732,,,,
110,04/15/20 02:00:00 AM,41.810,,,,
111,04/15/20 03:00:00 AM,40.696,,,,
112,04/15/20 04:00:00 AM,39.947,,,,
113,04/15/20 05:00:00 AM,39.573,,,,
114,04/15/20 06:00:00 AM,39.573,,,,
115,04/15/20 07:00:00 AM,39.573,,,,
116,04/15/20 08:00:00 AM,40.881,,,,
117,04/15/20 09:00:00 AM,46.548,,,,
118,04/15/20 10:00:00 AM,59.164,,,,
119,04/15/20 11:00:00 AM,71.512,,,,
120,04/15/20 12:00:00 PM,76.876,,,,
121,04/15/20 01:00:00 PM,72.545,,,,
