"Plot Title: Landing"
"#","Date Time, GMT-07:00","rainfall, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,11/16/10 12:53:16 PM,0.00000000,,,,
2,11/16/10 12:53:18 PM,,Logged,,,
3,11/19/10 08:21:50 AM,0.00877193,,,,
4,11/19/10 10:03:25 AM,0.01754386,,,,
5,11/19/10 10:31:31 AM,0.02631579,,,,
6,11/19/10 10:31:32 AM,0.03508772,,,,
7,11/19/10 10:51:01 AM,0.04385965,,,,
8,11/19/10 11:29:51 AM,0.05263158,,,,
9,11/19/10 11:37:13 AM,0.06140351,,,,
10,11/19/10 11:39:29 AM,0.07017544,,,,
11,11/19/10 11:49:18 AM,0.07894737,,,,
12,11/19/10 12:09:12 PM,0.08771930,,,,
13,11/19/10 12:29:39 PM,0.09649123,,,,
14,11/19/10 01:06:20 PM,0.10526316,,,,
15,11/19/10 01:10:50 PM,0.11403509,,,,
16,11/19/10 01:14:03 PM,0.12280702,,,,
17,11/19/10 01:17:53 PM,0.13157895,,,,
18,11/19/10 01:21:50 PM,0.14035088,,,,
19,11/19/10 01:57:20 PM,0.14912281,,,,
20,11/19/10 01:57:21 PM,0.15789474,,,,
21,11/19/10 08:48:05 PM,0.16666667,,,,
22,11/19/10 08:48:54 PM,0.17543860,,,,
23,11/19/10 08:49:48 PM,0.18421053,,,,
24,11/19/10 08:52:31 PM,0.19298246,,,,
25,11/19/10 08:57:47 PM,0.20175439,,,,
26,11/19/10 08:58:06 PM,0.21052632,,,,
27,11/19/10 08:58:47 PM,0.21929825,,,,
28,11/19/10 08:58:48 PM,0.22807018,,,,
29,11/19/10 09:01:17 PM,0.23684211,,,,
30,11/19/10 09:01:18 PM,0.24561404,,,,
31,11/19/10 09:02:40 PM,0.25438597,,,,
32,11/19/10 09:03:07 PM,0.26315790,,,,
33,11/19/10 09:03:08 PM,0.27192983,,,,
34,11/19/10 09:03:40 PM,0.28070176,,,,
35,11/19/10 09:04:03 PM,0.28947369,,,,
36,11/19/10 09:04:40 PM,0.29824562,,,,
37,11/19/10 09:04:41 PM,0.30701755,,,,
38,11/19/10 09:05:01 PM,0.31578948,,,,
39,11/19/10 09:05:20 PM,0.32456141,,,,
40,11/19/10 09:05:21 PM,0.33333334,,,,
41,11/19/10 09:05:38 PM,0.34210527,,,,
42,11/19/10 09:05:39 PM,0.35087720,,,,
43,11/19/10 09:07:56 PM,0.35964913,,,,
44,11/19/10 09:13:01 PM,0.36842106,,,,
45,11/19/10 09:13:02 PM,0.37719299,,,,
46,11/19/10 09:16:49 PM,0.38596492,,,,
47,11/19/10 09:16:50 PM,0.39473685,,,,
48,11/19/10 09:19:18 PM,0.40350878,,,,
49,11/19/10 09:19:38 PM,0.41228071,,,,
50,11/19/10 09:19:54 PM,0.42105264,,,,
51,11/19/10 09:20:10 PM,0.42982457,,,,
52,11/19/10 09:20:11 PM,0.43859650,,,,
53,11/19/10 09:20:23 PM,0.44736843,,,,
54,11/19/10 09:20:24 PM,0.45614036,,,,
55,11/19/10 09:20:53 PM,0.46491229,,,,
56,11/19/10 09:21:26 PM,0.47368422,,,,
57,11/19/10 09:22:09 PM,0.48245615,,,,
58,11/19/10 09:22:44 PM,0.49122808,,,,
59,11/19/10 09:24:54 PM,0.50000001,,,,
60,11/19/10 09:28:27 PM,0.50877194,,,,
61,11/19/10 09:35:02 PM,0.51754387,,,,
62,11/19/10 09:43:29 PM,0.52631580,,,,
63,11/19/10 09:46:58 PM,0.53508773,,,,
64,11/19/10 09:51:20 PM,0.54385966,,,,
65,11/19/10 09:56:27 PM,0.55263159,,,,
66,11/19/10 09:56:28 PM,0.56140352,,,,
67,11/19/10 10:01:17 PM,0.57017545,,,,
68,11/19/10 10:04:04 PM,0.57894738,,,,
69,11/19/10 10:05:13 PM,0.58771931,,,,
70,11/19/10 10:08:53 PM,0.59649124,,,,
71,11/19/10 10:11:42 PM,0.60526317,,,,
72,11/19/10 10:20:54 PM,0.61403510,,,,
73,11/19/10 10:25:18 PM,0.62280703,,,,
74,11/19/10 10:27:28 PM,0.63157896,,,,
75,11/19/10 10:29:41 PM,0.64035089,,,,
76,11/19/10 10:32:29 PM,0.64912282,,,,
77,11/19/10 10:34:56 PM,0.65789475,,,,
78,11/19/10 10:37:52 PM,0.66666668,,,,
79,11/19/10 10:39:51 PM,0.67543861,,,,
80,11/19/10 10:44:08 PM,0.68421054,,,,
81,11/19/10 10:47:04 PM,0.69298247,,,,
82,11/19/10 10:49:59 PM,0.70175440,,,,
83,11/19/10 10:52:11 PM,0.71052633,,,,
84,11/19/10 10:56:46 PM,0.71929826,,,,
85,11/19/10 10:59:37 PM,0.72807019,,,,
86,11/19/10 11:01:44 PM,0.73684212,,,,
87,11/19/10 11:03:52 PM,0.74561405,,,,
88,11/19/10 11:07:09 PM,0.75438598,,,,
89,11/19/10 11:07:10 PM,0.76315791,,,,
90,11/19/10 11:10:46 PM,0.77192984,,,,
91,11/19/10 11:15:08 PM,0.78070177,,,,
92,11/19/10 11:18:25 PM,0.78947370,,,,
93,11/19/10 11:21:38 PM,0.79824563,,,,
94,11/19/10 11:21:39 PM,0.80701756,,,,
95,11/19/10 11:24:26 PM,0.81578949,,,,
96,11/19/10 11:24:27 PM,0.82456142,,,,
97,11/19/10 11:28:30 PM,0.83333335,,,,
98,11/19/10 11:32:41 PM,0.84210528,,,,
99,11/19/10 11:41:44 PM,0.85087721,,,,
100,11/19/10 11:48:24 PM,0.85964914,,,,
101,11/19/10 11:55:13 PM,0.86842107,,,,
102,11/20/10 12:00:18 AM,0.87719300,,,,
103,11/20/10 12:05:29 AM,0.88596493,,,,
104,11/20/10 12:10:49 AM,0.89473686,,,,
105,11/20/10 12:17:09 AM,0.90350879,,,,
106,11/20/10 12:22:42 AM,0.91228072,,,,
107,11/20/10 12:28:01 AM,0.92105265,,,,
108,11/20/10 12:31:16 AM,0.92982458,,,,
109,11/20/10 12:35:21 AM,0.93859651,,,,
110,11/20/10 12:35:22 AM,0.94736844,,,,
111,11/20/10 12:37:52 AM,0.95614037,,,,
112,11/20/10 12:42:19 AM,0.96491230,,,,
113,11/20/10 12:45:11 AM,0.97368423,,,,
114,11/20/10 12:49:28 AM,0.98245616,,,,
115,11/20/10 12:53:17 AM,0.99122809,,,,
116,11/20/10 12:58:11 AM,1.00000002,,,,
117,11/20/10 01:03:37 AM,1.00877195,,,,
118,11/20/10 01:12:05 AM,1.01754388,,,,
119,11/20/10 01:18:31 AM,1.02631581,,,,
120,11/20/10 01:24:21 AM,1.03508774,,,,
121,11/20/10 01:27:52 AM,1.04385967,,,,
122,11/20/10 01:32:22 AM,1.05263160,,,,
123,11/20/10 01:36:58 AM,1.06140353,,,,
124,11/20/10 01:46:10 AM,1.07017546,,,,
125,11/20/10 03:18:46 AM,1.07894739,,,,
126,11/20/10 10:45:12 AM,1.08771932,,,,
127,11/20/10 10:45:13 AM,1.09649125,,,,
128,11/20/10 10:52:38 AM,1.10526318,,,,
129,11/20/10 10:57:28 AM,1.11403511,,,,
130,11/20/10 11:01:31 AM,1.12280704,,,,
131,11/20/10 11:05:12 AM,1.13157897,,,,
132,11/20/10 11:07:28 AM,1.14035090,,,,
133,11/20/10 11:10:41 AM,1.14912283,,,,
134,11/20/10 11:13:08 AM,1.15789476,,,,
135,11/20/10 11:23:37 AM,1.16666669,,,,
136,11/20/10 11:27:48 AM,1.17543862,,,,
137,11/20/10 11:32:07 AM,1.18421055,,,,
