"Plot Title: Landing"
"#","Date Time, GMT-07:00","rainfall, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,06/07/11 01:58:49 PM,0.00000000,,,
2,06/07/11 01:58:54 PM,,Logged,,
3,06/28/11 01:02:22 PM,0.00877193,,,
4,06/28/11 01:18:09 PM,0.01754386,,,
5,06/28/11 01:27:32 PM,0.02631579,,,
6,06/28/11 01:31:53 PM,0.03508772,,,
7,06/28/11 01:34:23 PM,0.04385965,,,
8,06/28/11 01:34:24 PM,0.05263158,,,
9,06/28/11 01:38:00 PM,0.06140351,,,
10,06/28/11 01:38:01 PM,0.07017544,,,
11,06/28/11 01:42:39 PM,0.07894737,,,
12,06/28/11 01:46:42 PM,0.08771930,,,
13,06/28/11 01:50:15 PM,0.09649123,,,
14,06/28/11 01:52:43 PM,0.10526316,,,
15,06/28/11 01:55:49 PM,0.11403509,,,
16,06/28/11 01:58:14 PM,0.12280702,,,
17,06/28/11 02:01:01 PM,0.13157895,,,
18,06/28/11 02:03:34 PM,0.14035088,,,
19,06/28/11 02:06:37 PM,0.14912281,,,
20,06/28/11 02:09:17 PM,0.15789474,,,
21,06/28/11 02:12:32 PM,0.16666667,,,
22,06/28/11 02:15:25 PM,0.17543860,,,
23,06/28/11 02:19:00 PM,0.18421053,,,
24,06/28/11 02:22:05 PM,0.19298246,,,
25,06/28/11 02:25:44 PM,0.20175439,,,
26,06/28/11 02:25:45 PM,0.21052632,,,
27,06/28/11 02:29:03 PM,0.21929825,,,
28,06/28/11 02:29:04 PM,0.22807018,,,
29,06/28/11 02:33:01 PM,0.23684211,,,
30,06/28/11 02:36:32 PM,0.24561404,,,
31,06/28/11 02:40:38 PM,0.25438597,,,
32,06/28/11 02:44:07 PM,0.26315790,,,
33,06/28/11 02:48:19 PM,0.27192983,,,
34,06/28/11 02:51:50 PM,0.28070176,,,
35,06/28/11 02:55:56 PM,0.28947369,,,
36,06/28/11 02:59:23 PM,0.29824562,,,
37,06/28/11 03:03:36 PM,0.30701755,,,
38,06/28/11 03:07:26 PM,0.31578948,,,
39,06/28/11 03:11:46 PM,0.32456141,,,
40,06/28/11 03:11:47 PM,0.33333334,,,
41,06/28/11 03:15:30 PM,0.34210527,,,
42,06/28/11 03:20:08 PM,0.35087720,,,
43,06/28/11 03:24:08 PM,0.35964913,,,
44,06/28/11 03:28:04 PM,0.35964913,,Logged,Logged
