"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,12/17/12 03:04:11 PM,0.00,,,,
2,12/17/12 03:04:36 PM,,Logged,,,
3,12/21/12 10:58:03 AM,0.01,,,,
4,12/21/12 11:07:45 AM,0.02,,,,
5,12/21/12 11:16:38 AM,0.03,,,,
6,12/21/12 11:16:39 AM,0.04,,,,
7,12/21/12 11:19:32 AM,0.05,,,,
8,12/21/12 11:19:33 AM,0.06,,,,
9,12/21/12 11:25:32 AM,0.07,,,,
10,12/21/12 11:37:24 AM,0.08,,,,
11,12/21/12 11:37:25 AM,0.09,,,,
12,12/21/12 11:43:32 AM,0.10,,,,
13,12/21/12 11:47:19 AM,0.11,,,,
14,12/21/12 11:50:10 AM,0.12,,,,
15,12/21/12 11:53:20 AM,0.13,,,,
16,12/21/12 11:56:27 AM,0.14,,,,
17,12/21/12 11:58:41 AM,0.15,,,,
18,12/21/12 12:02:44 PM,0.16,,,,
19,12/21/12 12:11:15 PM,0.17,,,,
20,12/21/12 12:20:56 PM,0.18,,,,
21,12/21/12 12:42:24 PM,0.19,,,,
22,12/21/12 12:42:25 PM,0.20,,,,
23,12/21/12 12:51:42 PM,0.21,,,,
24,12/21/12 12:51:43 PM,0.22,,,,
25,12/21/12 12:53:03 PM,0.23,,,,
26,12/21/12 12:54:16 PM,0.24,,,,
27,12/21/12 12:56:12 PM,0.25,,,,
28,12/21/12 01:03:41 PM,0.26,,,,
29,12/21/12 01:06:16 PM,0.27,,,,
30,12/21/12 01:11:05 PM,0.28,,,,
31,12/21/12 01:16:14 PM,0.29,,,,
32,12/21/12 01:20:27 PM,0.30,,,,
33,12/21/12 01:23:37 PM,0.31,,,,
34,12/21/12 01:49:13 PM,0.32,,,,
35,12/21/12 01:52:48 PM,0.33,,,,
36,12/21/12 01:54:09 PM,0.34,,,,
37,12/21/12 01:55:35 PM,0.35,,,,
38,12/21/12 01:58:06 PM,0.36,,,,
39,12/21/12 02:01:50 PM,0.37,,,,
40,12/21/12 02:04:50 PM,0.38,,,,
41,12/21/12 02:08:29 PM,0.39,,,,
42,12/21/12 02:11:04 PM,0.40,,,,
43,12/21/12 02:14:37 PM,0.41,,,,
44,12/21/12 02:17:51 PM,0.42,,,,
45,12/21/12 02:22:58 PM,0.43,,,,
46,12/21/12 02:27:07 PM,0.44,,,,
47,12/21/12 02:30:42 PM,0.45,,,,
48,12/21/12 02:34:24 PM,0.46,,,,
49,12/21/12 02:37:37 PM,0.47,,,,
50,12/21/12 02:40:34 PM,0.48,,,,
51,12/21/12 02:42:31 PM,0.49,,,,
52,12/21/12 02:42:32 PM,0.50,,,,
53,12/21/12 02:44:53 PM,0.51,,,,
54,12/21/12 02:52:09 PM,0.52,,,,
55,12/21/12 03:31:46 PM,0.53,,,,
56,12/21/12 03:31:47 PM,0.54,,,,
57,12/21/12 04:36:24 PM,0.55,,,,
58,12/21/12 04:52:30 PM,0.56,,,,
59,12/21/12 05:00:54 PM,0.57,,,,
60,12/21/12 05:20:20 PM,0.58,,,,
61,12/21/12 05:30:01 PM,0.59,,,,
62,12/21/12 05:40:34 PM,0.60,,,,
63,12/21/12 06:18:22 PM,0.61,,,,
64,12/21/12 06:41:59 PM,0.62,,,,
65,12/21/12 06:48:28 PM,0.63,,,,
66,12/21/12 06:58:05 PM,0.64,,,,
67,12/21/12 07:20:15 PM,0.65,,,,
68,12/21/12 07:36:13 PM,0.66,,,,
69,12/21/12 07:48:50 PM,0.67,,,,
70,12/21/12 08:32:36 PM,0.68,,,,
71,12/21/12 08:42:50 PM,0.69,,,,
72,12/21/12 08:44:31 PM,0.70,,,,
73,12/21/12 08:44:32 PM,0.71,,,,
74,12/21/12 08:46:02 PM,0.72,,,,
75,12/21/12 08:49:51 PM,0.73,,,,
76,12/21/12 09:01:42 PM,0.74,,,,
77,12/21/12 09:36:01 PM,0.75,,,,
78,12/21/12 10:27:49 PM,0.76,,,,
79,12/21/12 11:13:10 PM,0.77,,,,
80,12/21/12 11:13:11 PM,0.78,,,,
81,12/21/12 11:43:47 PM,0.79,,,,
82,12/22/12 01:49:01 AM,0.80,,,,
83,12/22/12 02:36:12 AM,0.81,,,,
84,12/22/12 06:49:03 AM,0.82,,,,
85,12/22/12 06:51:20 AM,0.83,,,,
86,12/22/12 06:53:32 AM,0.84,,,,
87,12/22/12 06:54:27 AM,0.85,,,,
88,12/22/12 06:55:23 AM,0.86,,,,
89,12/22/12 06:56:27 AM,0.87,,,,
90,12/22/12 06:57:19 AM,0.88,,,,
91,12/22/12 06:58:20 AM,0.89,,,,
92,12/22/12 06:59:43 AM,0.90,,,,
93,12/22/12 07:01:06 AM,0.91,,,,
94,12/22/12 07:02:07 AM,0.92,,,,
95,12/22/12 07:02:59 AM,0.93,,,,
96,12/22/12 07:03:00 AM,0.94,,,,
97,12/22/12 07:04:08 AM,0.95,,,,
98,12/22/12 07:05:02 AM,0.96,,,,
99,12/22/12 07:05:03 AM,0.97,,,,
100,12/22/12 07:05:45 AM,0.98,,,,
101,12/22/12 07:06:13 AM,0.99,,,,
102,12/22/12 07:06:37 AM,1.00,,,,
103,12/22/12 07:06:38 AM,1.01,,,,
104,12/22/12 07:07:03 AM,1.02,,,,
105,12/22/12 07:07:04 AM,1.03,,,,
106,12/22/12 07:07:31 AM,1.04,,,,
107,12/22/12 07:07:49 AM,1.05,,,,
108,12/22/12 07:08:13 AM,1.06,,,,
109,12/22/12 07:08:34 AM,1.07,,,,
110,12/22/12 07:08:35 AM,1.08,,,,
111,12/22/12 07:08:56 AM,1.09,,,,
112,12/22/12 07:09:16 AM,1.10,,,,
113,12/22/12 07:09:31 AM,1.11,,,,
114,12/22/12 07:09:32 AM,1.12,,,,
115,12/22/12 07:09:52 AM,1.13,,,,
116,12/22/12 07:10:20 AM,1.14,,,,
117,12/22/12 07:10:21 AM,1.15,,,,
118,12/22/12 07:10:42 AM,1.16,,,,
119,12/22/12 07:11:40 AM,1.17,,,,
120,12/22/12 07:16:33 AM,1.18,,,,
121,12/22/12 07:47:51 AM,1.19,,,,
122,12/22/12 08:18:36 AM,1.20,,,,
123,12/22/12 09:30:26 AM,1.21,,,,
124,12/22/12 09:30:41 AM,1.22,,,,
125,12/22/12 09:30:51 AM,1.23,,,,
126,12/22/12 09:31:02 AM,1.24,,,,
127,12/22/12 09:31:26 AM,1.25,,,,
128,12/22/12 09:32:03 AM,1.26,,,,
129,12/22/12 09:33:41 AM,1.27,,,,
130,12/22/12 09:33:42 AM,1.28,,,,
131,12/22/12 09:34:20 AM,1.29,,,,
132,12/22/12 09:34:47 AM,1.30,,,,
133,12/22/12 09:35:35 AM,1.31,,,,
134,12/22/12 09:37:52 AM,1.32,,,,
135,12/22/12 09:42:56 AM,1.33,,,,
136,12/22/12 09:49:32 AM,1.34,,,,
137,12/22/12 09:53:57 AM,1.35,,,,
138,12/22/12 09:58:07 AM,1.36,,,,
139,12/22/12 10:01:32 AM,1.37,,,,
140,12/22/12 10:01:33 AM,1.38,,,,
141,12/22/12 10:05:29 AM,1.39,,,,
