"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,05/05/14 02:54:50 PM,0.00,,,
2,05/05/14 02:54:57 PM,,Logged,,
3,05/08/14 07:13:15 PM,0.01,,,
4,05/08/14 07:26:15 PM,0.02,,,
5,05/08/14 07:38:43 PM,0.03,,,
6,05/08/14 08:08:40 PM,0.04,,,
7,05/08/14 08:16:04 PM,0.05,,,
8,05/08/14 08:29:20 PM,0.06,,,
9,05/08/14 08:38:29 PM,0.07,,,
10,05/08/14 09:03:15 PM,0.08,,,
11,05/08/14 09:15:20 PM,0.09,,,
12,05/08/14 09:21:35 PM,0.10,,,
13,05/08/14 09:25:03 PM,0.11,,,
14,05/08/14 09:41:12 PM,0.12,,,
15,05/08/14 09:50:59 PM,0.13,,,
16,05/08/14 10:06:44 PM,0.14,,,
17,05/08/14 11:44:07 PM,0.15,,,
18,05/09/14 01:45:57 AM,0.16,,,
19,06/03/14 04:35:34 AM,0.17,,,
20,06/04/14 10:13:44 AM,0.17,,Logged,Logged
