"Plot Title: RLNF"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Attached (LGR S/N: 10592085, SEN S/N: 10592085)","End Of File (LGR S/N: 10592085, SEN S/N: 10592085)"
1,12/23/14 11:00:31 AM,0.00,,
2,12/24/14 03:48:16 PM,0.01,,
3,12/24/14 03:51:17 PM,0.02,,
4,12/24/14 03:51:18 PM,0.03,,
5,12/24/14 03:52:12 PM,0.04,,
6,12/24/14 03:53:01 PM,0.05,,
7,12/24/14 03:54:04 PM,0.06,,
8,12/24/14 03:58:38 PM,0.07,,
9,12/24/14 04:16:06 PM,0.08,,
10,12/24/14 04:28:09 PM,0.09,,
11,12/24/14 04:48:07 PM,0.10,,
12,12/31/14 11:46:10 AM,0.10,Logged,Logged
