"Plot Title: RLNF"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Detached (LGR S/N: 10592085, SEN S/N: 10592085)","Coupler Attached (LGR S/N: 10592085, SEN S/N: 10592085)","Stopped (LGR S/N: 10592085, SEN S/N: 10592085)","End Of File (LGR S/N: 10592085, SEN S/N: 10592085)"
1,02/11/15 11:48:31 AM,0.00,,,,
2,02/11/15 11:50:23 AM,,Logged,,,
3,02/28/15 07:35:39 AM,0.01,,,,
4,02/28/15 07:36:57 AM,0.02,,,,
5,02/28/15 08:10:20 AM,0.03,,,,
6,02/28/15 08:12:14 AM,0.04,,,,
7,02/28/15 08:13:45 AM,0.05,,,,
8,02/28/15 08:14:52 AM,0.06,,,,
9,02/28/15 08:17:21 AM,0.07,,,,
10,02/28/15 08:19:02 AM,0.08,,,,
11,02/28/15 08:23:38 AM,0.09,,,,
12,02/28/15 08:40:27 AM,0.10,,,,
13,02/28/15 08:47:26 AM,0.11,,,,
14,02/28/15 08:47:27 AM,0.12,,,,
15,02/28/15 08:49:32 AM,0.13,,,,
16,02/28/15 08:51:39 AM,0.14,,,,
17,02/28/15 08:51:40 AM,0.15,,,,
18,02/28/15 09:01:34 AM,0.16,,,,
19,02/28/15 11:45:18 AM,0.17,,,,
20,02/28/15 12:30:24 PM,0.18,,,,
21,02/28/15 12:35:23 PM,0.19,,,,
22,02/28/15 12:39:25 PM,0.20,,,,
23,02/28/15 12:51:57 PM,0.21,,,,
24,02/28/15 02:24:39 PM,0.22,,,,
25,02/28/15 02:27:50 PM,0.23,,,,
26,02/28/15 02:27:51 PM,0.24,,,,
27,02/28/15 02:31:08 PM,0.25,,,,
28,02/28/15 02:33:48 PM,0.26,,,,
29,02/28/15 02:33:49 PM,0.27,,,,
30,02/28/15 02:35:10 PM,0.28,,,,
31,02/28/15 02:36:09 PM,0.29,,,,
32,02/28/15 02:37:03 PM,0.30,,,,
33,02/28/15 02:38:10 PM,0.31,,,,
34,02/28/15 02:39:17 PM,0.32,,,,
35,02/28/15 02:40:18 PM,0.33,,,,
36,02/28/15 02:41:25 PM,0.34,,,,
37,02/28/15 02:42:33 PM,0.35,,,,
38,02/28/15 02:43:47 PM,0.36,,,,
39,02/28/15 02:47:59 PM,0.37,,,,
40,02/28/15 02:52:20 PM,0.38,,,,
41,02/28/15 02:54:25 PM,0.39,,,,
42,02/28/15 02:54:26 PM,0.40,,,,
43,02/28/15 02:56:56 PM,0.41,,,,
44,02/28/15 02:58:40 PM,0.42,,,,
45,02/28/15 02:58:41 PM,0.43,,,,
46,02/28/15 03:00:42 PM,0.44,,,,
47,02/28/15 03:02:35 PM,0.45,,,,
48,02/28/15 03:04:20 PM,0.46,,,,
49,02/28/15 03:05:49 PM,0.47,,,,
50,02/28/15 03:06:50 PM,0.48,,,,
51,02/28/15 03:08:02 PM,0.49,,,,
52,02/28/15 03:08:43 PM,0.50,,,,
53,02/28/15 03:09:27 PM,0.51,,,,
54,02/28/15 03:09:28 PM,0.52,,,,
55,02/28/15 03:10:36 PM,0.53,,,,
56,02/28/15 06:00:15 PM,0.54,,,,
57,02/28/15 06:19:07 PM,0.55,,,,
58,02/28/15 06:32:02 PM,0.56,,,,
59,03/01/15 01:22:33 AM,0.57,,,,
60,03/11/15 02:54:12 AM,0.58,,,,
61,03/11/15 04:20:09 AM,0.59,,,,
62,03/11/15 04:44:33 AM,0.60,,,,
63,03/11/15 04:44:34 AM,0.61,,,,
64,03/11/15 05:24:47 AM,0.62,,,,
65,03/11/15 06:23:56 AM,0.63,,,,
66,03/11/15 06:35:57 AM,0.64,,,,
67,03/11/15 06:35:58 AM,0.65,,,,
68,03/11/15 06:49:12 AM,0.66,,,,
69,03/11/15 06:56:20 AM,0.67,,,,
70,03/11/15 07:07:03 AM,0.68,,,,
71,03/11/15 07:07:04 AM,0.69,,,,
72,03/11/15 07:15:54 AM,0.70,,,,
73,03/11/15 07:15:55 AM,0.71,,,,
74,03/11/15 07:25:59 AM,0.72,,,,
75,03/11/15 09:54:01 AM,0.73,,,,
76,03/22/15 08:10:05 AM,0.74,,,,
77,03/22/15 08:13:18 AM,0.75,,,,
78,03/22/15 08:17:32 AM,0.76,,,,
79,03/22/15 08:26:14 AM,0.77,,,,
80,03/22/15 08:26:15 AM,0.78,,,,
81,03/22/15 08:32:33 AM,0.79,,,,
82,03/22/15 08:32:34 AM,0.80,,,,
83,03/22/15 08:34:32 AM,0.81,,,,
84,03/22/15 08:37:39 AM,0.82,,,,
85,03/22/15 08:37:40 AM,0.83,,,,
86,03/22/15 08:43:39 AM,0.84,,,,
87,03/22/15 08:53:07 AM,0.85,,,,
88,03/22/15 09:09:50 AM,0.86,,,,
89,03/22/15 09:16:50 AM,0.87,,,,
90,03/22/15 09:21:52 AM,0.88,,,,
91,03/22/15 09:21:53 AM,0.89,,,,
92,03/22/15 09:41:21 AM,0.90,,,,
93,03/22/15 10:52:25 PM,0.91,,,,
94,03/22/15 10:56:20 PM,0.92,,,,
95,03/22/15 10:56:21 PM,0.93,,,,
