"Plot Title: RLSF"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592086, SEN S/N: 10592086, LBL: RLSF)","Coupler Attached (LGR S/N: 10592086, SEN S/N: 10592086)","Stopped (LGR S/N: 10592086, SEN S/N: 10592086)","End Of File (LGR S/N: 10592086, SEN S/N: 10592086)"
1,03/25/15 09:45:00 AM,0.00,,,
2,04/05/15 08:49:57 AM,1.00,,,
3,04/05/15 08:53:18 AM,2.00,,,
4,04/05/15 08:58:27 AM,3.00,,,
5,04/05/15 09:01:18 AM,4.00,,,
6,04/05/15 09:01:19 AM,5.00,,,
7,04/05/15 09:03:16 AM,6.00,,,
8,04/05/15 09:06:12 AM,7.00,,,
9,04/06/15 12:03:27 PM,8.00,,,
10,04/07/15 01:23:42 AM,9.00,,,
11,04/07/15 01:41:07 AM,10.00,,,
12,04/07/15 01:50:51 AM,11.00,,,
13,04/07/15 02:03:27 AM,12.00,,,
14,04/07/15 02:09:13 AM,13.00,,,
15,04/07/15 02:13:33 AM,14.00,,,
16,04/07/15 02:16:16 AM,15.00,,,
17,04/07/15 02:19:43 AM,16.00,,,
18,04/07/15 02:22:35 AM,17.00,,,
19,04/07/15 02:25:35 AM,18.00,,,
20,04/07/15 02:28:11 AM,19.00,,,
21,04/07/15 02:30:52 AM,20.00,,,
22,04/07/15 02:32:43 AM,21.00,,,
23,04/07/15 02:35:47 AM,22.00,,,
24,04/07/15 02:38:31 AM,23.00,,,
25,04/07/15 02:41:08 AM,24.00,,,
26,04/07/15 02:44:17 AM,25.00,,,
27,04/07/15 02:45:44 AM,26.00,,,
28,04/07/15 02:47:11 AM,27.00,,,
29,04/07/15 02:47:12 AM,28.00,,,
30,04/07/15 02:48:21 AM,29.00,,,
31,04/07/15 02:50:32 AM,30.00,,,
32,04/07/15 02:54:00 AM,31.00,,,
33,04/07/15 02:56:03 AM,32.00,,,
34,04/07/15 02:58:46 AM,33.00,,,
35,04/07/15 03:00:44 AM,34.00,,,
36,04/07/15 03:02:21 AM,35.00,,,
37,04/07/15 03:04:42 AM,36.00,,,
38,04/07/15 03:06:03 AM,37.00,,,
39,04/07/15 03:07:27 AM,38.00,,,
40,04/07/15 03:09:42 AM,39.00,,,
41,04/07/15 03:11:16 AM,40.00,,,
42,04/07/15 03:12:54 AM,41.00,,,
43,04/07/15 03:14:18 AM,42.00,,,
44,04/07/15 03:16:17 AM,43.00,,,
45,04/07/15 03:19:00 AM,44.00,,,
46,04/07/15 03:21:25 AM,45.00,,,
47,04/07/15 03:22:30 AM,46.00,,,
48,04/07/15 03:23:25 AM,47.00,,,
49,04/07/15 03:24:12 AM,48.00,,,
50,04/07/15 03:25:31 AM,49.00,,,
51,04/07/15 03:27:27 AM,50.00,,,
52,04/07/15 03:32:23 AM,51.00,,,
53,04/07/15 03:35:04 AM,52.00,,,
54,04/07/15 03:35:05 AM,53.00,,,
55,04/07/15 03:42:09 AM,54.00,,,
56,04/07/15 03:45:56 AM,55.00,,,
57,04/07/15 03:49:21 AM,56.00,,,
58,04/07/15 03:51:40 AM,57.00,,,
59,04/07/15 03:51:41 AM,58.00,,,
60,04/07/15 03:54:10 AM,59.00,,,
61,04/07/15 03:55:07 AM,60.00,,,
62,04/07/15 03:58:26 AM,61.00,,,
63,04/07/15 04:02:19 AM,62.00,,,
64,04/07/15 04:04:28 AM,63.00,,,
65,04/07/15 04:05:41 AM,64.00,,,
66,04/07/15 04:06:41 AM,65.00,,,
67,04/07/15 04:07:34 AM,66.00,,,
68,04/07/15 04:09:38 AM,67.00,,,
69,04/07/15 04:11:39 AM,68.00,,,
70,04/07/15 04:12:27 AM,69.00,,,
71,04/07/15 04:13:55 AM,70.00,,,
72,04/07/15 04:15:50 AM,71.00,,,
73,04/07/15 04:17:03 AM,72.00,,,
74,04/07/15 04:18:37 AM,73.00,,,
75,04/07/15 04:21:33 AM,74.00,,,
76,04/07/15 04:23:51 AM,75.00,,,
77,04/07/15 04:26:22 AM,76.00,,,
78,04/07/15 04:28:56 AM,77.00,,,
79,04/07/15 04:30:23 AM,78.00,,,
80,04/07/15 04:30:24 AM,79.00,,,
81,04/07/15 04:31:56 AM,80.00,,,
82,04/07/15 04:32:55 AM,81.00,,,
83,04/07/15 04:33:27 AM,82.00,,,
84,04/07/15 04:34:06 AM,83.00,,,
85,04/07/15 04:34:07 AM,84.00,,,
86,04/07/15 04:35:37 AM,85.00,,,
87,04/07/15 04:37:49 AM,86.00,,,
88,04/07/15 04:38:55 AM,87.00,,,
89,04/07/15 04:39:47 AM,88.00,,,
90,04/07/15 04:41:15 AM,89.00,,,
91,04/07/15 04:42:28 AM,90.00,,,
92,04/07/15 04:43:10 AM,91.00,,,
93,04/07/15 04:45:13 AM,92.00,,,
94,04/07/15 04:48:11 AM,93.00,,,
95,04/07/15 04:58:54 AM,94.00,,,
96,04/07/15 06:58:22 AM,95.00,,,
97,04/08/15 04:30:18 AM,96.00,,,
98,04/08/15 04:43:23 AM,97.00,,,
99,04/20/15 04:55:41 AM,98.00,,,
100,04/21/15 05:57:32 AM,99.00,,,
101,04/21/15 10:08:58 AM,100.00,,,
102,04/21/15 11:40:10 PM,101.00,,,
103,04/22/15 12:19:01 AM,102.00,,,
104,04/22/15 01:52:37 AM,103.00,,,
105,04/22/15 04:10:02 AM,104.00,,,
106,04/22/15 11:34:54 PM,105.00,,,
