"Plot Title: RLSF"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592086, SEN S/N: 10592086, LBL: RLSF)","Coupler Detached (LGR S/N: 10592086, SEN S/N: 10592086)","Coupler Attached (LGR S/N: 10592086, SEN S/N: 10592086)","Host Connected (LGR S/N: 10592086, SEN S/N: 10592086)","End Of File (LGR S/N: 10592086, SEN S/N: 10592086)"
1,01/21/16 10:10:24 AM,0.00,,,,
2,01/21/16 10:10:44 AM,,Logged,,,
3,01/22/16 03:29:43 AM,0.01,,,,
4,01/22/16 03:34:07 AM,0.02,,,,
5,01/22/16 03:41:21 AM,0.03,,,,
6,01/22/16 03:47:50 AM,0.04,,,,
7,01/22/16 03:57:35 AM,0.05,,,,
8,01/22/16 04:03:35 AM,0.06,,,,
9,01/22/16 04:03:36 AM,0.07,,,,
10,01/22/16 04:10:26 AM,0.08,,,,
11,01/22/16 04:13:31 AM,0.09,,,,
12,01/22/16 04:13:32 AM,0.10,,,,
13,01/22/16 04:16:56 AM,0.11,,,,
14,01/22/16 04:19:21 AM,0.12,,,,
15,01/22/16 04:21:49 AM,0.13,,,,
16,01/22/16 04:23:38 AM,0.14,,,,
17,01/22/16 04:26:07 AM,0.15,,,,
18,01/22/16 04:27:58 AM,0.16,,,,
19,01/22/16 04:30:53 AM,0.17,,,,
20,01/22/16 04:33:10 AM,0.18,,,,
21,01/22/16 04:37:13 AM,0.19,,,,
22,01/22/16 04:39:46 AM,0.20,,,,
23,01/22/16 04:43:24 AM,0.21,,,,
24,01/22/16 04:45:36 AM,0.22,,,,
25,01/22/16 04:48:23 AM,0.23,,,,
26,01/22/16 04:50:05 AM,0.24,,,,
27,01/22/16 04:50:06 AM,0.25,,,,
28,01/22/16 04:53:36 AM,0.26,,,,
29,01/22/16 04:56:01 AM,0.27,,,,
30,01/22/16 04:58:55 AM,0.28,,,,
31,01/22/16 05:00:43 AM,0.29,,,,
32,01/22/16 05:02:58 AM,0.30,,,,
33,01/22/16 05:04:14 AM,0.31,,,,
34,01/22/16 05:06:51 AM,0.32,,,,
35,01/22/16 05:09:07 AM,0.33,,,,
36,01/22/16 05:11:44 AM,0.34,,,,
37,01/22/16 05:13:53 AM,0.35,,,,
38,01/22/16 05:16:28 AM,0.36,,,,
39,01/22/16 05:18:26 AM,0.37,,,,
40,01/22/16 05:20:52 AM,0.38,,,,
41,01/22/16 05:22:29 AM,0.39,,,,
42,01/22/16 05:24:40 AM,0.40,,,,
43,01/22/16 05:26:05 AM,0.41,,,,
44,01/22/16 05:28:10 AM,0.42,,,,
45,01/22/16 05:29:35 AM,0.43,,,,
46,01/22/16 05:31:36 AM,0.44,,,,
47,01/22/16 05:33:20 AM,0.45,,,,
48,01/22/16 05:35:27 AM,0.46,,,,
49,01/22/16 05:37:01 AM,0.47,,,,
50,01/22/16 05:38:59 AM,0.48,,,,
51,01/22/16 05:40:29 AM,0.49,,,,
52,01/22/16 05:42:33 AM,0.50,,,,
53,01/22/16 05:44:00 AM,0.51,,,,
54,01/22/16 05:45:51 AM,0.52,,,,
55,01/22/16 05:47:28 AM,0.53,,,,
56,01/22/16 05:47:29 AM,0.54,,,,
57,01/22/16 05:49:07 AM,0.55,,,,
58,01/22/16 05:50:23 AM,0.56,,,,
59,01/22/16 05:51:47 AM,0.57,,,,
60,01/22/16 05:53:01 AM,0.58,,,,
61,01/22/16 05:54:45 AM,0.59,,,,
62,01/22/16 05:55:59 AM,0.60,,,,
63,01/22/16 05:57:00 AM,0.61,,,,
64,01/22/16 05:57:55 AM,0.62,,,,
65,01/22/16 05:59:42 AM,0.63,,,,
66,01/22/16 06:00:58 AM,0.64,,,,
67,01/22/16 06:02:50 AM,0.65,,,,
68,01/22/16 06:03:47 AM,0.66,,,,
69,01/22/16 06:05:25 AM,0.67,,,,
70,01/22/16 06:06:18 AM,0.68,,,,
71,01/22/16 06:07:24 AM,0.69,,,,
72,01/22/16 06:07:54 AM,0.70,,,,
73,01/22/16 06:07:55 AM,0.71,,,,
74,01/22/16 06:08:42 AM,0.72,,,,
75,01/22/16 06:09:25 AM,0.73,,,,
76,01/22/16 06:09:26 AM,0.74,,,,
77,01/22/16 06:10:59 AM,0.75,,,,
78,01/22/16 06:12:15 AM,0.76,,,,
79,01/22/16 06:13:30 AM,0.77,,,,
80,01/22/16 06:14:15 AM,0.78,,,,
81,01/22/16 06:15:06 AM,0.79,,,,
82,01/22/16 06:15:37 AM,0.80,,,,
83,01/22/16 06:16:12 AM,0.81,,,,
84,01/22/16 06:16:58 AM,0.82,,,,
85,01/22/16 06:18:32 AM,0.83,,,,
86,01/22/16 06:19:26 AM,0.84,,,,
87,01/22/16 06:20:35 AM,0.85,,,,
88,01/22/16 06:22:05 AM,0.86,,,,
89,01/22/16 06:22:06 AM,0.87,,,,
90,01/22/16 06:23:54 AM,0.88,,,,
91,01/22/16 06:25:10 AM,0.89,,,,
92,01/22/16 06:27:33 AM,0.90,,,,
93,01/22/16 06:28:40 AM,0.91,,,,
94,01/22/16 06:30:59 AM,0.92,,,,
95,01/22/16 06:33:06 AM,0.93,,,,
96,01/22/16 06:33:07 AM,0.94,,,,
97,01/22/16 06:36:00 AM,0.95,,,,
98,01/22/16 06:37:53 AM,0.96,,,,
99,01/22/16 06:40:54 AM,0.97,,,,
100,01/22/16 06:43:23 AM,0.98,,,,
101,01/22/16 06:46:29 AM,0.99,,,,
102,01/22/16 06:48:04 AM,1.00,,,,
103,01/22/16 06:50:30 AM,1.01,,,,
104,01/22/16 06:51:55 AM,1.02,,,,
105,01/22/16 06:54:02 AM,1.03,,,,
106,01/22/16 06:55:34 AM,1.04,,,,
107,01/22/16 06:57:36 AM,1.05,,,,
108,01/22/16 06:59:26 AM,1.06,,,,
109,01/22/16 07:01:33 AM,1.07,,,,
110,01/22/16 07:02:33 AM,1.08,,,,
111,01/22/16 07:04:22 AM,1.09,,,,
112,01/22/16 07:06:02 AM,1.10,,,,
113,01/22/16 07:08:33 AM,1.11,,,,
114,01/22/16 07:10:38 AM,1.12,,,,
115,01/22/16 07:10:39 AM,1.13,,,,
116,01/22/16 07:13:43 AM,1.14,,,,
117,01/22/16 07:17:02 AM,1.15,,,,
118,01/22/16 07:21:02 AM,1.16,,,,
119,01/22/16 07:22:14 AM,1.17,,,,
120,01/22/16 07:24:42 AM,1.18,,,,
121,01/22/16 07:26:37 AM,1.19,,,,
122,01/22/16 07:29:28 AM,1.20,,,,
123,01/22/16 07:30:56 AM,1.21,,,,
124,01/22/16 07:34:10 AM,1.22,,,,
125,01/22/16 07:36:45 AM,1.23,,,,
126,01/22/16 07:40:13 AM,1.24,,,,
127,01/22/16 07:43:00 AM,1.25,,,,
128,01/22/16 07:46:39 AM,1.26,,,,
129,01/22/16 07:48:51 AM,1.27,,,,
130,01/22/16 07:48:52 AM,1.28,,,,
131,01/22/16 07:52:15 AM,1.29,,,,
132,01/22/16 07:55:37 AM,1.30,,,,
133,01/22/16 07:55:38 AM,1.31,,,,
134,01/22/16 07:58:53 AM,1.32,,,,
135,01/22/16 08:01:46 AM,1.33,,,,
136,01/22/16 08:01:47 AM,1.34,,,,
137,01/22/16 08:06:21 AM,1.35,,,,
138,01/22/16 08:09:04 AM,1.36,,,,
139,01/22/16 08:12:07 AM,1.37,,,,
140,01/22/16 08:14:41 AM,1.38,,,,
141,01/22/16 08:14:42 AM,1.39,,,,
142,01/22/16 08:17:23 AM,1.40,,,,
143,01/22/16 08:18:55 AM,1.41,,,,
144,01/22/16 08:21:33 AM,1.42,,,,
145,01/22/16 08:24:18 AM,1.43,,,,
146,01/22/16 08:24:19 AM,1.44,,,,
147,01/22/16 08:27:22 AM,1.45,,,,
148,01/22/16 08:29:11 AM,1.46,,,,
149,01/22/16 08:32:38 AM,1.47,,,,
150,01/22/16 08:35:01 AM,1.48,,,,
151,01/22/16 08:37:50 AM,1.49,,,,
152,01/22/16 08:39:45 AM,1.50,,,,
153,01/22/16 08:42:45 AM,1.51,,,,
154,01/22/16 08:45:34 AM,1.52,,,,
155,01/22/16 08:50:08 AM,1.53,,,,
156,01/22/16 08:52:11 AM,1.54,,,,
157,01/22/16 08:52:12 AM,1.55,,,,
158,01/22/16 08:55:08 AM,1.56,,,,
159,01/22/16 08:56:57 AM,1.57,,,,
160,01/22/16 08:56:58 AM,1.58,,,,
161,01/22/16 09:00:27 AM,1.59,,,,
162,01/22/16 09:03:24 AM,1.60,,,,
163,01/22/16 09:06:59 AM,1.61,,,,
164,01/22/16 09:08:58 AM,1.62,,,,
165,01/22/16 09:11:23 AM,1.63,,,,
166,01/22/16 09:13:49 AM,1.64,,,,
167,01/22/16 09:16:31 AM,1.65,,,,
168,01/22/16 09:18:13 AM,1.66,,,,
169,01/22/16 09:20:48 AM,1.67,,,,
170,01/22/16 09:23:13 AM,1.68,,,,
171,01/22/16 09:26:20 AM,1.69,,,,
172,01/22/16 09:28:14 AM,1.70,,,,
173,01/22/16 09:31:59 AM,1.71,,,,
174,01/22/16 09:35:36 AM,1.72,,,,
175,01/22/16 09:40:05 AM,1.73,,,,
176,01/22/16 09:42:32 AM,1.74,,,,
177,01/22/16 09:50:07 AM,1.75,,,,
178,01/22/16 10:06:16 AM,1.76,,,,
179,01/22/16 10:06:17 AM,1.77,,,,
180,01/22/16 10:18:57 AM,1.78,,,,
181,01/22/16 11:26:26 AM,1.79,,,,
182,01/22/16 11:30:23 AM,1.80,,,,
183,01/22/16 11:33:29 AM,1.81,,,,
184,01/22/16 11:33:30 AM,1.82,,,,
185,01/22/16 11:40:28 AM,1.83,,,,
186,01/22/16 11:46:42 AM,1.84,,,,
187,01/22/16 12:23:46 PM,1.85,,,,
188,01/22/16 12:35:12 PM,1.86,,,,
189,01/22/16 12:47:55 PM,1.87,,,,
190,01/22/16 12:49:48 PM,1.88,,,,
191,01/22/16 01:04:53 PM,1.89,,,,
192,01/22/16 01:51:09 PM,1.90,,,,
193,01/22/16 02:14:48 PM,1.91,,,,
194,01/22/16 02:15:19 PM,1.92,,,,
195,01/22/16 02:16:08 PM,1.93,,,,
196,01/22/16 02:16:43 PM,1.94,,,,
197,01/22/16 02:20:29 PM,1.95,,,,
198,01/22/16 02:33:01 PM,1.96,,,,
199,01/22/16 02:42:48 PM,1.97,,,,
200,01/22/16 02:45:23 PM,1.98,,,,
201,01/22/16 02:55:08 PM,1.99,,,,
202,01/22/16 03:12:31 PM,2.00,,,,
203,01/22/16 03:35:17 PM,2.01,,,,
204,01/22/16 03:36:09 PM,2.02,,,,
205,01/22/16 03:42:12 PM,2.03,,,,
206,01/22/16 03:48:01 PM,2.04,,,,
207,01/22/16 03:48:02 PM,2.05,,,,
208,01/22/16 04:43:24 PM,2.06,,,,
209,01/22/16 05:46:01 PM,2.07,,,,
210,01/22/16 05:46:02 PM,2.08,,,,
211,01/22/16 09:47:50 PM,2.09,,,,
212,01/22/16 09:51:45 PM,2.10,,,,
213,01/22/16 10:09:36 PM,2.11,,,,
214,01/22/16 10:11:50 PM,2.12,,,,
215,01/22/16 10:16:38 PM,2.13,,,,
216,01/22/16 10:17:15 PM,2.14,,,,
217,01/22/16 10:18:57 PM,2.15,,,,
218,01/22/16 10:21:28 PM,2.16,,,,
219,01/22/16 10:29:19 PM,2.17,,,,
220,01/22/16 10:49:06 PM,2.18,,,,
221,01/22/16 10:58:51 PM,2.19,,,,
222,01/22/16 11:50:11 PM,2.20,,,,
223,01/23/16 12:28:47 AM,2.21,,,,
224,01/23/16 12:31:45 AM,2.22,,,,
225,01/23/16 10:19:26 AM,2.23,,,,
226,01/23/16 01:45:56 PM,2.24,,,,
227,01/23/16 01:45:57 PM,2.25,,,,
228,01/23/16 03:03:32 PM,2.26,,,,
229,01/23/16 03:04:35 PM,2.27,,,,
230,01/23/16 03:16:41 PM,2.28,,,,
231,01/23/16 04:48:03 PM,2.29,,,,
232,01/23/16 06:27:35 PM,2.30,,,,
233,01/23/16 11:14:52 PM,2.31,,,,
234,01/24/16 05:40:46 AM,2.32,,,,
235,01/24/16 08:01:49 AM,2.33,,,,
236,01/28/16 11:48:48 AM,,,Logged,,
237,01/28/16 11:48:52 AM,,,,Logged,
238,01/28/16 11:49:09 AM,2.33,,,,Logged
