"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592084, SEN S/N: 10592084, LBL: RLSM)","Coupler Attached (LGR S/N: 10592084, SEN S/N: 10592084)","Stopped (LGR S/N: 10592084, SEN S/N: 10592084)","End Of File (LGR S/N: 10592084, SEN S/N: 10592084)"
1,02/11/15 01:46:17 PM,0.00,,,
2,02/17/15 05:08:54 AM,1.00,,,
3,02/20/15 04:03:07 AM,2.00,,,
4,02/28/15 05:17:37 AM,3.00,,,
5,02/28/15 07:03:27 AM,4.00,,,
6,02/28/15 07:08:46 AM,5.00,,,
7,02/28/15 07:09:40 AM,6.00,,,
8,02/28/15 07:11:47 AM,7.00,,,
9,02/28/15 07:14:43 AM,8.00,,,
10,02/28/15 07:17:49 AM,9.00,,,
11,02/28/15 07:27:49 AM,10.00,,,
12,02/28/15 07:42:37 AM,11.00,,,
13,02/28/15 07:45:46 AM,12.00,,,
14,02/28/15 07:48:04 AM,13.00,,,
15,02/28/15 07:54:10 AM,14.00,,,
16,02/28/15 10:53:52 AM,15.00,,,
17,02/28/15 11:30:24 AM,16.00,,,
18,02/28/15 11:31:27 AM,17.00,,,
19,02/28/15 11:32:05 AM,18.00,,,
20,02/28/15 11:33:12 AM,19.00,,,
21,02/28/15 11:34:19 AM,20.00,,,
22,02/28/15 11:41:51 AM,21.00,,,
23,02/28/15 01:18:55 PM,22.00,,,
24,02/28/15 01:26:00 PM,23.00,,,
25,02/28/15 01:28:57 PM,24.00,,,
26,02/28/15 01:30:33 PM,25.00,,,
27,02/28/15 01:31:30 PM,26.00,,,
28,02/28/15 01:33:06 PM,27.00,,,
29,02/28/15 01:35:06 PM,28.00,,,
30,02/28/15 01:36:32 PM,29.00,,,
31,02/28/15 01:38:47 PM,30.00,,,
32,02/28/15 01:41:39 PM,31.00,,,
33,02/28/15 01:43:37 PM,32.00,,,
34,02/28/15 01:45:35 PM,33.00,,,
35,02/28/15 01:48:00 PM,34.00,,,
36,02/28/15 01:50:04 PM,35.00,,,
37,02/28/15 01:55:56 PM,36.00,,,
38,02/28/15 01:59:23 PM,37.00,,,
39,02/28/15 02:01:45 PM,38.00,,,
40,02/28/15 02:03:35 PM,39.00,,,
41,02/28/15 02:05:05 PM,40.00,,,
42,02/28/15 02:11:04 PM,41.00,,,
43,02/28/15 02:18:25 PM,42.00,,,
44,02/28/15 05:18:00 PM,43.00,,,
45,02/28/15 05:28:34 PM,44.00,,,
46,02/28/15 05:34:08 PM,45.00,,,
47,03/02/15 10:12:41 AM,46.00,,,
48,03/11/15 03:01:41 AM,47.00,,,
49,03/11/15 03:51:53 AM,48.00,,,
50,03/11/15 04:51:50 AM,49.00,,,
51,03/11/15 05:31:17 AM,50.00,,,
52,03/11/15 05:45:41 AM,51.00,,,
53,03/11/15 05:55:23 AM,52.00,,,
54,03/11/15 06:05:52 AM,53.00,,,
55,03/11/15 06:18:00 AM,54.00,,,
56,03/11/15 06:33:33 AM,55.00,,,
57,03/22/15 06:49:28 AM,56.00,,,
58,03/22/15 07:10:19 AM,57.00,,,
59,03/22/15 07:24:48 AM,58.00,,,
60,03/22/15 07:34:08 AM,59.00,,,
61,03/22/15 07:39:58 AM,60.00,,,
62,03/22/15 08:00:02 AM,61.00,,,
63,03/22/15 08:18:52 AM,62.00,,,
64,03/22/15 08:37:37 AM,63.00,,,
65,03/22/15 09:53:27 PM,64.00,,,
66,03/22/15 09:55:48 PM,65.00,,,
67,03/22/15 09:58:37 PM,66.00,,,
68,03/22/15 10:01:23 PM,67.00,,,
69,03/22/15 10:09:26 PM,68.00,,,
70,03/22/15 10:26:33 PM,69.00,,,
71,03/22/15 10:35:13 PM,70.00,,,
72,03/22/15 10:37:08 PM,71.00,,,
73,03/22/15 10:40:10 PM,72.00,,,
74,03/22/15 10:42:23 PM,73.00,,,
75,03/22/15 10:46:55 PM,74.00,,,
76,03/22/15 10:56:05 PM,75.00,,,
77,03/22/15 10:58:08 PM,76.00,,,
78,03/22/15 10:59:35 PM,77.00,,,
79,03/22/15 11:14:22 PM,78.00,,,
80,03/22/15 11:56:28 PM,79.00,,,
81,03/23/15 04:23:33 AM,80.00,,,
82,03/23/15 09:47:58 AM,81.00,,,
83,03/25/15 10:47:17 AM,,Logged,,
84,03/25/15 10:47:22 AM,81.00,,Logged,Logged
