"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592079, SEN S/N: 10592079)","Event, units (LGR S/N: 10592079, SEN S/N: 10592079, LBL: RLSM)","Coupler Detached (LGR S/N: 10592079, SEN S/N: 10592079)","End Of File (LGR S/N: 10592079, SEN S/N: 10592079)"
1,12/11/17 10:42:57 AM,81.975,0.00,,
2,12/11/17 10:43:07 AM,,,Logged,
3,12/11/17 11:42:57 AM,107.258,,,
4,12/11/17 12:42:57 PM,104.128,,,
5,12/11/17 01:42:57 PM,96.555,,,
6,12/11/17 02:42:57 PM,78.800,,,
7,12/11/17 03:42:57 PM,70.308,,,
8,12/11/17 04:42:57 PM,62.940,,,
9,12/11/17 05:42:57 PM,60.195,,,
10,12/11/17 06:42:57 PM,59.680,,,
11,12/11/17 07:42:57 PM,60.368,,,
12,12/11/17 08:42:57 PM,58.303,,,
13,12/11/17 09:42:57 PM,58.993,,,
14,12/11/17 10:42:57 PM,57.785,,,
15,12/11/17 11:42:57 PM,58.993,,,
16,12/12/17 12:42:57 AM,58.820,,,
17,12/12/17 01:42:57 AM,58.303,,,
18,12/12/17 02:42:57 AM,57.441,,,
19,12/12/17 03:42:57 AM,54.495,,,
20,12/12/17 04:42:57 AM,52.401,,,
21,12/12/17 05:42:57 AM,59.164,,,
22,12/12/17 06:42:57 AM,59.508,,,
23,12/12/17 07:42:57 AM,60.368,,,
24,12/12/17 08:42:57 AM,64.825,,,
25,12/12/17 09:42:57 AM,78.800,,,
26,12/12/17 10:42:57 AM,103.104,,,
27,12/12/17 11:42:57 AM,108.536,,,
28,12/12/17 12:42:57 PM,102.290,,,
29,12/12/17 01:42:57 PM,95.976,,,
30,12/12/17 02:42:57 PM,80.911,,,
31,12/12/17 03:42:57 PM,70.480,,,
32,12/12/17 04:42:57 PM,61.398,,,
33,12/12/17 05:42:57 PM,57.785,,,
34,12/12/17 06:42:57 PM,57.268,,,
35,12/12/17 07:42:57 PM,56.404,,,
36,12/12/17 08:42:57 PM,55.364,,,
37,12/12/17 09:42:57 PM,53.449,,,
38,12/12/17 10:42:57 PM,49.937,,,
39,12/12/17 11:42:57 PM,50.466,,,
40,12/13/17 12:42:57 AM,52.401,,,
41,12/13/17 01:42:57 AM,53.623,,,
42,12/13/17 02:42:57 AM,52.925,,,
43,12/13/17 03:42:57 AM,48.517,,,
44,12/13/17 04:42:57 AM,52.750,,,
45,12/13/17 05:42:57 AM,50.819,,,
46,12/13/17 06:42:57 AM,54.147,,,
47,12/13/17 07:42:57 AM,56.230,,,
48,12/13/17 08:42:57 AM,62.425,,,
49,12/13/17 09:42:57 AM,74.446,,,
50,12/13/17 10:42:57 AM,98.897,,,
51,12/13/17 11:42:57 AM,103.104,,,
