"Plot Title: RLSM"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309218, SEN S/N: 20309218)","Event, units (LGR S/N: 20309218, SEN S/N: 20309218)","Coupler Attached (LGR S/N: 20309218, SEN S/N: 20309218)","Coupler Detached (LGR S/N: 20309218, SEN S/N: 20309218)","Host Connected (LGR S/N: 20309218, SEN S/N: 20309218)","End Of File (LGR S/N: 20309218, SEN S/N: 20309218)"
1,09/26/19 03:45:00 PM,74.791,0.00,,,,
2,09/26/19 04:00:00 PM,71.339,,,,,
3,09/26/19 04:15:00 PM,68.934,,,,,
4,09/26/19 04:30:00 PM,67.221,,,,,
5,09/26/19 04:45:00 PM,66.366,,,,,
6,09/26/19 05:00:00 PM,65.851,,,,,
7,09/26/19 05:15:00 PM,65.338,,,,,
8,09/26/19 05:30:00 PM,64.825,,,,,
9,09/26/19 05:45:00 PM,64.139,,,,,
10,09/26/19 06:00:00 PM,63.626,,,,,
11,09/26/19 06:15:00 PM,62.940,,,,,
12,09/26/19 06:30:00 PM,62.254,,,,,
13,09/26/19 06:45:00 PM,61.912,,,,,
14,09/26/19 07:00:00 PM,61.398,,,,,
15,09/26/19 07:15:00 PM,61.227,,,,,
16,09/26/19 07:30:00 PM,61.054,,,,,
17,09/26/19 07:45:00 PM,60.883,,,,,
18,09/26/19 08:00:00 PM,60.539,,,,,
19,09/26/19 08:15:00 PM,60.368,,,,,
20,09/26/19 08:30:00 PM,60.368,,,,,
21,09/26/19 08:45:00 PM,60.195,,,,,
22,09/26/19 09:00:00 PM,60.024,,,,,
23,09/26/19 09:15:00 PM,59.851,,,,,
24,09/26/19 09:30:00 PM,59.851,,,,,
25,09/26/19 09:45:00 PM,59.851,,,,,
26,09/26/19 10:00:00 PM,59.851,,,,,
27,09/26/19 10:15:00 PM,59.680,,,,,
28,09/26/19 10:30:00 PM,59.337,,,,,
29,09/26/19 10:45:00 PM,59.164,,,,,
30,09/26/19 11:00:00 PM,58.993,,,,,
31,09/26/19 11:15:00 PM,58.820,,,,,
32,09/26/19 11:30:00 PM,58.820,,,,,
33,09/26/19 11:45:00 PM,58.820,,,,,
34,09/27/19 12:00:00 AM,58.820,,,,,
35,09/27/19 12:15:00 AM,58.820,,,,,
36,09/27/19 12:30:00 AM,58.647,,,,,
37,09/27/19 12:45:00 AM,58.647,,,,,
38,09/27/19 01:00:00 AM,58.647,,,,,
39,09/27/19 01:15:00 AM,58.476,,,,,
40,09/27/19 01:30:00 AM,58.476,,,,,
41,09/27/19 01:45:00 AM,58.476,,,,,
42,09/27/19 02:00:00 AM,58.647,,,,,
43,09/27/19 02:15:00 AM,58.647,,,,,
44,09/27/19 02:30:00 AM,58.820,,,,,
45,09/27/19 02:45:00 AM,58.820,,,,,
46,09/27/19 03:00:00 AM,58.647,,,,,
47,09/27/19 03:15:00 AM,58.820,,,,,
48,09/27/19 03:30:00 AM,58.647,,,,,
49,09/27/19 03:45:00 AM,58.647,,,,,
50,09/27/19 04:00:00 AM,58.647,,,,,
51,09/27/19 04:15:00 AM,58.647,,,,,
52,09/27/19 04:30:00 AM,58.647,,,,,
