"Plot Title: Range"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Attached (LGR S/N: 20309219, SEN S/N: 20309219)","Host Connected (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Detached (LGR S/N: 20309219, SEN S/N: 20309219)","Stopped (LGR S/N: 20309219, SEN S/N: 20309219)","End Of File (LGR S/N: 20309219, SEN S/N: 20309219)"
1,04/30/19 12:00:00 PM,0.00,,,,,
2,05/06/19 02:17:06 AM,0.01,,,,,
3,05/06/19 11:22:07 AM,0.02,,,,,
4,05/06/19 04:32:08 PM,0.03,,,,,
5,05/06/19 07:28:53 PM,0.04,,,,,
6,05/06/19 07:49:47 PM,0.05,,,,,
7,05/07/19 05:55:02 AM,0.06,,,,,
8,05/09/19 05:17:45 AM,0.07,,,,,
9,05/15/19 07:05:59 AM,0.08,,,,,
10,05/15/19 07:20:31 AM,0.09,,,,,
11,05/15/19 07:27:00 AM,0.10,,,,,
12,05/15/19 07:37:08 AM,0.11,,,,,
13,05/15/19 07:42:27 AM,0.12,,,,,
14,05/15/19 07:51:38 AM,0.13,,,,,
15,05/15/19 08:23:28 AM,0.14,,,,,
16,05/15/19 08:53:47 AM,0.15,,,,,
17,05/15/19 09:03:54 AM,0.16,,,,,
18,05/15/19 09:12:21 AM,0.17,,,,,
19,05/15/19 09:44:17 AM,0.18,,,,,
20,05/15/19 09:55:08 AM,0.19,,,,,
21,05/15/19 10:18:29 AM,0.20,,,,,
22,05/15/19 10:27:38 AM,0.21,,,,,
23,05/15/19 10:35:35 AM,0.22,,,,,
24,05/15/19 10:41:33 AM,0.23,,,,,
25,05/15/19 10:48:35 AM,0.24,,,,,
26,05/15/19 10:54:53 AM,0.25,,,,,
27,05/15/19 11:21:29 AM,0.26,,,,,
28,05/15/19 05:55:45 PM,0.27,,,,,
29,05/15/19 06:06:20 PM,0.28,,,,,
30,05/15/19 06:10:42 PM,0.29,,,,,
31,05/15/19 06:15:03 PM,0.30,,,,,
32,05/15/19 06:20:16 PM,0.31,,,,,
33,05/15/19 06:26:54 PM,0.32,,,,,
34,05/15/19 06:34:06 PM,0.33,,,,,
35,05/15/19 06:45:13 PM,0.34,,,,,
36,05/15/19 07:07:01 PM,0.35,,,,,
37,05/15/19 07:39:47 PM,0.36,,,,,
38,05/15/19 07:42:39 PM,0.37,,,,,
39,05/15/19 07:45:04 PM,0.38,,,,,
40,05/15/19 07:47:02 PM,0.39,,,,,
41,05/15/19 07:54:39 PM,0.40,,,,,
42,05/15/19 08:36:38 PM,0.41,,,,,
43,05/15/19 08:46:58 PM,0.42,,,,,
44,05/15/19 08:58:37 PM,0.43,,,,,
45,05/15/19 09:07:55 PM,0.44,,,,,
