"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,03/02/19 12:00:00 PM,59.851,0.00,,,,,
2,03/02/19 12:30:00 PM,56.057,,,,,,
3,03/02/19 01:00:00 PM,55.537,,,,,,
4,03/02/19 01:30:00 PM,55.364,,,,,,
5,03/02/19 01:49:48 PM,,0.01,,,,,
6,03/02/19 02:00:00 PM,55.364,,,,,,
7,03/02/19 02:30:00 PM,55.537,,,,,,
8,03/02/19 03:00:00 PM,55.189,,,,,,
9,03/02/19 03:30:00 PM,55.017,,,,,,
10,03/02/19 04:00:00 PM,54.842,,,,,,
11,03/02/19 04:27:31 PM,,0.02,,,,,
12,03/02/19 04:30:00 PM,54.495,,,,,,
13,03/02/19 04:41:37 PM,,0.03,,,,,
14,03/02/19 04:55:58 PM,,0.04,,,,,
15,03/02/19 05:00:00 PM,54.322,,,,,,
16,03/02/19 05:21:08 PM,,0.05,,,,,
17,03/02/19 05:30:00 PM,54.322,,,,,,
18,03/02/19 05:35:38 PM,,0.06,,,,,
19,03/02/19 05:42:30 PM,,0.07,,,,,
20,03/02/19 05:52:43 PM,,0.08,,,,,
21,03/02/19 06:00:00 PM,53.973,,,,,,
22,03/02/19 06:01:55 PM,,0.09,,,,,
23,03/02/19 06:07:47 PM,,0.10,,,,,
24,03/02/19 06:12:30 PM,,0.11,,,,,
25,03/02/19 06:16:22 PM,,0.12,,,,,
26,03/02/19 06:21:59 PM,,0.13,,,,,
27,03/02/19 06:25:38 PM,,0.14,,,,,
28,03/02/19 06:30:00 PM,53.449,,,,,,
29,03/02/19 06:35:06 PM,,0.15,,,,,
30,03/02/19 07:00:00 PM,52.925,,,,,,
31,03/02/19 07:30:00 PM,52.750,,,,,,
32,03/02/19 08:00:00 PM,52.401,,,,,,
33,03/02/19 08:30:00 PM,52.050,,,,,,
34,03/02/19 09:00:00 PM,51.346,,,,,,
35,03/02/19 09:30:00 PM,51.172,,,,,,
36,03/02/19 10:00:00 PM,51.346,,,,,,
37,03/02/19 10:00:42 PM,,0.16,,,,,
38,03/02/19 10:30:00 PM,50.819,,,,,,
39,03/02/19 11:00:00 PM,50.290,,,,,,
40,03/02/19 11:30:00 PM,50.113,,,,,,
41,03/03/19 12:00:00 AM,49.759,,,,,,
42,03/03/19 12:30:00 AM,49.759,,,,,,
43,03/03/19 01:00:00 AM,50.113,,,,,,
44,03/03/19 01:30:00 AM,50.466,,,,,,
45,03/03/19 01:31:50 AM,,0.17,,,,,
46,03/03/19 02:00:00 AM,50.819,,,,,,
47,03/03/19 02:11:10 AM,,0.18,,,,,
48,03/03/19 02:30:00 AM,50.995,,,,,,
49,03/03/19 02:54:34 AM,,0.19,,,,,
50,03/03/19 03:00:00 AM,51.172,,,,,,
51,03/03/19 03:09:51 AM,,0.20,,,,,
52,03/03/19 03:30:00 AM,51.523,,,,,,
