"Plot Title: UNF"
"#","Date Time, GMT-08:00","Event, units (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","Coupler Detached (LGR S/N: 10592083, SEN S/N: 10592083)","Coupler Attached (LGR S/N: 10592083, SEN S/N: 10592083)","Host Connected (LGR S/N: 10592083, SEN S/N: 10592083)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
1,01/21/16 01:05:21 PM,0.00,,,,
2,01/21/16 01:05:28 PM,,Logged,,,
3,01/22/16 03:26:31 AM,0.01,,,,
4,01/22/16 03:36:38 AM,0.02,,,,
5,01/22/16 03:42:59 AM,0.03,,,,
6,01/22/16 03:52:49 AM,0.04,,,,
7,01/22/16 04:01:40 AM,0.05,,,,
8,01/22/16 04:05:42 AM,0.06,,,,
9,01/22/16 04:12:08 AM,0.07,,,,
10,01/22/16 04:16:20 AM,0.08,,,,
11,01/22/16 04:19:33 AM,0.09,,,,
12,01/22/16 04:22:25 AM,0.10,,,,
13,01/22/16 04:24:21 AM,0.11,,,,
14,01/22/16 04:27:05 AM,0.12,,,,
15,01/22/16 04:29:49 AM,0.13,,,,
16,01/22/16 04:33:40 AM,0.14,,,,
17,01/22/16 04:37:25 AM,0.15,,,,
18,01/22/16 04:41:19 AM,0.16,,,,
19,01/22/16 04:44:11 AM,0.17,,,,
20,01/22/16 04:47:31 AM,0.18,,,,
21,01/22/16 04:50:18 AM,0.19,,,,
22,01/22/16 04:52:44 AM,0.20,,,,
23,01/22/16 04:55:37 AM,0.21,,,,
24,01/22/16 04:58:51 AM,0.22,,,,
25,01/22/16 05:01:20 AM,0.23,,,,
26,01/22/16 05:03:44 AM,0.24,,,,
27,01/22/16 05:05:31 AM,0.25,,,,
28,01/22/16 05:08:04 AM,0.26,,,,
29,01/22/16 05:10:32 AM,0.27,,,,
30,01/22/16 05:12:22 AM,0.28,,,,
31,01/22/16 05:14:35 AM,0.29,,,,
32,01/22/16 05:17:43 AM,0.30,,,,
33,01/22/16 05:20:20 AM,0.31,,,,
34,01/22/16 05:22:39 AM,0.32,,,,
35,01/22/16 05:24:31 AM,0.33,,,,
36,01/22/16 05:26:31 AM,0.34,,,,
37,01/22/16 05:28:15 AM,0.35,,,,
38,01/22/16 05:30:03 AM,0.36,,,,
39,01/22/16 05:31:57 AM,0.37,,,,
40,01/22/16 05:34:09 AM,0.38,,,,
41,01/22/16 05:35:42 AM,0.39,,,,
42,01/22/16 05:37:31 AM,0.40,,,,
43,01/22/16 05:39:14 AM,0.41,,,,
44,01/22/16 05:41:29 AM,0.42,,,,
45,01/22/16 05:43:02 AM,0.43,,,,
46,01/22/16 05:44:57 AM,0.44,,,,
47,01/22/16 05:46:52 AM,0.45,,,,
48,01/22/16 05:48:43 AM,0.46,,,,
49,01/22/16 05:50:15 AM,0.47,,,,
50,01/22/16 05:52:02 AM,0.48,,,,
51,01/22/16 05:53:35 AM,0.49,,,,
52,01/22/16 05:55:18 AM,0.50,,,,
53,01/22/16 05:56:37 AM,0.51,,,,
54,01/22/16 05:58:04 AM,0.52,,,,
55,01/22/16 05:59:21 AM,0.53,,,,
56,01/22/16 06:00:40 AM,0.54,,,,
57,01/22/16 06:02:22 AM,0.55,,,,
58,01/22/16 06:03:37 AM,0.56,,,,
59,01/22/16 06:04:39 AM,0.57,,,,
60,01/22/16 06:05:44 AM,0.58,,,,
61,01/22/16 06:06:46 AM,0.59,,,,
62,01/22/16 06:08:01 AM,0.60,,,,
63,01/22/16 06:08:55 AM,0.61,,,,
64,01/22/16 06:10:17 AM,0.62,,,,
65,01/22/16 06:11:12 AM,0.63,,,,
66,01/22/16 06:12:27 AM,0.64,,,,
67,01/22/16 06:13:15 AM,0.65,,,,
68,01/22/16 06:13:49 AM,0.66,,,,
69,01/22/16 06:14:27 AM,0.67,,,,
70,01/22/16 06:15:20 AM,0.68,,,,
71,01/22/16 06:16:16 AM,0.69,,,,
72,01/22/16 06:17:23 AM,0.70,,,,
73,01/22/16 06:18:20 AM,0.71,,,,
74,01/22/16 06:19:39 AM,0.72,,,,
75,01/22/16 06:21:00 AM,0.73,,,,
76,01/22/16 06:22:30 AM,0.74,,,,
77,01/22/16 06:24:07 AM,0.75,,,,
78,01/22/16 06:25:52 AM,0.76,,,,
79,01/22/16 06:27:08 AM,0.77,,,,
80,01/22/16 06:28:58 AM,0.78,,,,
81,01/22/16 06:30:38 AM,0.79,,,,
82,01/22/16 06:32:54 AM,0.80,,,,
83,01/22/16 06:34:35 AM,0.81,,,,
84,01/22/16 06:35:51 AM,0.82,,,,
85,01/22/16 06:36:40 AM,0.83,,,,
86,01/22/16 06:37:51 AM,0.84,,,,
87,01/22/16 06:39:46 AM,0.85,,,,
88,01/22/16 06:42:43 AM,0.86,,,,
89,01/22/16 06:44:44 AM,0.87,,,,
90,01/22/16 06:47:34 AM,0.88,,,,
91,01/22/16 06:48:53 AM,0.89,,,,
92,01/22/16 06:50:56 AM,0.90,,,,
93,01/22/16 06:52:31 AM,0.91,,,,
94,01/22/16 06:54:18 AM,0.92,,,,
95,01/22/16 06:56:25 AM,0.93,,,,
96,01/22/16 06:58:08 AM,0.94,,,,
97,01/22/16 06:59:45 AM,0.95,,,,
98,01/22/16 07:00:49 AM,0.96,,,,
99,01/22/16 07:01:58 AM,0.97,,,,
100,01/22/16 07:03:48 AM,0.98,,,,
101,01/22/16 07:05:43 AM,0.99,,,,
102,01/22/16 07:08:11 AM,1.00,,,,
103,01/22/16 07:10:23 AM,1.01,,,,
104,01/22/16 07:13:37 AM,1.02,,,,
105,01/22/16 07:16:54 AM,1.03,,,,
106,01/22/16 07:21:23 AM,1.04,,,,
107,01/22/16 07:23:45 AM,1.05,,,,
108,01/22/16 07:26:49 AM,1.06,,,,
109,01/22/16 07:29:18 AM,1.07,,,,
110,01/22/16 07:31:55 AM,1.08,,,,
111,01/22/16 07:34:41 AM,1.09,,,,
112,01/22/16 07:38:55 AM,1.10,,,,
113,01/22/16 07:41:32 AM,1.11,,,,
114,01/22/16 07:44:43 AM,1.12,,,,
115,01/22/16 07:47:51 AM,1.13,,,,
116,01/22/16 07:51:00 AM,1.14,,,,
117,01/22/16 07:53:00 AM,1.15,,,,
118,01/22/16 07:56:12 AM,1.16,,,,
119,01/22/16 07:59:20 AM,1.17,,,,
120,01/22/16 08:06:10 AM,1.18,,,,
121,01/22/16 08:09:53 AM,1.19,,,,
122,01/22/16 08:13:41 AM,1.20,,,,
123,01/22/16 08:16:03 AM,1.21,,,,
124,01/22/16 08:18:45 AM,1.22,,,,
125,01/22/16 08:21:40 AM,1.23,,,,
126,01/22/16 08:25:20 AM,1.24,,,,
127,01/22/16 08:28:14 AM,1.25,,,,
128,01/22/16 08:31:35 AM,1.26,,,,
129,01/22/16 08:34:33 AM,1.27,,,,
130,01/22/16 08:37:33 AM,1.28,,,,
131,01/22/16 08:39:53 AM,1.29,,,,
132,01/22/16 08:42:39 AM,1.30,,,,
133,01/22/16 08:45:36 AM,1.31,,,,
134,01/22/16 08:49:39 AM,1.32,,,,
135,01/22/16 08:52:17 AM,1.33,,,,
136,01/22/16 08:54:48 AM,1.34,,,,
137,01/22/16 08:57:03 AM,1.35,,,,
138,01/22/16 09:00:07 AM,1.36,,,,
139,01/22/16 09:03:14 AM,1.37,,,,
140,01/22/16 09:06:40 AM,1.38,,,,
141,01/22/16 09:08:58 AM,1.39,,,,
142,01/22/16 09:11:23 AM,1.40,,,,
143,01/22/16 09:14:00 AM,1.41,,,,
144,01/22/16 09:16:22 AM,1.42,,,,
145,01/22/16 09:18:18 AM,1.43,,,,
146,01/22/16 09:20:37 AM,1.44,,,,
147,01/22/16 09:23:00 AM,1.45,,,,
148,01/22/16 09:25:10 AM,1.46,,,,
149,01/22/16 09:27:40 AM,1.47,,,,
150,01/22/16 09:30:29 AM,1.48,,,,
151,01/22/16 09:33:59 AM,1.49,,,,
152,01/22/16 09:37:48 AM,1.50,,,,
153,01/22/16 09:42:32 AM,1.51,,,,
154,01/22/16 09:52:14 AM,1.52,,,,
155,01/22/16 10:09:22 AM,1.53,,,,
156,01/22/16 11:29:43 AM,1.54,,,,
157,01/22/16 11:33:14 AM,1.55,,,,
158,01/22/16 11:38:16 AM,1.56,,,,
159,01/22/16 11:40:09 AM,1.57,,,,
160,01/22/16 11:44:53 AM,1.58,,,,
161,01/22/16 11:52:35 AM,1.59,,,,
162,01/22/16 12:34:16 PM,1.60,,,,
163,01/22/16 12:43:07 PM,1.61,,,,
164,01/22/16 12:44:42 PM,1.62,,,,
165,01/22/16 12:47:50 PM,1.63,,,,
166,01/22/16 01:15:40 PM,1.64,,,,
167,01/22/16 01:34:38 PM,1.65,,,,
168,01/22/16 02:14:15 PM,1.66,,,,
169,01/22/16 02:15:19 PM,1.67,,,,
170,01/22/16 02:17:25 PM,1.68,,,,
171,01/22/16 02:28:16 PM,1.69,,,,
172,01/22/16 02:36:28 PM,1.70,,,,
173,01/22/16 02:43:09 PM,1.71,,,,
174,01/22/16 02:45:05 PM,1.72,,,,
175,01/22/16 02:54:39 PM,1.73,,,,
176,01/22/16 03:12:48 PM,1.74,,,,
177,01/22/16 03:35:04 PM,1.75,,,,
178,01/22/16 03:41:00 PM,1.76,,,,
179,01/22/16 03:47:25 PM,1.77,,,,
180,01/22/16 05:45:00 PM,1.78,,,,
181,01/22/16 09:44:43 PM,1.79,,,,
182,01/22/16 09:45:32 PM,1.80,,,,
183,01/22/16 09:56:56 PM,1.81,,,,
184,01/22/16 10:08:46 PM,1.82,,,,
185,01/22/16 10:11:17 PM,1.83,,,,
186,01/22/16 10:14:12 PM,1.84,,,,
187,01/22/16 10:14:56 PM,1.85,,,,
188,01/22/16 10:18:03 PM,1.86,,,,
189,01/22/16 10:50:50 PM,1.87,,,,
190,01/22/16 11:05:35 PM,1.88,,,,
191,01/22/16 11:17:18 PM,1.89,,,,
192,01/23/16 12:21:07 AM,1.90,,,,
193,01/23/16 12:27:01 AM,1.91,,,,
194,01/23/16 12:30:09 AM,1.92,,,,
195,01/23/16 03:29:35 AM,1.93,,,,
196,01/23/16 12:53:02 PM,1.94,,,,
197,01/23/16 03:01:44 PM,1.95,,,,
198,01/23/16 03:47:38 PM,1.96,,,,
199,01/23/16 04:25:25 PM,1.97,,,,
200,01/23/16 05:55:02 PM,1.98,,,,
201,01/24/16 05:12:53 AM,1.99,,,,
202,01/24/16 05:46:56 AM,2.00,,,,
203,01/28/16 01:27:20 PM,,,Logged,,
204,01/28/16 01:27:24 PM,,,,Logged,
205,01/28/16 01:27:36 PM,2.00,,,,Logged
