"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,02/27/18 12:39:30 PM,85.374,0.00,,,,,
2,02/27/18 12:40:33 PM,,,Logged,,,,
3,02/27/18 01:39:30 PM,56.057,,,,,,
4,02/27/18 02:39:30 PM,56.750,,,,,,
5,02/27/18 03:39:30 PM,54.842,,,,,,
6,02/27/18 04:39:30 PM,49.404,,,,,,
7,02/27/18 05:39:30 PM,45.648,,,,,,
8,02/27/18 06:39:30 PM,42.915,,,,,,
9,02/27/18 07:39:30 PM,40.881,,,,,,
10,02/27/18 08:39:30 PM,39.007,,,,,,
11,02/27/18 09:39:30 PM,38.061,,,,,,
12,02/27/18 10:39:30 PM,37.488,,,,,,
13,02/27/18 11:39:30 PM,37.488,,,,,,
14,02/28/18 12:39:30 AM,36.531,,,,,,
15,02/28/18 01:39:30 AM,35.951,,,,,,
16,02/28/18 02:39:30 AM,35.564,,,,,,
17,02/28/18 03:39:30 AM,34.981,,,,,,
18,02/28/18 04:39:30 AM,35.758,,,,,,
19,02/28/18 05:39:30 AM,39.007,,,,,,
20,02/28/18 06:39:30 AM,40.881,,,,,,
21,02/28/18 07:39:30 AM,41.625,,,,,,
22,02/28/18 08:39:30 AM,45.466,,,,,,
23,02/28/18 09:39:30 AM,49.582,,,,,,
24,02/28/18 10:39:30 AM,54.147,,,,,,
25,02/28/18 11:39:30 AM,61.054,,,,,,
26,02/28/18 12:39:30 PM,71.512,,,,,,
27,02/28/18 01:39:30 PM,58.993,,,,,,
28,02/28/18 02:39:30 PM,56.404,,,,,,
29,02/28/18 03:39:30 PM,53.623,,,,,,
30,02/28/18 04:39:30 PM,51.346,,,,,,
31,02/28/18 05:39:30 PM,49.050,,,,,,
32,02/28/18 06:39:30 PM,47.266,,,,,,
33,02/28/18 07:24:21 PM,,0.01,,,,,
34,02/28/18 07:39:30 PM,46.908,,,,,,
35,02/28/18 07:50:50 PM,,0.02,,,,,
36,02/28/18 08:31:40 PM,,0.03,,,,,
37,02/28/18 08:38:09 PM,,0.04,,,,,
38,02/28/18 08:39:30 PM,47.088,,,,,,
39,02/28/18 08:48:16 PM,,0.05,,,,,
40,02/28/18 08:53:02 PM,,0.06,,,,,
41,02/28/18 09:16:52 PM,,0.07,,,,,
42,02/28/18 09:39:30 PM,47.624,,,,,,
43,02/28/18 10:39:15 PM,,0.08,,,,,
44,02/28/18 10:39:30 PM,47.982,,,,,,
45,02/28/18 10:48:48 PM,,0.09,,,,,
46,02/28/18 10:50:10 PM,,0.10,,,,,
47,02/28/18 10:52:25 PM,,0.11,,,,,
