"Plot Title: UNF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,03/20/18 11:04:48 AM,54.147,0.00,,,,
2,03/20/18 11:05:19 AM,,0.01,,,,
3,03/20/18 11:05:21 AM,,,Logged,,,
4,03/20/18 12:04:48 PM,50.995,,,,,
5,03/20/18 01:04:48 PM,51.346,,,,,
6,03/20/18 01:42:49 PM,,0.02,,,,
7,03/20/18 02:04:48 PM,49.937,,,,,
8,03/20/18 02:05:46 PM,,0.03,,,,
9,03/20/18 02:41:56 PM,,0.04,,,,
10,03/20/18 03:04:48 PM,51.172,,,,,
11,03/20/18 04:04:48 PM,50.995,,,,,
12,03/20/18 05:04:48 PM,52.225,,,,,
13,03/20/18 06:04:48 PM,51.699,,,,,
14,03/20/18 07:04:48 PM,49.937,,,,,
15,03/20/18 08:04:48 PM,49.404,,,,,
16,03/20/18 08:19:26 PM,,0.05,,,,
17,03/20/18 08:51:43 PM,,0.06,,,,
18,03/20/18 09:04:48 PM,49.937,,,,,
19,03/20/18 09:46:27 PM,,0.07,,,,
20,03/20/18 10:04:48 PM,50.643,,,,,
21,03/20/18 10:15:30 PM,,0.08,,,,
22,03/20/18 10:34:51 PM,,0.09,,,,
23,03/20/18 10:52:33 PM,,0.10,,,,
24,03/20/18 10:59:20 PM,,0.11,,,,
25,03/20/18 11:04:48 PM,50.819,,,,,
26,03/20/18 11:08:22 PM,,0.12,,,,
27,03/20/18 11:20:18 PM,,0.13,,,,
28,03/20/18 11:45:55 PM,,0.14,,,,
29,03/20/18 11:59:58 PM,,0.15,,,,
30,03/21/18 12:04:48 AM,50.819,,,,,
31,03/21/18 12:11:42 AM,,0.16,,,,
32,03/21/18 12:18:34 AM,,0.17,,,,
33,03/21/18 12:20:26 AM,,0.18,,,,
34,03/21/18 12:25:38 AM,,0.19,,,,
35,03/21/18 12:32:51 AM,,0.20,,,,
36,03/21/18 12:34:55 AM,,0.21,,,,
37,03/21/18 12:38:43 AM,,0.22,,,,
38,03/21/18 12:43:52 AM,,0.23,,,,
39,03/21/18 12:44:42 AM,,0.24,,,,
40,03/21/18 12:50:37 AM,,0.25,,,,
41,03/21/18 12:58:29 AM,,0.26,,,,
42,03/21/18 01:04:48 AM,51.346,,,,,
43,03/21/18 01:06:26 AM,,0.27,,,,
44,03/21/18 01:13:44 AM,,0.28,,,,
45,03/21/18 01:18:31 AM,,0.29,,,,
46,03/21/18 01:24:40 AM,,0.30,,,,
47,03/21/18 01:32:19 AM,,0.31,,,,
48,03/21/18 01:36:27 AM,,0.32,,,,
49,03/21/18 01:39:03 AM,,0.33,,,,
50,03/21/18 01:41:53 AM,,0.34,,,,
51,03/21/18 01:46:06 AM,,0.35,,,,
52,03/21/18 01:49:28 AM,,0.36,,,,
53,03/21/18 01:52:32 AM,,0.37,,,,
54,03/21/18 01:54:55 AM,,0.38,,,,
55,03/21/18 01:57:41 AM,,0.39,,,,
56,03/21/18 02:00:29 AM,,0.40,,,,
57,03/21/18 02:03:13 AM,,0.41,,,,
58,03/21/18 02:04:48 AM,52.225,,,,,
59,03/21/18 02:08:45 AM,,0.42,,,,
60,03/21/18 02:12:29 AM,,0.43,,,,
61,03/21/18 02:17:26 AM,,0.44,,,,
62,03/21/18 02:19:21 AM,,0.45,,,,
63,03/21/18 02:22:03 AM,,0.46,,,,
64,03/21/18 02:27:12 AM,,0.47,,,,
