"Plot Title: UQC"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Stopped (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
1,02/11/15 03:58:31 PM,0.00,,,
2,02/11/15 08:06:54 PM,0.01,,,
3,02/12/15 01:46:41 AM,0.02,,,
4,02/17/15 04:55:58 AM,0.03,,,
5,02/28/15 07:06:34 AM,0.04,,,
6,02/28/15 07:10:54 AM,0.05,,,
7,02/28/15 07:16:48 AM,0.06,,,
8,02/28/15 07:36:39 AM,0.07,,,
9,02/28/15 08:05:02 AM,0.08,,,
10,02/28/15 10:54:30 AM,0.09,,,
11,02/28/15 10:59:45 AM,0.10,,,
12,02/28/15 11:40:19 AM,0.11,,,
13,02/28/15 11:46:26 AM,0.12,,,
14,02/28/15 11:52:32 AM,0.13,,,
15,02/28/15 01:44:45 PM,0.14,,,
16,02/28/15 01:56:19 PM,0.15,,,
17,02/28/15 02:07:00 PM,0.16,,,
18,02/28/15 02:14:56 PM,0.17,,,
19,02/28/15 02:22:10 PM,0.18,,,
20,02/28/15 02:29:18 PM,0.19,,,
21,02/28/15 02:37:17 PM,0.20,,,
22,02/28/15 02:45:58 PM,0.21,,,
23,02/28/15 02:54:30 PM,0.22,,,
24,02/28/15 03:03:40 PM,0.23,,,
25,02/28/15 03:13:55 PM,0.24,,,
26,02/28/15 03:26:22 PM,0.25,,,
27,02/28/15 03:40:40 PM,0.26,,,
28,02/28/15 04:01:48 PM,0.27,,,
29,02/28/15 05:47:20 PM,0.28,,,
30,03/11/15 12:35:22 AM,0.29,,,
31,03/11/15 03:30:22 AM,0.30,,,
32,03/11/15 04:30:54 AM,0.31,,,
33,03/11/15 05:36:33 AM,0.32,,,
34,03/11/15 06:03:44 AM,0.33,,,
35,03/11/15 06:35:29 AM,0.34,,,
36,03/11/15 07:27:22 AM,0.35,,,
37,03/11/15 09:13:07 AM,0.36,,,
38,03/22/15 07:12:04 AM,0.37,,,
39,03/22/15 07:27:18 AM,0.38,,,
40,03/22/15 07:37:59 AM,0.39,,,
41,03/22/15 07:56:15 AM,0.40,,,
42,03/22/15 08:14:05 AM,0.41,,,
43,03/22/15 09:53:35 PM,0.42,,,
44,03/22/15 10:05:01 PM,0.43,,,
45,03/22/15 10:22:25 PM,0.44,,,
46,03/22/15 10:41:40 PM,0.45,,,
47,03/22/15 11:07:17 PM,0.46,,,
48,03/22/15 11:45:17 PM,0.47,,,
49,03/23/15 12:48:06 AM,0.48,,,
50,03/23/15 02:40:14 AM,0.49,,,
51,03/23/15 05:37:44 AM,0.50,,,
52,03/23/15 09:51:10 AM,0.51,,,
53,03/23/15 02:55:19 PM,0.52,,,
54,03/24/15 09:10:21 AM,0.53,,,
55,03/25/15 01:53:43 PM,,Logged,,
56,03/25/15 01:53:47 PM,0.53,,Logged,Logged
