"Plot Title: UQC"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Stopped (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
1,11/25/14 09:14:31 AM,0.00,,,
2,11/29/14 03:47:35 AM,0.01,,,
3,11/29/14 03:51:34 AM,0.02,,,
4,11/29/14 03:51:35 AM,0.03,,,
5,11/29/14 03:53:05 AM,0.04,,,
6,11/29/14 03:54:32 AM,0.05,,,
7,11/29/14 03:55:46 AM,0.06,,,
8,11/29/14 03:56:22 AM,0.07,,,
9,11/29/14 03:56:53 AM,0.08,,,
10,11/29/14 03:57:31 AM,0.09,,,
11,11/29/14 03:58:05 AM,0.10,,,
12,11/29/14 03:58:27 AM,0.11,,,
13,11/29/14 03:58:53 AM,0.12,,,
14,11/29/14 03:59:21 AM,0.13,,,
15,11/29/14 03:59:56 AM,0.14,,,
16,11/29/14 04:00:15 AM,0.15,,,
17,11/29/14 04:00:36 AM,0.16,,,
18,11/29/14 04:01:08 AM,0.17,,,
19,11/29/14 04:01:52 AM,0.18,,,
20,11/29/14 04:02:37 AM,0.19,,,
21,11/29/14 04:03:20 AM,0.20,,,
22,11/29/14 04:04:03 AM,0.21,,,
23,11/29/14 04:04:35 AM,0.22,,,
24,11/29/14 04:05:05 AM,0.23,,,
25,11/29/14 04:05:29 AM,0.24,,,
26,11/29/14 04:05:49 AM,0.25,,,
27,11/29/14 04:06:06 AM,0.26,,,
28,11/29/14 04:06:19 AM,0.27,,,
29,11/29/14 04:06:33 AM,0.28,,,
30,11/29/14 04:06:50 AM,0.29,,,
31,11/29/14 04:07:14 AM,0.30,,,
32,11/29/14 04:07:45 AM,0.31,,,
33,11/29/14 04:07:46 AM,0.32,,,
34,11/29/14 04:08:29 AM,0.33,,,
35,11/29/14 04:09:19 AM,0.34,,,
36,11/29/14 04:10:43 AM,0.35,,,
37,11/29/14 04:13:25 AM,0.36,,,
38,11/29/14 04:13:26 AM,0.37,,,
39,11/29/14 04:16:20 AM,0.38,,,
40,11/29/14 04:55:26 AM,0.39,,,
41,11/29/14 05:00:54 AM,0.40,,,
42,11/29/14 05:02:49 AM,0.41,,,
43,11/29/14 05:04:13 AM,0.42,,,
44,11/29/14 05:04:56 AM,0.43,,,
45,11/29/14 05:05:44 AM,0.44,,,
46,11/29/14 05:06:48 AM,0.45,,,
47,11/29/14 05:08:25 AM,0.46,,,
48,11/29/14 05:09:44 AM,0.47,,,
49,11/29/14 05:10:45 AM,0.48,,,
50,11/29/14 05:11:35 AM,0.49,,,
51,11/29/14 05:12:41 AM,0.50,,,
52,11/29/14 05:14:04 AM,0.51,,,
53,11/29/14 05:15:29 AM,0.52,,,
54,11/29/14 05:16:25 AM,0.53,,,
55,11/29/14 05:17:18 AM,0.54,,,
56,11/29/14 05:18:11 AM,0.55,,,
57,11/29/14 05:19:11 AM,0.56,,,
58,11/29/14 05:20:40 AM,0.57,,,
59,11/29/14 05:23:10 AM,0.58,,,
60,11/29/14 05:27:28 AM,0.59,,,
61,11/29/14 05:32:29 AM,0.60,,,
62,11/29/14 05:35:24 AM,0.61,,,
63,11/29/14 05:35:25 AM,0.62,,,
64,11/29/14 05:38:09 AM,0.63,,,
65,11/29/14 05:39:37 AM,0.64,,,
66,11/29/14 05:41:06 AM,0.65,,,
67,11/29/14 05:42:34 AM,0.66,,,
68,11/29/14 05:43:37 AM,0.67,,,
69,11/29/14 05:45:09 AM,0.68,,,
70,11/29/14 05:47:02 AM,0.69,,,
71,11/29/14 05:48:45 AM,0.70,,,
72,11/29/14 05:50:42 AM,0.71,,,
73,11/29/14 05:54:08 AM,0.72,,,
74,11/29/14 05:58:55 AM,0.73,,,
75,11/29/14 06:06:01 AM,0.74,,,
76,11/29/14 06:10:21 AM,0.75,,,
77,11/29/14 06:11:49 AM,0.76,,,
78,11/29/14 06:12:56 AM,0.77,,,
79,11/29/14 06:15:58 AM,0.78,,,
