"Plot Title: UQC"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 10592087, SEN S/N: 10592087, LBL: UQC)","Coupler Detached (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Stopped (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
1,09/23/15 03:57:11 PM,0.00,,,,
2,09/23/15 03:57:19 PM,,Logged,,,
3,10/15/15 01:00:01 AM,0.01,,,,
4,10/15/15 03:37:09 AM,0.02,,,,
5,10/18/15 11:19:01 PM,0.03,,,,
6,10/19/15 12:12:05 AM,0.04,,,,
7,10/19/15 12:35:32 AM,0.05,,,,
8,10/19/15 01:33:19 AM,0.06,,,,
9,10/19/15 03:47:30 AM,0.07,,,,
10,10/19/15 06:49:49 AM,0.08,,,,
11,10/20/15 07:02:32 PM,0.09,,,,
12,10/28/15 11:46:59 AM,0.10,,,,
13,11/01/15 06:21:10 AM,0.11,,,,
14,11/02/15 02:23:22 AM,0.12,,,,
15,11/02/15 02:35:20 AM,0.13,,,,
16,11/02/15 02:45:50 AM,0.14,,,,
17,11/02/15 02:48:26 AM,0.15,,,,
18,11/02/15 02:51:20 AM,0.16,,,,
19,11/02/15 02:55:48 AM,0.17,,,,
20,11/02/15 02:58:51 AM,0.18,,,,
21,11/02/15 03:00:21 AM,0.19,,,,
22,11/02/15 03:04:14 AM,0.20,,,,
23,11/02/15 03:05:33 AM,0.21,,,,
24,11/02/15 03:08:12 AM,0.22,,,,
25,11/02/15 03:08:13 AM,0.23,,,,
26,11/02/15 03:10:12 AM,0.24,,,,
27,11/02/15 03:15:22 AM,0.25,,,,
28,11/02/15 03:17:53 AM,0.26,,,,
29,11/02/15 03:19:52 AM,0.27,,,,
30,11/02/15 03:20:46 AM,0.28,,,,
31,11/02/15 03:22:59 AM,0.29,,,,
32,11/02/15 03:24:29 AM,0.30,,,,
33,11/02/15 03:28:40 AM,0.31,,,,
34,11/02/15 03:31:50 AM,0.32,,,,
35,11/02/15 03:39:45 AM,0.33,,,,
36,11/02/15 03:44:20 AM,0.34,,,,
37,11/02/15 03:52:50 AM,0.35,,,,
38,11/02/15 03:55:43 AM,0.36,,,,
39,11/02/15 04:00:47 AM,0.37,,,,
40,11/02/15 04:01:42 AM,0.38,,,,
41,11/02/15 04:04:04 AM,0.39,,,,
42,11/02/15 04:04:05 AM,0.40,,,,
43,11/02/15 04:06:12 AM,0.41,,,,
44,11/02/15 04:08:31 AM,0.42,,,,
45,11/02/15 04:09:48 AM,0.43,,,,
46,11/02/15 04:12:09 AM,0.44,,,,
47,11/02/15 04:13:33 AM,0.45,,,,
48,11/02/15 04:18:20 AM,0.46,,,,
49,11/02/15 04:21:24 AM,0.47,,,,
50,11/02/15 04:30:03 AM,0.48,,,,
51,11/02/15 04:35:50 AM,0.49,,,,
52,11/02/15 04:55:09 AM,0.50,,,,
53,11/02/15 05:08:12 AM,0.51,,,,
54,11/02/15 05:45:13 AM,0.52,,,,
55,11/02/15 06:09:42 AM,0.53,,,,
56,11/02/15 06:53:45 AM,0.54,,,,
57,11/02/15 07:09:45 AM,0.55,,,,
58,11/02/15 07:55:27 AM,0.56,,,,
59,11/02/15 08:18:49 AM,0.57,,,,
60,11/02/15 09:00:28 AM,0.58,,,,
61,11/02/15 09:21:14 AM,0.59,,,,
62,11/02/15 10:00:26 AM,0.60,,,,
63,11/02/15 10:23:14 AM,0.61,,,,
64,11/02/15 11:14:03 AM,0.62,,,,
65,11/02/15 11:39:57 AM,0.63,,,,
66,11/02/15 12:21:18 PM,0.64,,,,
67,11/02/15 12:35:12 PM,0.65,,,,
68,11/02/15 12:57:13 PM,0.66,,,,
69,11/02/15 01:08:25 PM,0.67,,,,
70,11/02/15 01:36:28 PM,0.68,,,,
71,11/02/15 01:53:32 PM,0.69,,,,
72,11/02/15 02:33:35 PM,0.70,,,,
73,11/02/15 02:55:19 PM,0.71,,,,
74,11/02/15 03:46:30 PM,0.72,,,,
75,11/02/15 03:46:31 PM,0.73,,,,
76,11/02/15 04:13:40 PM,0.74,,,,
77,11/02/15 05:32:17 PM,0.75,,,,
78,11/02/15 06:23:25 PM,0.76,,,,
79,11/02/15 07:10:03 PM,0.77,,,,
80,11/02/15 08:39:43 PM,0.78,,,,
81,11/02/15 10:16:47 PM,0.79,,,,
82,11/02/15 11:53:54 PM,0.80,,,,
83,11/03/15 01:35:44 AM,0.81,,,,
84,11/03/15 03:32:13 AM,0.82,,,,
85,11/03/15 05:40:40 AM,0.83,,,,
86,11/03/15 07:57:03 AM,0.84,,,,
87,11/03/15 10:03:52 AM,0.85,,,,
88,11/03/15 11:46:41 AM,0.86,,,,
89,11/03/15 01:30:18 PM,0.87,,,,
90,11/03/15 03:27:52 PM,0.88,,,,
91,11/08/15 12:26:17 PM,0.89,,,,
92,11/08/15 12:43:52 PM,0.90,,,,
93,11/08/15 01:05:41 PM,0.91,,,,
94,11/08/15 01:24:30 PM,0.92,,,,
95,11/08/15 01:28:04 PM,0.93,,,,
96,11/08/15 01:31:07 PM,0.94,,,,
97,11/08/15 02:08:10 PM,0.95,,,,
98,11/08/15 02:15:01 PM,0.96,,,,
99,11/09/15 05:12:45 AM,0.97,,,,
100,11/09/15 05:51:27 AM,0.98,,,,
101,11/09/15 09:48:03 AM,0.99,,,,
102,11/09/15 09:54:15 AM,1.00,,,,
103,11/09/15 10:01:12 AM,1.01,,,,
104,11/09/15 10:04:52 AM,1.02,,,,
105,11/09/15 10:11:36 AM,1.03,,,,
106,11/09/15 10:15:27 AM,1.04,,,,
107,11/09/15 10:22:58 AM,1.05,,,,
108,11/09/15 10:22:59 AM,1.06,,,,
109,11/09/15 10:27:27 AM,1.07,,,,
110,11/09/15 10:34:48 AM,1.08,,,,
111,11/09/15 10:38:56 AM,1.09,,,,
112,11/09/15 10:45:56 AM,1.10,,,,
113,11/09/15 10:49:52 AM,1.11,,,,
114,11/09/15 10:56:40 AM,1.12,,,,
115,11/09/15 11:00:29 AM,1.13,,,,
116,11/09/15 11:07:27 AM,1.14,,,,
117,11/09/15 11:11:21 AM,1.15,,,,
118,11/09/15 11:18:35 AM,1.16,,,,
119,11/09/15 11:22:50 AM,1.17,,,,
120,11/09/15 11:31:08 AM,1.18,,,,
121,11/09/15 11:36:11 AM,1.19,,,,
122,11/09/15 11:47:00 AM,1.20,,,,
123,11/09/15 11:54:04 AM,1.21,,,,
124,11/09/15 12:28:27 PM,1.22,,,,
125,11/09/15 06:14:06 PM,1.23,,,,
126,11/09/15 09:38:52 PM,1.24,,,,
127,11/09/15 11:16:21 PM,1.25,,,,
128,11/09/15 11:28:56 PM,1.26,,,,
129,11/09/15 11:35:36 PM,1.27,,,,
130,11/09/15 11:49:25 PM,1.28,,,,
131,11/09/15 11:57:25 PM,1.29,,,,
132,11/10/15 12:15:27 AM,1.30,,,,
133,11/15/15 03:56:20 AM,1.31,,,,
134,11/15/15 03:58:24 AM,1.32,,,,
135,11/15/15 04:00:50 AM,1.33,,,,
136,11/15/15 04:42:50 AM,1.34,,,,
137,11/15/15 04:48:56 AM,1.35,,,,
138,11/15/15 04:53:18 AM,1.36,,,,
139,11/15/15 04:59:45 AM,1.37,,,,
140,11/15/15 05:02:48 AM,1.38,,,,
141,11/15/15 05:04:56 AM,1.39,,,,
142,11/15/15 05:07:19 AM,1.40,,,,
143,11/15/15 05:09:37 AM,1.41,,,,
144,11/15/15 05:11:52 AM,1.42,,,,
145,11/15/15 05:14:09 AM,1.43,,,,
146,11/15/15 05:16:26 AM,1.44,,,,
147,11/15/15 05:18:52 AM,1.45,,,,
148,11/15/15 05:21:31 AM,1.46,,,,
149,11/15/15 05:24:12 AM,1.47,,,,
150,11/15/15 05:27:13 AM,1.48,,,,
151,11/15/15 05:30:42 AM,1.49,,,,
152,11/15/15 05:36:27 AM,1.50,,,,
153,11/15/15 05:54:59 AM,1.51,,,,
154,11/15/15 06:01:46 AM,1.52,,,,
155,11/15/15 06:07:00 AM,1.53,,,,
156,11/15/15 06:11:42 AM,1.54,,,,
157,11/15/15 06:15:55 AM,1.55,,,,
158,11/15/15 06:20:37 AM,1.56,,,,
159,11/15/15 06:25:40 AM,1.57,,,,
160,11/15/15 06:32:45 AM,1.58,,,,
161,11/15/15 06:32:46 AM,1.59,,,,
162,11/15/15 06:38:10 AM,1.60,,,,
163,11/15/15 06:45:21 AM,1.61,,,,
164,11/15/15 06:59:15 AM,1.62,,,,
165,11/15/15 07:20:20 AM,1.63,,,,
166,11/15/15 07:30:46 AM,1.64,,,,
167,11/15/15 07:35:04 AM,1.65,,,,
168,11/15/15 07:38:04 AM,1.66,,,,
169,11/15/15 07:41:02 AM,1.67,,,,
170,11/15/15 07:43:54 AM,1.68,,,,
171,11/15/15 07:47:05 AM,1.69,,,,
172,11/15/15 07:50:11 AM,1.70,,,,
173,11/15/15 07:53:35 AM,1.71,,,,
174,11/15/15 07:56:56 AM,1.72,,,,
175,11/15/15 08:00:29 AM,1.73,,,,
176,11/15/15 08:03:59 AM,1.74,,,,
177,11/15/15 08:08:02 AM,1.75,,,,
178,11/15/15 08:12:20 AM,1.76,,,,
179,11/15/15 08:17:52 AM,1.77,,,,
180,11/15/15 08:55:41 AM,1.78,,,,
181,11/15/15 10:28:33 AM,1.79,,,,
182,11/15/15 01:14:04 PM,1.80,,,,
183,11/24/15 10:50:14 AM,1.81,,,,
184,11/24/15 10:59:37 AM,1.82,,,,
185,11/24/15 11:06:13 AM,1.83,,,,
186,11/24/15 11:12:20 AM,1.84,,,,
187,11/24/15 11:17:52 AM,1.85,,,,
188,11/24/15 11:23:10 AM,1.86,,,,
189,11/24/15 11:28:35 AM,1.87,,,,
190,11/24/15 11:34:18 AM,1.88,,,,
191,11/24/15 11:39:37 AM,1.89,,,,
192,11/24/15 11:45:02 AM,1.90,,,,
193,11/24/15 11:50:14 AM,1.91,,,,
194,11/24/15 11:56:04 AM,1.92,,,,
195,11/24/15 12:02:25 PM,1.93,,,,
196,11/24/15 12:09:00 PM,1.94,,,,
197,11/24/15 12:16:18 PM,1.95,,,,
198,11/24/15 12:24:03 PM,1.96,,,,
199,11/24/15 12:33:39 PM,1.97,,,,
200,11/24/15 12:46:40 PM,1.98,,,,
201,11/24/15 10:19:37 PM,1.99,,,,
202,11/24/15 10:31:07 PM,2.00,,,,
203,11/25/15 12:39:14 AM,2.01,,,,
204,11/25/15 12:48:12 AM,2.02,,,,
205,11/25/15 12:59:02 AM,2.03,,,,
206,11/25/15 01:56:06 AM,2.04,,,,
207,11/25/15 02:03:37 AM,2.05,,,,
208,11/25/15 02:10:26 AM,2.06,,,,
209,11/25/15 02:17:50 AM,2.07,,,,
210,11/25/15 02:25:18 AM,2.08,,,,
211,11/25/15 02:34:16 AM,2.09,,,,
212,11/25/15 02:43:24 AM,2.10,,,,
213,11/25/15 02:55:17 AM,2.11,,,,
214,12/02/15 02:24:29 PM,,,Logged,,
215,12/02/15 02:24:33 PM,2.11,,,Logged,Logged
