"Plot Title: Waterlab"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309220, SEN S/N: 20309220)","Event, units (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Detached (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Attached (LGR S/N: 20309220, SEN S/N: 20309220)","Host Connected (LGR S/N: 20309220, SEN S/N: 20309220)","Stopped (LGR S/N: 20309220, SEN S/N: 20309220)","End Of File (LGR S/N: 20309220, SEN S/N: 20309220)"
1,12/18/18 08:26:27 AM,42.732,0.00,,,,,
2,12/18/18 08:26:34 AM,,,Logged,,,,
3,12/18/18 09:26:27 AM,42.363,,,,,,
4,12/18/18 10:26:27 AM,58.303,,,,,,
5,12/18/18 11:26:27 AM,63.111,,,,,,
6,12/18/18 12:26:27 PM,61.227,,,,,,
7,12/18/18 01:26:27 PM,64.652,,,,,,
8,12/18/18 02:26:27 PM,60.368,,,,,,
9,12/18/18 03:26:27 PM,57.614,,,,,,
10,12/18/18 04:26:27 PM,53.623,,,,,,
11,12/18/18 05:26:27 PM,50.466,,,,,,
12,12/18/18 06:26:27 PM,47.446,,,,,,
13,12/18/18 07:26:27 PM,45.828,,,,,,
14,12/18/18 08:26:27 PM,44.560,,,,,,
15,12/18/18 09:26:27 PM,43.831,,,,,,
16,12/18/18 10:26:27 PM,43.099,,,,,,
17,12/18/18 11:26:27 PM,42.363,,,,,,
18,12/19/18 12:26:27 AM,41.439,,,,,,
19,12/19/18 01:26:27 AM,40.881,,,,,,
20,12/19/18 02:26:27 AM,40.696,,,,,,
21,12/19/18 03:26:27 AM,40.321,,,,,,
22,12/19/18 04:26:27 AM,40.321,,,,,,
23,12/19/18 05:26:27 AM,39.573,,,,,,
24,12/19/18 06:26:27 AM,39.196,,,,,,
25,12/19/18 07:26:27 AM,38.629,,,,,,
26,12/19/18 08:26:27 AM,43.648,,,,,,
27,12/19/18 09:26:27 AM,47.088,,,,,,
28,12/19/18 10:26:27 AM,61.054,,,,,,
29,12/19/18 11:26:27 AM,67.735,,,,,,
