Date Time	Event (Rain Bucket Tip)
01/21/04 13:50:43.0	0
01/23/04 23:50:07.5	0.01
01/24/04 00:01:02.0	0.02
01/24/04 00:06:40.0	0.03
01/24/04 00:10:55.0	0.04
01/24/04 00:14:06.5	0.05
01/24/04 00:17:49.5	0.06
01/24/04 00:24:30.0	0.07
01/24/04 00:28:29.5	0.08
01/24/04 00:33:47.0	0.09
01/24/04 00:37:38.0	0.1
01/24/04 00:58:38.5	0.11
01/24/04 01:12:45.5	0.12
01/24/04 01:20:41.5	0.13
01/24/04 01:28:28.0	0.14
01/24/04 01:33:21.5	0.15
01/24/04 01:36:36.0	0.16
01/24/04 01:40:31.5	0.17
01/24/04 01:46:05.5	0.18
01/24/04 01:51:17.0	0.19
01/24/04 01:56:14.5	0.2
01/24/04 02:00:24.0	0.21
01/24/04 02:04:39.0	0.22
01/24/04 02:08:48.0	0.23
01/24/04 02:16:34.0	0.24
01/24/04 02:34:02.0	0.25
01/24/04 02:55:38.0	0.26
01/24/04 02:58:19.0	0.27
01/24/04 03:08:20.5	0.28
01/24/04 03:20:48.0	0.29
01/24/04 03:25:24.0	0.3
01/24/04 03:31:49.5	0.31
01/24/04 03:35:43.0	0.32
01/24/04 03:39:23.5	0.33
01/24/04 03:42:47.0	0.34
01/24/04 03:46:24.5	0.35
01/24/04 03:49:57.0	0.36
01/24/04 03:59:16.0	0.37
01/24/04 04:11:07.5	0.38
01/24/04 04:14:51.5	0.39
01/24/04 04:20:07.0	0.4
01/24/04 04:23:59.5	0.41
01/24/04 04:32:40.0	0.42
01/24/04 04:40:56.5	0.43
01/24/04 04:56:37.0	0.44
01/24/04 05:00:12.5	0.45
01/24/04 05:05:22.5	0.46
01/24/04 05:11:44.5	0.47
01/24/04 05:15:13.0	0.48
01/24/04 05:17:38.0	0.49
01/24/04 05:19:34.5	0.5
01/24/04 05:21:11.5	0.51
01/24/04 05:22:53.5	0.52
01/24/04 05:25:06.5	0.53
01/24/04 05:26:03.5	0.54
01/24/04 05:26:49.0	0.55
01/24/04 05:27:41.5	0.56
01/24/04 05:29:34.0	0.57
01/24/04 05:31:38.0	0.58
01/24/04 05:36:44.5	0.59
01/24/04 05:48:26.5	0.6
01/24/04 06:57:06.5	0.61
01/26/04 15:51:53.5	0.61
