Serial Number:     531980     --     Series: Event (Rain bucket tip)

Date Time	Event (Rain bucket tip)
04/26/07 16:07:22.0	0
05/02/07 05:46:49.5	0.01
05/02/07 06:14:25.0	0.02
05/02/07 07:06:16.5	0.03
05/02/07 07:11:45.0	0.04
05/02/07 07:13:56.0	0.05
05/02/07 07:20:03.0	0.06
05/02/07 07:22:10.0	0.07
05/02/07 07:24:02.0	0.08
05/02/07 07:28:23.5	0.09
05/02/07 07:37:32.5	0.1
05/02/07 07:53:14.5	0.11
05/02/07 08:04:39.5	0.12
05/02/07 08:08:20.5	0.13
05/02/07 08:09:17.0	0.14
05/02/07 08:11:36.5	0.15
05/02/07 08:22:23.0	0.16
05/03/07 22:21:45.0	0.17
05/03/07 23:00:47.5	0.18
05/03/07 23:16:52.0	0.19
05/03/07 23:31:29.0	0.2
05/03/07 23:40:21.5	0.21
05/03/07 23:54:40.0	0.22
05/04/07 00:06:02.5	0.23
05/04/07 00:18:18.0	0.24
05/04/07 00:27:09.0	0.25
05/04/07 00:36:07.5	0.26
05/04/07 00:46:39.5	0.27
05/04/07 00:56:55.0	0.28
05/04/07 01:04:22.5	0.29
05/04/07 01:15:20.5	0.3
05/04/07 01:26:44.5	0.31
05/04/07 01:42:24.5	0.32
05/04/07 01:59:53.0	0.33
05/04/07 02:15:06.0	0.34
05/04/07 02:35:45.5	0.35
05/04/07 02:57:18.5	0.36
05/04/07 03:12:31.0	0.37
05/04/07 04:22:05.0	0.38
05/04/07 04:33:06.5	0.39
05/04/07 05:08:30.0	0.4
05/04/07 05:26:17.0	0.41
05/04/07 05:34:32.0	0.42
05/04/07 05:46:14.0	0.43
05/04/07 10:00:51.5	0.44
05/11/07 10:19:36.5	0.44
