Date Time	Event (Rain Bucket Tip)
11/06/02 17:38:19.0	0
11/07/02 00:22:12.0	0.01
11/07/02 00:28:00.0	0.02
11/07/02 00:32:21.0	0.03
11/07/02 00:35:27.0	0.04
11/07/02 00:38:28.5	0.05
11/07/02 00:41:22.0	0.06
11/07/02 00:43:48.5	0.07
11/07/02 00:46:18.0	0.08
11/07/02 00:48:39.5	0.09
11/07/02 00:51:05.0	0.1
11/07/02 00:53:37.0	0.11
11/07/02 00:56:35.5	0.12
11/07/02 00:58:55.0	0.13
11/07/02 01:01:52.0	0.14
11/07/02 01:04:17.5	0.15
11/07/02 01:07:24.5	0.16
11/07/02 01:11:39.5	0.17
11/07/02 01:16:31.5	0.18
11/07/02 01:19:38.0	0.19
11/07/02 01:22:46.0	0.2
11/07/02 01:26:11.5	0.21
11/07/02 01:34:00.0	0.22
11/07/02 01:40:10.5	0.23
11/07/02 01:44:04.5	0.24
11/07/02 01:46:13.5	0.25
11/07/02 01:48:07.5	0.26
11/07/02 01:50:56.5	0.27
11/07/02 01:56:16.0	0.28
11/07/02 02:17:28.0	0.29
11/07/02 02:31:15.0	0.3
11/07/02 02:34:42.5	0.31
11/07/02 02:37:04.0	0.32
11/07/02 02:38:44.0	0.33
11/07/02 02:40:23.5	0.34
11/07/02 02:42:02.0	0.35
11/07/02 02:44:26.5	0.36
11/07/02 02:46:33.0	0.37
11/07/02 02:51:04.5	0.38
11/07/02 02:55:57.0	0.39
11/07/02 03:19:40.0	0.4
11/07/02 03:33:25.5	0.41
11/07/02 03:38:00.5	0.42
11/07/02 03:43:20.5	0.43
11/07/02 04:20:22.0	0.44
11/07/02 04:36:06.0	0.45
11/07/02 04:37:38.5	0.46
11/07/02 04:43:38.0	0.47
11/07/02 04:52:44.0	0.48
11/07/02 05:20:18.0	0.49
11/07/02 05:54:22.0	0.5
11/07/02 06:38:10.5	0.51
11/07/02 06:44:09.5	0.52
11/07/02 09:52:22.5	0.52
