Serial Number:     532217     --     Series: Event (rainfall)

Date Time	Event (rainfall)
03/29/11 11:50:59.0	0
04/07/11 02:24:02.5	0.01
04/07/11 05:20:44.5	0.02
04/07/11 05:25:15.5	0.03
04/07/11 05:36:19.5	0.04
04/07/11 05:51:13.0	0.05
04/07/11 06:38:22.0	0.06
04/13/11 06:38:39.5	0.07
04/13/11 06:45:10.5	0.08
04/13/11 07:01:40.5	0.09
04/13/11 10:05:36.0	0.1
04/13/11 10:16:34.0	0.11
04/13/11 10:59:33.0	0.12
04/13/11 11:02:21.0	0.13
04/13/11 11:03:51.0	0.14
04/13/11 11:05:17.0	0.15
04/13/11 11:06:48.5	0.16
04/13/11 11:08:41.5	0.17
04/13/11 11:10:23.0	0.18
04/13/11 11:11:52.5	0.19
04/13/11 11:15:30.0	0.2
04/18/11 21:05:23.5	0.21
04/18/11 22:12:19.5	0.22
04/18/11 22:46:09.5	0.23
04/18/11 23:14:14.5	0.24
04/18/11 23:51:51.0	0.25
04/19/11 03:58:50.5	0.26
04/19/11 04:36:20.0	0.27
04/19/11 10:54:04.0	0.27
