Serial Number:     532217     --     Series: Event (rainfall)

Date Time	Event (rainfall)
08/23/11 09:54:52.0	0
08/26/11 22:21:49.5	0.0111
08/27/11 06:14:25.5	0.0222
08/27/11 08:31:33.5	0.0333
08/30/11 12:25:00.0	0.0443
09/13/11 00:07:35.0	0.0554
09/13/11 00:12:36.0	0.0665
09/13/11 00:15:02.5	0.0776
09/13/11 00:17:21.0	0.0887
09/13/11 00:18:28.0	0.0998
09/13/11 00:19:43.5	0.1109
09/13/11 00:20:55.0	0.122
09/13/11 00:22:38.5	0.133
09/13/11 00:23:49.0	0.1441
09/13/11 00:24:49.5	0.1552
09/13/11 00:25:55.5	0.1663
09/13/11 00:27:05.5	0.1774
09/13/11 00:28:01.0	0.1885
09/13/11 00:29:52.5	0.1996
09/13/11 00:31:19.5	0.2107
09/13/11 00:34:06.0	0.2217
09/13/11 00:36:15.0	0.2328
09/13/11 00:38:23.0	0.2439
09/13/11 00:40:24.5	0.255
09/13/11 00:42:45.5	0.2661
09/13/11 00:45:00.5	0.2772
09/13/11 00:46:28.5	0.2883
09/13/11 00:47:36.5	0.2993
09/13/11 00:49:54.0	0.3104
09/13/11 00:52:07.5	0.3215
09/13/11 00:54:25.0	0.3326
09/13/11 00:57:02.5	0.3437
09/13/11 00:59:49.5	0.3548
09/13/11 01:01:35.0	0.3659
09/13/11 01:02:50.0	0.377
09/13/11 01:03:43.0	0.388
09/13/11 01:05:11.0	0.3991
09/13/11 01:06:35.0	0.4102
09/13/11 01:08:30.5	0.4213
09/13/11 01:11:22.0	0.4324
09/13/11 01:14:42.5	0.4435
09/13/11 01:18:02.5	0.4546
09/13/11 01:21:34.5	0.4657
09/13/11 01:24:36.0	0.4767
09/13/11 01:27:52.5	0.4878
09/13/11 01:32:02.0	0.4989
09/13/11 01:43:18.5	0.51
09/13/11 01:55:48.5	0.5211
09/13/11 02:04:59.0	0.5322
09/13/11 02:19:41.0	0.5433
09/13/11 02:31:25.5	0.5543
09/13/11 02:36:38.0	0.5654
09/13/11 02:38:46.0	0.5765
09/13/11 02:40:54.5	0.5876
09/13/11 02:42:54.5	0.5987
09/13/11 02:43:38.0	0.6098
09/13/11 02:44:22.5	0.6209
09/13/11 02:45:00.5	0.632
09/13/11 02:45:40.0	0.643
09/13/11 02:46:18.0	0.6541
09/13/11 02:47:11.5	0.6652
09/13/11 02:48:08.5	0.6763
09/13/11 02:49:41.5	0.6874
09/13/11 02:50:46.5	0.6985
09/13/11 02:52:06.5	0.7096
09/13/11 02:53:25.0	0.7207
09/13/11 02:55:37.0	0.7317
09/13/11 02:59:06.0	0.7428
09/13/11 03:02:42.0	0.7539
09/13/11 03:06:17.0	0.765
09/13/11 03:07:23.5	0.7761
09/13/11 03:07:59.0	0.7872
09/13/11 03:08:41.0	0.7983
09/13/11 03:09:10.5	0.8093
09/13/11 03:10:48.0	0.8204
09/13/11 03:12:25.0	0.8315
09/13/11 03:14:21.5	0.8426
09/13/11 03:16:13.5	0.8537
09/13/11 03:17:30.5	0.8648
09/13/11 03:18:30.0	0.8759
09/13/11 03:19:17.5	0.887
09/13/11 03:20:17.0	0.898
09/13/11 03:22:53.0	0.9091
09/13/11 03:24:51.5	0.9202
09/13/11 03:25:58.5	0.9313
09/13/11 03:26:53.0	0.9424
09/13/11 03:27:42.0	0.9535
09/13/11 03:28:21.5	0.9646
09/13/11 03:29:03.0	0.9757
09/13/11 03:29:53.0	0.9867
09/13/11 03:30:43.5	0.9978
09/13/11 03:31:15.0	1.0089
09/13/11 03:31:51.5	1.02
09/13/11 03:32:52.0	1.0311
09/13/11 03:35:15.5	1.0422
09/13/11 03:37:35.0	1.0533
09/13/11 03:39:45.0	1.0643
09/13/11 03:55:09.0	1.0754
09/13/11 04:08:01.0	1.0865
09/13/11 04:10:48.5	1.0976
09/13/11 04:13:52.5	1.1087
09/13/11 04:16:02.5	1.1198
09/13/11 04:19:36.5	1.1309
09/13/11 04:23:12.5	1.142
09/13/11 04:27:23.0	1.153
09/13/11 04:28:03.0	1.1641
09/13/11 04:28:45.0	1.1752
09/13/11 04:30:11.0	1.1863
09/13/11 04:31:29.5	1.1974
09/13/11 04:34:01.0	1.2085
09/13/11 04:35:00.0	1.2196
09/13/11 04:36:05.0	1.2307
09/13/11 04:37:14.5	1.2417
09/13/11 04:38:24.5	1.2528
09/13/11 04:40:45.5	1.2639
09/13/11 04:42:10.5	1.275
09/13/11 04:43:15.5	1.2861
09/13/11 04:44:09.5	1.2972
09/13/11 04:45:28.5	1.3083
09/13/11 04:47:21.0	1.3193
09/13/11 04:50:02.0	1.3304
09/13/11 04:51:27.5	1.3415
09/13/11 04:54:21.5	1.3526
09/13/11 04:56:43.5	1.3637
09/13/11 06:31:09.5	1.3748
09/13/11 07:28:26.5	1.3859
09/13/11 08:11:06.0	1.397
09/13/11 08:15:08.5	1.408
09/13/11 08:23:13.5	1.4191
