Serial Number:     532217     --     Series: Event (Events)

Date Time	Event (Events)
05/18/10 10:35:07.0	0
05/25/10 09:18:03.0	0.0109
05/25/10 09:47:53.0	0.0217
05/25/10 12:19:41.0	0.0326
05/25/10 12:33:46.5	0.0435
05/25/10 12:45:08.5	0.0543
05/25/10 12:52:08.0	0.0652
05/25/10 12:58:32.0	0.0761
05/25/10 13:06:01.5	0.087
05/25/10 13:12:03.5	0.0978
05/25/10 13:18:07.5	0.1087
05/25/10 13:24:20.0	0.1196
05/25/10 13:32:15.5	0.1304
05/25/10 13:40:02.5	0.1413
05/25/10 13:47:27.5	0.1522
05/25/10 13:58:00.0	0.163
05/25/10 14:07:53.0	0.1739
05/25/10 14:13:19.5	0.1848
05/25/10 14:18:18.0	0.1957
05/25/10 14:25:26.5	0.2065
05/25/10 14:39:28.0	0.2174
05/25/10 14:50:30.5	0.2283
05/25/10 15:01:42.0	0.2391
05/25/10 15:09:30.0	0.25
05/25/10 15:14:57.0	0.2609
05/25/10 15:22:32.5	0.2717
05/25/10 15:27:40.0	0.2826
05/25/10 15:34:41.5	0.2935
05/25/10 15:40:59.0	0.3043
05/25/10 15:51:01.5	0.3152
05/25/10 16:01:27.0	0.3261
05/25/10 16:26:10.5	0.337
05/25/10 16:45:40.0	0.3478
05/25/10 16:50:07.0	0.3587
05/25/10 16:55:40.0	0.3696
05/25/10 17:01:31.5	0.3804
05/25/10 17:05:54.0	0.3913
05/25/10 17:15:40.0	0.4022
05/25/10 17:24:10.0	0.413
05/25/10 17:38:33.0	0.4239
05/25/10 17:48:38.0	0.4348
05/25/10 17:55:43.0	0.4457
05/25/10 18:06:46.5	0.4565
05/25/10 18:15:15.0	0.4674
05/25/10 18:19:36.0	0.4783
05/25/10 18:25:47.5	0.4891
05/25/10 18:31:49.0	0.5
05/25/10 18:35:32.5	0.5109
05/25/10 18:41:58.5	0.5217
05/25/10 18:52:02.0	0.5326
05/25/10 19:46:41.5	0.5435
05/25/10 19:53:50.5	0.5543
05/25/10 20:14:51.0	0.5652
05/25/10 20:23:49.0	0.5761
05/25/10 20:35:26.0	0.587
05/25/10 20:38:53.0	0.5978
05/25/10 20:41:57.5	0.6087
05/25/10 20:46:19.0	0.6196
05/25/10 20:52:55.5	0.6304
05/25/10 22:06:58.5	0.6413
05/25/10 22:33:02.0	0.6522
05/25/10 22:37:47.5	0.663
05/25/10 22:42:11.5	0.6739
05/25/10 22:50:24.5	0.6848
05/25/10 22:59:15.0	0.6957
05/26/10 03:26:43.5	0.7065
05/26/10 10:09:58.0	0.7065
