Serial Number:     392387     --     Series: Event (Rainfall Event)

Date Time	Event (Rainfall Event)
11/29/11 14:24:32.0	0
12/12/11 00:59:26.0	0.0096
12/12/11 01:15:02.5	0.0192
12/12/11 01:23:44.0	0.0288
12/12/11 01:40:16.0	0.0384
12/15/11 06:22:02.5	0.048
12/15/11 06:32:42.0	0.0576
12/15/11 06:57:22.0	0.0672
12/30/11 08:43:17.5	0.0768
01/19/12 15:28:41.5	0.0864
01/19/12 15:50:42.5	0.096
01/19/12 16:01:45.0	0.1056
01/19/12 16:16:47.0	0.1152
01/19/12 16:38:50.0	0.1248
01/19/12 17:43:08.0	0.1344
01/19/12 18:15:57.0	0.144
01/19/12 21:54:12.0	0.1535
01/19/12 23:00:53.5	0.1631
01/20/12 02:48:31.5	0.1727
01/20/12 04:24:02.0	0.1823
01/20/12 04:57:09.5	0.1919
01/20/12 06:08:41.0	0.2015
01/20/12 07:02:10.0	0.2111
01/20/12 07:10:07.0	0.2207
01/20/12 07:39:36.0	0.2303
01/20/12 08:25:09.0	0.2399
01/20/12 08:39:46.5	0.2495
01/20/12 09:23:06.0	0.2591
01/20/12 09:43:29.0	0.2687
01/20/12 10:14:19.0	0.2783
01/20/12 11:36:20.0	0.2879
01/20/12 11:45:13.0	0.2975
01/20/12 12:06:15.0	0.3071
01/20/12 12:14:01.0	0.3167
01/20/12 12:33:53.0	0.3263
01/20/12 12:51:51.5	0.3359
01/20/12 13:08:59.0	0.3455
01/20/12 13:16:59.0	0.3551
01/20/12 13:26:22.0	0.3647
01/20/12 13:31:22.5	0.3743
01/20/12 13:39:23.0	0.3839
01/20/12 13:44:16.0	0.3935
01/20/12 13:47:43.5	0.4031
01/20/12 13:56:24.0	0.4127
01/20/12 14:02:39.0	0.4223
01/20/12 14:06:07.5	0.4319
01/20/12 14:10:10.5	0.4414
01/20/12 14:11:55.5	0.451
01/20/12 14:19:52.5	0.4606
01/20/12 14:25:45.0	0.4702
01/20/12 14:34:56.0	0.4798
01/20/12 14:41:38.0	0.4894
01/20/12 14:49:10.5	0.499
01/20/12 14:54:08.0	0.5086
01/20/12 15:01:06.5	0.5182
01/20/12 15:04:29.5	0.5278
01/20/12 15:11:46.5	0.5374
01/20/12 15:14:30.0	0.547
01/20/12 15:15:58.5	0.5566
01/20/12 15:16:38.5	0.5662
01/20/12 15:17:22.0	0.5758
01/20/12 15:18:17.5	0.5854
01/20/12 15:19:41.0	0.595
01/20/12 15:21:00.5	0.6046
01/20/12 15:22:10.5	0.6142
01/20/12 15:22:58.0	0.6238
01/20/12 15:24:20.0	0.6334
01/20/12 15:26:34.5	0.643
01/20/12 15:30:23.5	0.6526
01/20/12 15:32:58.0	0.6622
01/20/12 15:36:51.5	0.6718
01/20/12 15:40:48.5	0.6814
01/20/12 15:43:57.0	0.691
01/20/12 15:44:50.0	0.7006
01/20/12 15:46:06.0	0.7102
01/20/12 15:49:10.5	0.7198
01/20/12 15:52:01.0	0.7293
01/20/12 15:52:56.0	0.7389
01/20/12 15:53:43.5	0.7485
01/20/12 15:54:54.5	0.7581
01/20/12 15:56:19.0	0.7677
01/20/12 15:58:30.5	0.7773
01/20/12 16:06:18.0	0.7869
01/20/12 16:14:43.0	0.7965
01/20/12 16:27:25.0	0.8061
01/20/12 16:39:19.0	0.8157
01/20/12 16:48:29.0	0.8253
