Date Time	Event (rain bucket tip)
04/07/05 14:56:02.0	0
04/08/05 06:39:03.5	0.01
04/08/05 06:55:08.0	0.02
04/08/05 07:05:36.5	0.03
04/08/05 07:23:38.5	0.04
04/08/05 07:28:48.0	0.05
04/08/05 07:35:00.0	0.06
04/08/05 07:44:57.0	0.07
04/08/05 07:51:29.5	0.08
04/08/05 07:58:06.0	0.09
04/08/05 08:02:14.0	0.1
04/08/05 08:21:28.5	0.11
04/08/05 08:29:40.5	0.12
04/08/05 08:47:39.0	0.13
04/08/05 08:54:40.0	0.14
04/08/05 08:57:51.0	0.15
04/08/05 08:59:48.0	0.16
04/08/05 09:02:02.0	0.17
04/08/05 09:04:18.5	0.18
04/08/05 09:07:34.0	0.19
04/08/05 09:09:21.0	0.2
04/08/05 09:12:22.5	0.21
04/08/05 09:14:02.5	0.22
04/08/05 09:16:33.0	0.23
04/08/05 09:18:01.5	0.24
04/08/05 09:19:25.0	0.25
04/08/05 09:20:37.5	0.26
04/08/05 09:22:07.0	0.27
04/08/05 09:22:59.5	0.28
04/08/05 09:23:58.0	0.29
04/08/05 09:24:51.5	0.3
04/08/05 09:26:14.5	0.31
04/08/05 09:27:25.0	0.32
04/08/05 09:28:34.0	0.33
04/08/05 09:29:42.0	0.34
04/08/05 09:31:03.0	0.35
04/08/05 09:31:57.0	0.36
04/08/05 09:32:58.0	0.37
04/08/05 09:33:42.0	0.38
04/08/05 09:34:28.5	0.39
04/08/05 09:35:14.5	0.4
04/08/05 09:36:33.0	0.41
04/08/05 09:37:47.5	0.42
04/08/05 09:39:24.5	0.43
04/08/05 09:40:49.0	0.44
04/08/05 09:41:59.0	0.45
04/08/05 09:42:51.5	0.46
04/08/05 09:44:05.0	0.47
04/08/05 09:45:57.0	0.48
04/08/05 09:47:57.0	0.49
04/08/05 09:49:02.0	0.5
04/08/05 09:51:00.5	0.51
04/08/05 09:56:57.5	0.52
04/08/05 10:01:21.0	0.53
04/08/05 10:02:30.5	0.54
04/08/05 10:04:15.5	0.55
04/08/05 10:05:20.0	0.56
04/08/05 10:06:22.5	0.57
04/08/05 10:07:44.5	0.58
04/08/05 10:10:34.5	0.59
04/08/05 10:11:58.5	0.6
04/08/05 10:14:58.5	0.61
04/08/05 10:16:43.5	0.62
04/08/05 10:17:17.0	0.63
04/08/05 10:17:53.5	0.64
04/08/05 10:19:17.5	0.65
04/08/05 10:20:55.5	0.66
04/08/05 10:25:34.5	0.67
04/08/05 10:29:19.0	0.68
04/08/05 10:32:45.0	0.69
04/08/05 10:33:22.5	0.7
04/08/05 10:33:53.0	0.71
04/08/05 10:34:25.5	0.72
04/08/05 10:36:17.5	0.73
04/08/05 10:42:05.5	0.74
04/08/05 11:01:57.5	0.75
04/08/05 11:03:19.5	0.76
04/08/05 11:04:27.5	0.77
04/08/05 11:05:28.0	0.78
04/08/05 11:06:12.5	0.79
04/08/05 11:06:57.0	0.8
04/08/05 11:09:48.5	0.81
04/08/05 11:12:11.5	0.82
04/08/05 11:19:13.0	0.83
04/08/05 20:45:27.5	0.84
04/08/05 21:42:17.5	0.85
04/08/05 21:44:10.5	0.86
04/08/05 22:34:42.0	0.87
04/08/05 23:21:13.5	0.88
04/08/05 23:43:28.0	0.89
04/09/05 00:08:25.5	0.9
04/09/05 00:21:40.0	0.91
04/09/05 00:27:23.0	0.92
04/09/05 00:28:05.5	0.93
04/09/05 00:28:55.5	0.94
04/09/05 00:40:50.5	0.95
04/09/05 00:58:46.5	0.96
04/09/05 00:59:51.5	0.97
04/09/05 01:01:11.5	0.98
04/09/05 01:31:33.5	0.99
04/09/05 01:36:22.5	1
04/09/05 03:04:16.5	1.01
04/09/05 03:12:16.0	1.02
04/09/05 03:38:59.5	1.03
04/09/05 04:31:32.5	1.04
04/09/05 05:52:04.0	1.05
04/12/05 16:36:38.0	1.05
