Serial Number:     202809     --     Series: Event (rain bucket tip)

Date Time	Event (rain bucket tip)
11/02/05 15:28:29.0	0
11/03/05 21:45:46.5	0.01
11/03/05 22:26:21.0	0.02
11/03/05 22:34:54.5	0.03
11/03/05 22:46:31.5	0.04
11/03/05 23:10:49.0	0.05
11/03/05 23:17:07.5	0.06
11/03/05 23:24:07.5	0.07
11/03/05 23:27:18.0	0.08
11/03/05 23:51:00.0	0.09
11/04/05 01:03:12.5	0.1
11/04/05 01:04:31.0	0.11
11/04/05 01:05:47.0	0.12
11/04/05 01:06:45.0	0.13
11/04/05 01:07:58.5	0.14
11/04/05 01:08:55.5	0.15
11/04/05 01:10:23.0	0.16
11/04/05 01:13:44.0	0.17
11/04/05 01:23:15.5	0.18
11/04/05 01:35:55.0	0.19
11/04/05 05:39:02.5	0.2
11/04/05 05:41:06.5	0.21
11/04/05 05:47:26.5	0.22
11/04/05 05:50:18.0	0.23
11/04/05 06:52:11.0	0.24
11/04/05 09:36:38.0	0.25
11/04/05 09:41:46.5	0.26
11/04/05 09:43:03.0	0.27
11/04/05 09:44:19.5	0.28
11/04/05 09:46:07.0	0.29
11/04/05 09:59:41.5	0.3
11/07/05 06:30:10.0	0.31
11/07/05 14:48:54.0	0.32
11/07/05 21:32:50.0	0.33
11/07/05 21:34:26.0	0.34
11/07/05 21:35:22.5	0.35
11/07/05 21:36:32.0	0.36
11/07/05 21:37:21.5	0.37
11/07/05 21:38:19.5	0.38
11/07/05 21:39:08.0	0.39
11/07/05 21:39:55.0	0.4
11/07/05 21:40:39.0	0.41
11/07/05 21:42:09.0	0.42
11/07/05 21:43:15.0	0.43
11/07/05 21:44:56.0	0.44
11/07/05 21:46:23.5	0.45
11/07/05 21:48:55.0	0.46
11/07/05 21:51:58.0	0.47
11/07/05 21:56:15.5	0.48
11/07/05 22:01:00.5	0.49
11/07/05 22:05:21.5	0.5
11/07/05 22:11:07.0	0.51
11/07/05 22:21:16.5	0.52
11/07/05 22:32:09.5	0.53
11/07/05 22:42:48.5	0.54
11/07/05 23:25:26.0	0.55
11/07/05 23:39:07.5	0.56
11/07/05 23:47:59.5	0.57
11/07/05 23:58:52.0	0.58
11/08/05 00:10:50.0	0.59
11/08/05 00:21:01.0	0.6
11/08/05 00:25:45.0	0.61
11/08/05 00:40:52.5	0.62
11/08/05 01:06:00.5	0.63
11/08/05 01:13:08.0	0.64
11/08/05 01:16:59.5	0.65
11/08/05 01:22:23.5	0.66
11/08/05 01:23:51.5	0.67
11/08/05 01:27:41.5	0.68
11/08/05 01:32:59.0	0.69
11/08/05 01:44:40.0	0.7
11/08/05 01:59:30.5	0.71
11/08/05 02:33:54.0	0.72
11/08/05 03:13:25.5	0.73
11/08/05 03:21:30.5	0.74
11/08/05 04:33:46.5	0.75
11/08/05 05:02:45.5	0.76
11/08/05 05:10:50.5	0.77
11/08/05 05:20:47.5	0.78
11/08/05 05:32:02.0	0.79
11/08/05 05:41:59.5	0.8
11/08/05 05:53:53.5	0.81
11/08/05 06:52:14.0	0.82
11/08/05 10:49:37.5	0.82
