Serial Number:     202809     --     Series: Event (rain bucket tip)

Date Time	Event (rain bucket tip)
03/15/06 15:57:36.0	0
03/16/06 21:21:05.0	0.01
03/16/06 21:32:19.5	0.02
03/16/06 21:39:18.5	0.03
03/16/06 21:43:35.5	0.04
03/16/06 21:46:33.5	0.05
03/16/06 21:49:43.0	0.06
03/16/06 21:51:17.5	0.07
03/16/06 21:52:40.5	0.08
03/16/06 21:53:51.0	0.09
03/16/06 21:55:17.0	0.1
03/16/06 21:56:48.0	0.11
03/16/06 21:58:46.0	0.12
03/16/06 21:59:46.5	0.13
03/16/06 22:00:50.5	0.14
03/16/06 22:02:14.0	0.15
03/16/06 22:03:54.5	0.16
03/16/06 22:04:53.0	0.17
03/16/06 22:06:08.0	0.18
03/16/06 22:06:59.5	0.19
03/16/06 22:08:25.0	0.2
03/16/06 22:10:00.0	0.21
03/16/06 22:12:33.5	0.22
03/16/06 22:14:56.5	0.23
03/16/06 22:21:20.0	0.24
03/16/06 22:23:17.0	0.25
03/16/06 22:27:15.5	0.26
03/16/06 22:42:27.5	0.27
03/16/06 22:45:44.5	0.28
03/16/06 22:47:09.5	0.29
03/16/06 22:49:01.0	0.3
03/17/06 04:36:12.0	0.31
03/17/06 04:42:48.0	0.32
03/17/06 04:46:24.0	0.33
03/17/06 04:51:51.5	0.34
03/17/06 04:59:34.0	0.35
03/17/06 05:34:59.0	0.36
03/17/06 05:41:15.0	0.37
03/17/06 05:44:02.5	0.38
03/17/06 05:48:28.5	0.39
03/17/06 06:10:28.5	0.4
03/17/06 06:39:19.5	0.41
03/17/06 07:20:58.5	0.42
03/17/06 07:32:33.5	0.43
03/17/06 07:55:37.5	0.44
03/17/06 08:02:28.5	0.45
03/17/06 08:08:09.5	0.46
03/17/06 08:11:59.5	0.47
03/17/06 08:30:04.0	0.48
03/17/06 08:37:46.5	0.49
03/17/06 08:48:02.5	0.5
03/17/06 08:53:44.0	0.51
03/17/06 09:01:17.5	0.52
03/17/06 09:08:05.5	0.53
03/17/06 09:20:33.5	0.54
03/17/06 09:31:04.0	0.55
03/17/06 10:21:04.5	0.56
03/20/06 08:10:04.0	0.57
03/20/06 08:23:04.5	0.58
03/20/06 08:37:11.0	0.59
03/20/06 08:53:50.0	0.6
03/20/06 08:58:19.0	0.61
03/20/06 09:06:17.0	0.62
03/20/06 09:09:01.5	0.63
03/20/06 09:11:33.5	0.64
03/20/06 09:12:45.5	0.65
03/20/06 09:14:15.0	0.66
03/20/06 09:15:25.5	0.67
03/20/06 09:16:37.5	0.68
03/20/06 09:17:34.5	0.69
03/20/06 09:19:20.0	0.7
03/20/06 09:21:17.0	0.71
03/20/06 09:24:11.0	0.72
03/20/06 09:26:14.0	0.73
03/20/06 09:29:01.0	0.74
03/20/06 09:34:27.0	0.75
03/20/06 09:40:26.0	0.76
03/20/06 09:44:48.0	0.77
03/20/06 09:51:17.5	0.78
03/20/06 09:55:50.5	0.79
03/20/06 10:00:59.5	0.8
03/20/06 10:04:44.0	0.81
03/20/06 10:08:18.0	0.82
03/20/06 10:12:09.0	0.83
03/20/06 10:13:28.0	0.84
03/20/06 10:14:21.5	0.85
03/20/06 10:15:21.0	0.86
03/20/06 10:15:54.0	0.87
03/20/06 10:16:24.0	0.88
03/20/06 10:16:50.5	0.89
03/20/06 10:17:37.0	0.9
03/20/06 10:18:21.5	0.91
03/20/06 10:19:26.5	0.92
03/20/06 10:20:19.0	0.93
03/20/06 10:21:31.0	0.94
03/20/06 10:22:11.0	0.95
03/20/06 10:22:45.5	0.96
03/20/06 10:23:05.0	0.97
03/20/06 10:23:23.5	0.98
03/20/06 10:23:34.0	0.99
03/20/06 10:23:49.0	1
03/20/06 10:23:58.5	1.01
03/20/06 10:24:13.5	1.02
03/20/06 10:24:27.5	1.03
03/20/06 10:24:48.0	1.04
03/20/06 10:25:02.5	1.05
03/20/06 10:25:24.5	1.06
03/20/06 10:25:40.5	1.07
03/20/06 10:26:17.5	1.08
03/20/06 10:26:41.5	1.09
03/20/06 10:27:19.5	1.1
03/20/06 10:27:55.5	1.11
03/20/06 10:28:46.0	1.12
03/20/06 10:29:20.0	1.13
03/20/06 10:30:48.0	1.14
03/20/06 10:33:07.0	1.15
03/20/06 10:35:29.5	1.16
03/20/06 10:37:18.0	1.17
03/20/06 10:39:15.5	1.18
