Serial Number:     202809     --     Series: Event (rain bucket tip)

Date Time	Event (rain bucket tip)
04/19/07 10:27:46.0	0
04/19/07 21:09:05.5	0.01
04/19/07 21:25:43.0	0.02
04/19/07 21:36:48.0	0.03
04/19/07 21:48:42.5	0.04
04/19/07 21:56:13.5	0.05
04/19/07 22:07:43.0	0.06
04/19/07 22:16:39.0	0.07
04/19/07 22:24:14.5	0.08
04/19/07 22:29:35.0	0.09
04/19/07 22:34:20.0	0.1
04/19/07 22:37:58.0	0.11
04/19/07 22:41:23.5	0.12
04/19/07 22:43:48.5	0.13
04/19/07 22:47:55.0	0.14
04/19/07 22:51:43.0	0.15
04/19/07 22:57:11.0	0.16
04/19/07 23:02:14.0	0.17
04/19/07 23:07:53.5	0.18
04/19/07 23:11:04.5	0.19
04/19/07 23:15:35.5	0.2
04/19/07 23:33:44.5	0.21
04/20/07 00:02:29.0	0.22
04/20/07 00:14:33.5	0.23
04/20/07 00:35:17.0	0.24
04/20/07 03:35:26.5	0.25
04/20/07 04:56:27.5	0.26
04/20/07 05:28:56.0	0.27
04/20/07 06:10:14.5	0.28
04/20/07 08:05:12.5	0.29
04/21/07 18:18:11.0	0.3
04/21/07 18:35:54.5	0.31
04/21/07 18:48:03.0	0.32
04/21/07 18:59:46.5	0.33
04/21/07 19:09:39.0	0.34
04/21/07 19:16:09.5	0.35
04/21/07 19:24:33.0	0.36
04/21/07 19:31:29.0	0.37
04/21/07 19:41:45.5	0.38
04/21/07 19:48:57.5	0.39
04/21/07 19:56:34.0	0.4
04/21/07 20:06:11.5	0.41
04/21/07 20:17:06.0	0.42
04/21/07 20:30:53.5	0.43
04/21/07 21:43:57.5	0.44
04/21/07 23:14:11.0	0.45
04/21/07 23:22:47.0	0.46
04/21/07 23:36:27.0	0.47
04/21/07 23:48:16.0	0.48
04/21/07 23:57:37.0	0.49
04/22/07 00:04:00.0	0.5
04/22/07 00:07:14.0	0.51
04/22/07 00:11:45.5	0.52
04/22/07 00:15:17.5	0.53
04/22/07 00:18:56.0	0.54
04/22/07 00:24:59.5	0.55
04/22/07 00:31:25.5	0.56
04/22/07 00:34:32.5	0.57
04/22/07 00:37:42.5	0.58
04/22/07 00:40:15.5	0.59
04/22/07 00:43:05.5	0.6
04/22/07 00:44:55.5	0.61
04/22/07 00:47:08.0	0.62
04/22/07 00:48:18.5	0.63
04/22/07 00:49:13.0	0.64
04/22/07 00:50:16.0	0.65
04/22/07 00:51:32.0	0.66
04/22/07 00:52:18.0	0.67
04/22/07 00:53:21.5	0.68
04/22/07 00:54:43.0	0.69
04/22/07 00:56:58.0	0.7
04/22/07 00:58:45.0	0.71
04/22/07 01:00:57.0	0.72
04/22/07 01:02:20.5	0.73
04/22/07 01:04:26.5	0.74
04/22/07 01:06:09.5	0.75
04/22/07 01:07:29.0	0.76
04/22/07 01:08:06.0	0.77
04/22/07 01:08:33.0	0.78
04/22/07 01:08:55.0	0.79
04/22/07 01:09:35.0	0.8
04/22/07 01:10:09.5	0.81
04/22/07 01:11:00.5	0.82
04/22/07 01:12:06.5	0.83
04/22/07 01:14:09.5	0.84
04/22/07 01:15:15.0	0.85
04/22/07 01:16:31.5	0.86
04/22/07 01:17:40.5	0.87
04/22/07 01:18:43.5	0.88
04/22/07 01:19:59.0	0.89
04/22/07 01:22:02.5	0.9
04/22/07 01:24:42.0	0.91
04/22/07 01:27:36.0	0.92
04/22/07 01:30:38.0	0.93
04/22/07 01:32:46.0	0.94
04/22/07 01:35:01.5	0.95
04/22/07 01:37:43.5	0.96
04/22/07 01:38:52.5	0.97
04/22/07 01:40:03.5	0.98
04/22/07 01:40:45.5	0.99
04/22/07 01:41:38.5	1
04/22/07 01:42:21.5	1.01
04/22/07 01:43:35.5	1.02
04/22/07 01:44:31.5	1.03
04/22/07 01:46:01.0	1.04
04/22/07 01:46:58.0	1.05
04/22/07 01:47:54.5	1.06
04/22/07 01:48:38.5	1.07
04/22/07 01:50:15.5	1.08
04/22/07 01:50:56.0	1.09
04/22/07 01:51:41.0	1.1
04/22/07 01:52:21.0	1.11
04/22/07 01:53:25.5	1.12
04/22/07 01:54:31.0	1.13
04/22/07 01:56:22.0	1.14
04/22/07 01:57:29.0	1.15
04/22/07 01:59:25.0	1.16
04/22/07 02:00:39.5	1.17
04/22/07 02:02:00.0	1.18
04/22/07 02:03:21.5	1.19
04/22/07 02:05:23.5	1.2
04/22/07 02:06:45.0	1.21
04/22/07 02:09:03.5	1.22
04/22/07 02:10:18.0	1.23
04/22/07 02:12:29.5	1.24
04/22/07 02:13:56.0	1.25
04/22/07 02:18:32.0	1.26
04/22/07 02:24:42.5	1.27
04/22/07 02:26:04.5	1.28
04/22/07 02:27:12.0	1.29
04/22/07 02:29:09.5	1.3
04/22/07 02:30:33.5	1.31
04/22/07 02:33:37.5	1.32
04/22/07 02:35:18.5	1.33
04/22/07 02:38:11.5	1.34
04/22/07 02:38:58.5	1.35
04/22/07 02:39:51.0	1.36
04/22/07 02:40:31.0	1.37
04/22/07 02:41:16.0	1.38
04/22/07 02:41:46.0	1.39
04/22/07 02:42:25.5	1.4
04/22/07 02:42:56.0	1.41
04/22/07 02:43:58.0	1.42
04/22/07 02:45:07.0	1.43
04/22/07 02:46:32.5	1.44
04/22/07 02:47:26.5	1.45
04/22/07 02:49:05.5	1.46
04/22/07 02:50:40.0	1.47
04/22/07 02:52:56.0	1.48
04/22/07 02:53:58.5	1.49
04/22/07 02:55:17.0	1.5
04/22/07 02:56:10.5	1.51
04/22/07 02:57:56.0	1.52
04/22/07 02:59:13.5	1.53
04/22/07 03:01:14.5	1.54
04/22/07 03:02:51.0	1.55
04/22/07 03:04:24.0	1.56
04/22/07 03:06:10.5	1.57
04/22/07 03:08:32.0	1.58
04/22/07 03:10:03.0	1.59
04/22/07 03:12:40.5	1.6
04/22/07 03:14:28.0	1.61
04/22/07 03:17:20.0	1.62
04/22/07 03:19:14.0	1.63
04/22/07 03:21:50.0	1.64
04/22/07 03:24:30.5	1.65
04/22/07 03:26:00.0	1.66
04/22/07 03:27:03.0	1.67
04/22/07 03:28:35.0	1.68
04/22/07 03:30:34.5	1.69
04/22/07 03:32:30.0	1.7
04/22/07 03:34:14.5	1.71
04/22/07 03:45:50.0	1.72
04/22/07 03:55:18.5	1.73
04/22/07 04:00:56.0	1.74
04/22/07 04:05:36.0	1.75
04/22/07 04:07:21.5	1.76
04/22/07 04:08:00.0	1.77
04/22/07 04:09:13.0	1.78
04/22/07 04:09:41.0	1.79
04/22/07 04:10:33.5	1.8
04/22/07 04:11:25.5	1.81
04/22/07 04:13:15.5	1.82
04/22/07 04:14:21.5	1.83
04/22/07 04:16:25.5	1.84
04/22/07 04:18:06.0	1.85
04/22/07 04:25:09.0	1.86
04/22/07 05:28:27.5	1.87
04/27/07 14:49:11.0	1.87
