"Plot Title: LD "
"#","Time, GMT-08:00","Ext. Line Event","Coupler Detached","Coupler Attached","Stopped","End Of File"
1,01/12/10 02:31:20 PM,0.00,,,,
2,01/12/10 02:31:23 PM,,Logged,,,
3,01/12/10 07:29:57 PM,0.01,,,,
4,01/12/10 09:08:59 PM,0.02,,,,
5,01/12/10 09:10:18 PM,0.03,,,,
6,01/12/10 09:57:36 PM,0.04,,,,
7,01/12/10 10:30:55 PM,0.05,,,,
8,01/12/10 10:30:56 PM,0.06,,,,
9,01/12/10 11:35:35 PM,0.07,,,,
10,01/12/10 11:41:46 PM,0.08,,,,
11,01/12/10 11:46:38 PM,0.09,,,,
12,01/12/10 11:48:03 PM,0.10,,,,
13,01/12/10 11:49:13 PM,0.11,,,,
14,01/12/10 11:51:30 PM,0.12,,,,
15,01/12/10 11:54:33 PM,0.13,,,,
16,01/12/10 11:58:02 PM,0.14,,,,
17,01/12/10 11:59:55 PM,0.15,,,,
18,01/13/10 12:00:23 AM,0.16,,,,
19,01/13/10 12:00:24 AM,0.17,,,,
20,01/13/10 12:00:48 AM,0.18,,,,
21,01/13/10 12:02:13 AM,0.19,,,,
22,01/13/10 12:05:15 AM,0.20,,,,
23,01/13/10 12:09:18 AM,0.21,,,,
24,01/13/10 12:16:48 AM,0.22,,,,
25,01/13/10 01:13:00 AM,0.23,,,,
26,01/13/10 01:14:00 AM,0.24,,,,
27,01/13/10 01:17:53 AM,0.25,,,,
28,01/13/10 01:18:10 AM,0.26,,,,
29,01/13/10 01:18:57 AM,0.27,,,,
30,01/13/10 01:19:24 AM,0.28,,,,
31,01/13/10 02:09:48 AM,0.29,,,,
32,01/16/10 02:31:55 PM,0.30,,,,
33,01/16/10 03:25:13 PM,0.31,,,,
34,01/16/10 04:20:22 PM,0.32,,,,
35,01/16/10 05:10:18 PM,0.33,,,,
36,01/16/10 05:35:09 PM,0.34,,,,
37,01/16/10 05:35:10 PM,0.35,,,,
38,01/16/10 06:35:16 PM,0.36,,,,
39,01/16/10 07:29:54 PM,0.37,,,,
40,01/16/10 07:55:24 PM,0.38,,,,
41,01/16/10 10:11:53 PM,0.39,,,,
42,01/16/10 10:15:48 PM,0.40,,,,
43,01/16/10 10:15:49 PM,0.41,,,,
44,01/16/10 10:19:09 PM,0.42,,,,
45,01/16/10 11:17:43 PM,0.43,,,,
46,01/16/10 11:17:44 PM,0.44,,,,
47,01/16/10 11:25:56 PM,0.45,,,,
48,01/16/10 11:33:33 PM,0.46,,,,
49,01/16/10 11:37:30 PM,0.47,,,,
50,01/16/10 11:46:30 PM,0.48,,,,
51,01/16/10 11:54:58 PM,0.49,,,,
52,01/17/10 12:03:18 AM,0.50,,,,
53,01/17/10 12:06:34 AM,0.51,,,,
54,01/17/10 12:10:11 AM,0.52,,,,
55,01/17/10 12:15:03 AM,0.53,,,,
56,01/17/10 12:23:49 AM,0.54,,,,
57,01/17/10 12:41:04 AM,0.55,,,,
58,01/17/10 01:21:19 AM,0.56,,,,
59,01/17/10 01:21:20 AM,0.57,,,,
60,01/17/10 01:26:28 AM,0.58,,,,
61,01/17/10 01:32:34 AM,0.59,,,,
62,01/17/10 01:32:35 AM,0.60,,,,
63,01/17/10 01:36:53 AM,0.61,,,,
64,01/17/10 01:42:07 AM,0.62,,,,
65,01/17/10 01:42:08 AM,0.63,,,,
66,01/17/10 01:51:53 AM,0.64,,,,
67,01/17/10 02:13:47 AM,0.65,,,,
68,01/17/10 02:24:35 AM,0.66,,,,
69,01/17/10 02:50:04 AM,0.67,,,,
70,01/17/10 02:59:14 AM,0.68,,,,
71,01/17/10 03:09:21 AM,0.69,,,,
72,01/17/10 03:24:17 AM,0.70,,,,
73,01/17/10 04:36:21 AM,0.71,,,,
74,01/17/10 05:08:21 AM,0.72,,,,
75,01/17/10 05:44:22 AM,0.73,,,,
76,01/17/10 05:44:23 AM,0.74,,,,
77,01/17/10 06:14:39 AM,0.75,,,,
78,01/17/10 06:48:48 AM,0.76,,,,
79,01/17/10 07:27:28 AM,0.77,,,,
80,01/17/10 08:51:03 AM,0.78,,,,
81,01/17/10 09:12:30 AM,0.79,,,,
82,01/17/10 09:19:50 AM,0.80,,,,
83,01/17/10 09:28:44 AM,0.81,,,,
84,01/17/10 09:28:45 AM,0.82,,,,
85,01/17/10 09:39:17 AM,0.83,,,,
86,01/17/10 10:00:46 AM,0.84,,,,
87,01/17/10 10:12:15 AM,0.85,,,,
88,01/17/10 11:53:26 AM,0.86,,,,
89,01/17/10 12:08:52 PM,0.87,,,,
90,01/17/10 12:08:53 PM,0.88,,,,
91,01/17/10 12:12:41 PM,0.89,,,,
92,01/17/10 12:17:00 PM,0.90,,,,
93,01/17/10 12:20:38 PM,0.91,,,,
94,01/17/10 12:23:36 PM,0.92,,,,
95,01/17/10 12:26:28 PM,0.93,,,,
96,01/17/10 12:26:29 PM,0.94,,,,
97,01/17/10 12:31:12 PM,0.95,,,,
98,01/17/10 12:37:58 PM,0.96,,,,
99,01/17/10 12:41:59 PM,0.97,,,,
100,01/17/10 12:45:30 PM,0.98,,,,
101,01/17/10 12:49:45 PM,0.99,,,,
102,01/17/10 12:53:13 PM,1.00,,,,
103,01/17/10 12:56:00 PM,1.01,,,,
104,01/17/10 01:01:47 PM,1.02,,,,
105,01/17/10 01:09:59 PM,1.03,,,,
106,01/17/10 01:24:12 PM,1.04,,,,
107,01/17/10 01:31:00 PM,1.05,,,,
108,01/17/10 01:33:34 PM,1.06,,,,
109,01/17/10 01:36:13 PM,1.07,,,,
110,01/17/10 01:39:13 PM,1.08,,,,
111,01/17/10 01:43:58 PM,1.09,,,,
112,01/17/10 01:54:11 PM,1.10,,,,
113,01/17/10 01:54:12 PM,1.11,,,,
114,01/17/10 06:14:52 PM,1.12,,,,
115,01/17/10 06:39:39 PM,1.13,,,,
116,01/17/10 06:55:26 PM,1.14,,,,
117,01/17/10 07:09:50 PM,1.15,,,,
118,01/17/10 07:23:55 PM,1.16,,,,
119,01/17/10 07:23:56 PM,1.17,,,,
120,01/17/10 07:27:28 PM,1.18,,,,
121,01/17/10 07:32:20 PM,1.19,,,,
122,01/17/10 07:36:30 PM,1.20,,,,
123,01/17/10 07:45:06 PM,1.21,,,,
124,01/17/10 07:52:56 PM,1.22,,,,
125,01/17/10 08:06:28 PM,1.23,,,,
126,01/17/10 08:20:48 PM,1.24,,,,
127,01/18/10 01:41:57 AM,1.25,,,,
128,01/18/10 01:52:36 AM,1.26,,,,
129,01/18/10 02:08:36 AM,1.27,,,,
130,01/18/10 02:14:00 AM,1.28,,,,
131,01/18/10 02:21:53 AM,1.29,,,,
132,01/18/10 02:25:23 AM,1.30,,,,
133,01/18/10 02:30:26 AM,1.31,,,,
134,01/18/10 02:33:38 AM,1.32,,,,
135,01/18/10 02:36:07 AM,1.33,,,,
136,01/18/10 02:36:08 AM,1.34,,,,
137,01/18/10 02:37:24 AM,1.35,,,,
138,01/18/10 02:39:47 AM,1.36,,,,
139,01/18/10 02:39:48 AM,1.37,,,,
140,01/18/10 02:42:10 AM,1.38,,,,
141,01/18/10 02:45:33 AM,1.39,,,,
142,01/18/10 02:48:12 AM,1.40,,,,
143,01/18/10 02:51:06 AM,1.41,,,,
144,01/18/10 03:31:46 AM,1.42,,,,
145,01/18/10 04:51:32 AM,1.43,,,,
146,01/18/10 04:53:56 AM,1.44,,,,
147,01/18/10 04:55:33 AM,1.45,,,,
148,01/18/10 04:58:10 AM,1.46,,,,
149,01/18/10 05:00:55 AM,1.47,,,,
150,01/18/10 05:01:55 AM,1.48,,,,
151,01/18/10 05:02:57 AM,1.49,,,,
152,01/18/10 05:04:00 AM,1.50,,,,
153,01/18/10 05:04:01 AM,1.51,,,,
154,01/18/10 05:07:05 AM,1.52,,,,
155,01/18/10 05:12:37 AM,1.53,,,,
156,01/18/10 05:16:39 AM,1.54,,,,
157,01/18/10 05:26:11 AM,1.55,,,,
158,01/18/10 05:30:46 AM,1.56,,,,
159,01/18/10 06:05:25 AM,1.57,,,,
160,01/18/10 06:22:34 AM,1.58,,,,
161,01/18/10 06:33:39 AM,1.59,,,,
162,01/18/10 06:39:54 AM,1.60,,,,
163,01/18/10 06:42:01 AM,1.61,,,,
164,01/18/10 06:45:56 AM,1.62,,,,
165,01/18/10 06:50:12 AM,1.63,,,,
166,01/18/10 06:53:00 AM,1.64,,,,
167,01/18/10 06:54:50 AM,1.65,,,,
168,01/18/10 06:56:38 AM,1.66,,,,
169,01/18/10 06:59:03 AM,1.67,,,,
170,01/18/10 07:01:25 AM,1.68,,,,
171,01/18/10 07:04:24 AM,1.69,,,,
172,01/18/10 07:08:14 AM,1.70,,,,
173,01/18/10 07:08:15 AM,1.71,,,,
174,01/18/10 07:11:28 AM,1.72,,,,
175,01/18/10 07:13:31 AM,1.73,,,,
176,01/18/10 07:15:32 AM,1.74,,,,
177,01/18/10 07:19:27 AM,1.75,,,,
178,01/18/10 07:19:28 AM,1.76,,,,
179,01/18/10 07:22:56 AM,1.77,,,,
180,01/18/10 07:24:12 AM,1.78,,,,
181,01/18/10 07:27:16 AM,1.79,,,,
