Date Time	Event (rain bucket tip)
04/11/03 16:46:40.0	0
04/12/03 04:59:40.0	0.01
04/12/03 05:17:35.0	0.02
04/12/03 05:24:39.0	0.03
04/12/03 06:33:55.5	0.04
04/12/03 06:53:16.0	0.05
04/12/03 07:10:40.5	0.06
04/12/03 07:44:28.0	0.07
04/12/03 07:58:29.0	0.08
04/12/03 07:59:52.0	0.09
04/12/03 08:02:16.5	0.1
04/12/03 08:03:49.5	0.11
04/12/03 08:06:51.0	0.12
04/12/03 08:09:39.0	0.13
04/12/03 08:13:30.0	0.14
04/12/03 08:15:32.5	0.15
04/12/03 08:17:35.5	0.16
04/12/03 08:20:18.5	0.17
04/12/03 08:20:19.0	0.18
04/12/03 08:23:54.5	0.19
04/12/03 08:33:15.5	0.2
04/12/03 08:37:18.0	0.21
04/12/03 08:39:16.0	0.22
04/12/03 08:51:21.5	0.23
04/12/03 08:55:35.5	0.24
04/12/03 08:58:43.5	0.25
04/12/03 09:00:00.5	0.26
04/12/03 09:01:03.5	0.27
04/12/03 09:02:14.5	0.28
04/12/03 09:03:59.0	0.29
04/12/03 09:05:45.0	0.3
04/12/03 09:08:02.5	0.31
04/12/03 09:08:03.0	0.32
04/12/03 09:13:58.0	0.33
04/12/03 09:17:07.5	0.34
04/12/03 09:19:54.0	0.35
04/12/03 10:07:23.0	0.36
04/12/03 10:16:52.0	0.37
04/12/03 11:18:48.5	0.38
04/12/03 11:25:44.0	0.39
04/12/03 11:28:19.5	0.4
04/12/03 11:33:43.5	0.41
04/12/03 11:52:53.5	0.42
04/12/03 11:55:59.0	0.43
04/12/03 12:00:10.5	0.44
04/12/03 12:00:11.0	0.45
04/12/03 12:04:17.0	0.46
04/12/03 12:04:17.5	0.47
04/12/03 12:07:15.5	0.48
04/12/03 12:10:24.5	0.49
04/12/03 12:14:30.0	0.5
04/12/03 12:16:55.5	0.51
04/12/03 12:19:43.0	0.52
04/12/03 12:22:14.0	0.53
04/12/03 12:28:27.5	0.54
